SPAAR,SOWAHD,KIF2C,GIP,HNRNPA1P7,TNFRSF8,,ICAM2,,LILRA6,DNMT1,,,VGLL3,,EIF4EBP2,MAP3K5,PLAG1,RPS3A,CLSTN1,,ATXN1,KCNJ5,,,SLC29A4,KLHL3,,,KLRF1,PDGFRA,,HECA
ADH1B,FGD6,ARSI,NHLH2,RPL24P2,ELMOD3,,HEBP2,,LAIR1,DNAAF10,,,RFTN1,,RAB3GAP1,PTGIS,MIR3171HG,CLTC,WDR5,,EPYC,FPR3,,,PDZRN4,UBAP1,,,PIK3R1,TCF4,,COL1A2
MAST4,PLA2G15,SLC6A2,CSGALNACT2P1,RPL24P8,NFIB,,CYB5A,,SIGLEC7,SAFB,,,CDH5,,PTK2B,TPST2,ASTE1,TDG,ZNF606,,TMEM26,MFSD1,,,CPED1,FAT4,,,SIGLEC17P,WASHC3,,
AOX1,CTSH,KRI1,ADAM20P3,EEF1A1P11,PDE1B,,TINAGL1,,CCR1,HNRNPM,,,ADAMTS2,,TMEM200A,COL3A1,ZSCAN26,UBE4A,MED22,,STIM1,CXCL16,,,HINT2,VASN,,,LPAR1,DSE,,
LURAP1L,CTSD,WASHC1,RPS16P2,HNRNPKP4,CEBPA,,PARM1,,HS3ST2,TOMM7,,,MMRN2,,IL2RG,DHRS9,INTS13,RPS27,TEDC1,,DENND2D,LY86,,,PALM,TNFSF10,,,SLC66A2,GAB3,,
HSPB6,ACP2,TJAP1,HMGA1P1,EEF1A1P19,C2CD2,,AKTIP,,GM2A,MARS1,,,RAI2,,SETX,MEF2C,GBA2,PLEK,PPP1R13L,,VPS8,SYK,,,ETFRF1,SRPX2,,,ELAPOR2,PCSK5,,
HSDL2,ZNF385A,ENGASE,MIR367,RPL38,CAST,,LYRM1,,PTPRO,SS18L2,,,NMT2,,PSMD5,,TJP1,NACA,GON4L,,ZNF624,SIGLEC9,,,TRPC1,CCND2,,,FBXL3,IGF1,,
RUNDC3B,GRN,CACNA1B,MIR3689F,RPL24P4,CHST7,,SLIT3,,TMEM86A,AGAP6,,,PIK3IP1,,TTC31,,NAV3,DPP8,CDCA8,,C1QTNF6,HAVCR2,,,PAQR4,USP15,,,PLD2,GMFG,,
TNNT3,PBX3,OSR1,XGY1,EEF1A1P5,CEBPA-DT,,ADIRF,,CD4,GCC1,,,FMO2,,QRICH1,,PIDD1,TRIP12,,,SH3KBP1,PARVG,,,DIRAS1,KLHL5,,,CWF19L2,MS4A4A,,
VSIG2,SPI1,RILPL1,MIR548H3,EEF1A1P6,DHDDS,,P2RY14,,PILRA,PLCG1,,,MFAP5,,QNG1,,ZNF184,PAN3,,,WIPF1,LACC1,,,DHRS13,IRAG2,,,RAP2C,TMSB4X,,
INHBB,TRPC2,RNF114,MIR6894,EEF1A1P13,NMRK1,,CAPN11,,SLC38A6,BRI3BP,,,CCDC69,,,,TMEM30A,MAT2B,,,GLG1,BTK,,,EN2,STAT4,,,ANOS1,PECAM1,,
GHR,C3orf62,INTS3,SNORD116-23,POM121L2,OSR2,,ALDH2,,NPL,FNBP4,,,RUNX1T1,,,,RGS5,MRPS5,,,CDV3,DOCK2,,,TEDC2,TSHZ2,,,CIR1,HCFC2,,
PLEKHA7,TDRD6,PHYHIPL,RNA5SP91,SNORA3A,CTIF,,CEP112,,MSR1,POLG,,,VSTM4,,,,SDHA,RWDD4,,,ATOSA,RNASET2,,,LIFR,LINC00921,,,,F13A1,,
GJA4,PRR5L,E4F1,RPL29P19,HMGB1P6,KLF8,,PCBP3,,IRF8,NPIPB13,,,PLAC9,,,,LOC283788,TMEM184C,,,PARP11,CD300LF,,,CNR1,TFPI,,,,PDGFRB,,
LHX6,GUSB,HOXC8,HMGA1P3,RPL23AP74,DTX1,,ACSL5,,MPEG1,RCC2,,,PPARG,,,,PFKP,SUMO1P3,,,TSPAN4,MS4A7,,,CBX4,SNCAIP,,,,SELENOP,,
CITED2,AP1B1,ZNF767P,MIR196A1,SNORA31,FHL5,,RNASE4,,NPC2,EP400,,,ARHGAP10,,,,C1GALT1C1L,RPL5,,,TIPARP,CMKLR1,,,PTPN11,RUSC2,,,,RIN2,,
TMEM132C,DNASE2,PNMA2,RPL21P14,RPL23AP2,ME3,,MEOX1,,LSP1,NEMP1,,,LDB2,,,,ZNF544,HLA-DRB3,,,ZNF211,SLC7A7,,,STC2,PHLDB2,,,,CLK4,,
PDLIM1,CD37,ZNF542P,RNA5SP160,FAM181A,RAMP2,,ACSL1,,FCGR2B,CWF19L1,,,XPNPEP2,,,,ZNF776,AIDA,,,C2orf68,LGMN,,,LIG1,L3MBTL3,,,,GPR34,,
TJP2,IL10RB,IGSF3,RNA5SP297,TRIM40,GPR146,,FERMT2,,SLC36A1,TBP,,,DIPK2B,,,,ZNF586,ABCE1,,,COL16A1,ADAP2,,,FXYD1,ZNF266,,,,CSF1R,,
CALB2,CPM,LDHAL6A,LINC02006,RPL23AP42,MYL5,,TACC1,,OTOAP1,TP53BP1,,,FBN1,,,,PUS3,IFI30,,,FUT4,CD14,,,OVGP1,SLTM,,,,PCDH18,,
NPY5R,CYP27A1,PDE8B,MIR3173,RPL23AP65,COX4I2,,ZNF385D,,SIRPB2,DAZAP1,,,APBB1IP,,,,PTPN13,SAMSN1,,,PNKD,PKD2L1,,,RECQL4,TM9SF3,,,,PLXDC2,,
CHRD,WAS,OR5AP2,RNU1-63P,TPM3P8,PINK1,,COX7A1,,TNFSF8,STIL,,,FAM124B,,,,MTHFD2L,IER3IP1,,,ZNF521,ARHGAP30,,,PTPRK,CFH,,,,SLC46A3,,
ADH1A,CCNYL1,MED12,,EEF1A1P9,AMPH,,SH3BGRL2,,SELPLG,CKAP5,,,FBLN2,,,,ZNF17,UBLCP1,,,NBDY,TYROBP,,,RTN4R,ARHGEF3,,,,LUM,,
C14orf180,SIRPD,ERC1,,DEFA4,A4GALT,,SNCG,,ITGAM,SNORA70,,,ITSN1,,,,HMG20B,GPR160,,,HNRNPUL2,JAML,,,ZDHHC11,ZNF540,,,,PLAGL1,,
ALDH1A2,LRRC25,LOC652276,,SEMA5B,NLRP1,,BTNL9,,MACROH2A1,ZNF268,,,MRAP,,,,LAIR2,PRDX6,,,TOR2A,HLA-DMA,,,BDKRB2,FRG1,,,,COL14A1,,
PCK1,TCN2,FRS3,,CSTL1,EFNB1,,PLAAT3,,FTL,FBXO7,,,FHL1,,,,LOC100131289,SKP1,,,UBAC1,ST8SIA4,,,CCDC89,PRG4,,,,MS4A6A,,
RHOXF1,CSTB,FMOD,,RPL13AP20,CALCOCO1,,PTGDR,,ZMYND15,EMCN,,,EFEMP1,,,,OPA3,PRKCB,,,PABIR1,ITGB2,,,IFT74,SLC38A2,,,,COLEC12,,
CLSTN2,IL10RB-DT,GAREM1,,TMSB10,DIS3L,,SPRY3,,SCPEP1,NPNT,,,HSPA12B,,,,AGAP2,RPS10,,,RASAL3,ABCG1,,,STXBP1,GGNBP2,,,,NCOA1,,
CYP11A1,C1orf127,CLEC16A,,LINC02907,FFAR4,,GIPC2,,LAMP1,IRF1,,,MFNG,,,,MEX3B,USP9X,,,TOR1B,PLA2G7,,,OFD1,IPO11,,,,HCLS1,,
LIPE,B3GNT8,PRSS58,,UBA52,RIPK3,,PDK4,,HLA-DRA,YIPF6,,,FCHSD2,,,,ANKRD9,MMGT1,,,AGPAT4,NLRC4,,,PDGFD,EEF1A1,,,,EIF4E3,,
ACADL,SIGLEC8,TAF13,,ABCC6P2,ISCU,,SEMA3G,,GGTA1,DUSP16,,,TXNIP,,,,YAF2,POLR2B,,,ZNF383,HTRA4,,,KAZN,MTRES1,,,,GUCY1A1,,
AQP7,ABHD12,C1orf35,,RPL39,CRY2,,TGFBR3,,HLA-DPA1,FAM107B,,,PODN,,,,BCL11A,OBI1,,,BOC,OSBPL11,,,NEK11,RPL7A,,,,NCF4,,
MLXIPL,GAA,PGS1,,RPL39P3,ARRDC2,,CDO1,,PTPN6,CLN5,,,EGFL6,,,,AKT1,UBR2,,,THYN1,MARCHF1,,,SMIM3,MEOX2,,,,COL5A2,,
PZP,GNGT2,MYO5A,,SNORA69,TNFSF12,,CRHBP,,TFEC,CLK2,,,DSEL,,,,UAP1L1,SSR1,,,PRRX2,FUCA1,,,CCDC59,TPT1,,,,CHST15,,
FAM107A,ARHGAP27,PRKAR2B,,RPL32,SETMAR,,BCL6,,APOBR,TTC13,,,EEPD1,,,,TMEM117,NUP133,,,LOC374443,HCK,,,RERE,UFSP2,,,,SAR1A,,
CORO6,PCED1B-AS1,HS3ST4,,RPL32P16,FCGRT,,SPARCL1,,WDFY4,CBFA2T2,,,RPS6KA2,,,,GNGT1,CDX1,,,WDR91,RAB31,,,DPYS,ZNF792,,,,NCOA4,,
CFB,LDLRAD4,NCAPG,,RPL32P18,MIR99AHG,,BHMT2,,ADCY7,STRADB,,,IFNGR1,,,,ZNF256,NCOA3,,,RNF103,TMCC1,,,PSRC1,SLMAP,,,,RNASE6,,
NOVA1,ATP6V0D2,DDX55,,SNORA7A,MGLL,,DGKE,,GRB2,SUGP2,,,PHYKPL,,,,FREM1,ADGRL4,,,ZNF304,SLCO2B1,,,AGPAT2,ORC3,,,,TSHZ3,,
TRARG1,SLC2A9,RAB3D,,PPIAP22,EPHX1,,TMEM100,,HLA-DPB1,ZBTB18,,,CFD,,,,HSF2,FNTA,,,ZNF583,HLA-DOA,,,SLC25A36,KLHL2,,,,CD93,,
KCNB1,PTPN18,STAC2,,PPIAP29,CHMP4B,,STEAP4,,DNAJC5B,DPH3,,,TRIM8,,,,TSPAN6,CCNJ,,,TRPS1,DRAM2,,,FRY,TCIM,,,,P2RY13,,
MTARC1,RHOG,ZNF337,,PPIAP31,DRC12,,PCOLCE2,,ARHGAP25,ADAR,,,NRP1,,,,SLC2A6,FAM133CP,,,ACOT7,SLAMF8,,,BACE2,OPA1,,,,PDPN,,
PLIN1,ALKAL2,CXADR,,RPL21,SLC8B1,,FAM13C,,GPNMB,VDAC3,,,XPA,,,,FAM222B,UBE3A,,,GRAMD4,LILRB4,,,DLL1,BCLAF1,,,,DOP1A,,
LVRN,PTPRN2-AS1,TROAP,,RPL21P1,IL4I1,,KCNJ8,,CTSZ,TRAF5,,,FIBIN,,,,LOC100131257,TUG1,,,RCN3,SASH3,,,HS6ST2,ZNF431,,,,SLC40A1,,
PFKFB1,ACRBP,BAHD1,,RPL21P11,PDGFC,,SYTL4,,MAN2B1,CELF1,,,FGF7,,,,ZNF285,ARL14EP,,,CWC22,CYRIA,,,RRAGB,OGA,,,,BNIP2,,
RBP4,NUPR1,CEL,,RPL21P119,IDNK,,PCDH12,,BLOC1S2,STX2,,,TAGLN,,,,IL2RA,MBTPS2,,,ZNF671,ARL4C,,,ABCA10,,,,,TLR4,,
ZBTB16,TFEB,CCDC174,,RPL21P16,NFX1,,LPL,,RNF130,PRKCQ-AS1,,,TFE3,,,,NRSN1,RNF170,,,HFE,INPP5D,,,PGM1,,,,,ABCA1,,
FAM170B,SUMO3,WASH3P,,RPL21P53,ME1,,DEFB132,,SIGLEC1,PAN2,,,S1PR1,,,,ZNF543,ZNF140,,,SMIM20,C1orf162,,,GPT,,,,,AZI2,,
AQP7P1,APOE,OR10A3,,RPL21P75,FAM110D,,MYL6,,HLA-DRB1,PICALM,,,JCAD,,,,GPC3,ZBTB33,,,ANTXR2,TDP2,,,ZNF684,,,,,OLFML2B,,
TNIP1,APBA1,SRRT,,RPL21P80,UBE2E2,,ACACB,,TNFAIP2,UHRF1,,,FILIP1L,,,,SGSM2,CLPX,,,NMNAT1,NR1H3,,,,,,,,COL12A1,,
VIP,KLHDC8B,IQCC,,RPL21P93,ANXA11,,CCDC178,,ADORA3,RPA2,,,ANXA7,,,,ZFP1,RPL14,,,USP47,VWA5A,,,,,,,,CLIC5,,
PLIN4,APH1B,PCDH20,,RPL21P97,SH3RF3,,MAP3K8,,DOK2,ST3GAL5,,,OMD,,,,DSC2,ZNF567,,,ZNF143,TASL,,,,,,,,VENTX,,
F10,SLC47A1,EN1,,SNORA27,MOB3C,,RPGRIP1,,VOPP1,DLG1,,,MYCT1,,,,ZNF10,RTRAF,,,HECTD3,LTA4H,,,,,,,,C1orf54,,
SYN2,ADPRH,RACGAP1,,NTRK1,AKAP13,,FABP4,,HACD4,FN1,,,NSMCE4A,,,,ENO1,CCL2,,,ARB2A,FGD2,,,,,,,,CLIC2,,
GSN,TMEM19,LRRC57,,IL20,BABAM2,,HEG1,,CD74,COQ10B,,,MMD,,,,INCENP,ADGRE2,,,ILK,RARRES1,,,,,,,,MALT1,,
TTN,TNFSF13,PPP2R5A,,HMGB1P10,CST3,,APOL3,,LACTB,MMS19,,,NID2,,,,ZNF204P,SLC30A9,,,PTGFRN,C1QC,,,,,,,,RASSF4,,
ARHGAP21,PRSS36,CLEC18C,,ZNF473CR,ZNF331,,GNG11,,AKR1B1,ARL6IP5,,,MARCHF2,,,,ZSCAN16,CD69,,,PAM,PIK3CG,,,,,,,,YTHDC1,,
DIAPH2,GLIS2,DHX37,,LINC02171,MMRN1,,SERPING1,,BLVRB,ALPK1,,,STX12,,,,ZFP37,ZNHIT6,,,CENPC,CREBL2,,,,,,,,FCHO2,,
NOTCH4,SLC26A11,FAM187B,,RPS12,RETREG2,,SORBS1,,NBPF1,RBM6,,,TGFBR2,,,,IFT70A,CYTIP,,,SMAD7,MANBA,,,,,,,,GLT8D2,,
NDNF,ZRSR2,FBXO24,,DNAJC27-AS1,F8,,SNORD33,,NECAP2,DSN1,,,PALLD,,,,SLC25A22,SENP1,,,MAPK7,AMPD3,,,,,,,,FOSL2,,
TNMD,EMILIN2,KIF13B,,YWHAG,TRNP1,,RBP7,,ITGAD,CHERP,,,HSD17B4,,,,BAGE3,TRAPPC6B,,,NIPBL,GALNT1,,,,,,,,BEND6,,
PNPLA2,ADGRE4P,AMIGO2,,PPIAP11,MAN2B2,,SELP,,SLC49A3,SRP68,,,MKNK1,,,,FANCG,NBPF3,,,LAMP5,AOAH,,,,,,,,ZNF85,,
DOCK6,NCF1C,PI4KA,,RPS27AP16,RXRA,,FILIP1,,CD300A,TMEM205,,,RGCC,,,,UBAP2,TARS3,,,ZNF136,C1QB,,,,,,,,CREG1,,
KRTAP10-2,SNX24,HOXC4,,MIR7-1,ANTXR1,,SLC7A2,,SLC31A2,MBD1,,,ZBTB4,,,,ITLN1,C18orf21,,,TMEM170B,RBPJ,,,,,,,,TLR7,,
TRIM50,HLA-DQB2,SNORD35B,,LINC00838,STS,,CEACAM1,,UNC93B1,,,,ACKR1,,,,CRACDL,RBM45,,,ZNF148,TMEM50A,,,,,,,,CYP1B1,,
KIF1C,KIAA0513,SMARCA4,,MIR194-2HG,RHEX,,RILPL2,,TMEM35B,,,,DPT,,,,NOTO,ZNF830,,,DDX19B,RAB20,,,,,,,,TAB2,,
EPB41L4A-DT,FCGR2A,CDKN2A,,SNORD65,CFP,,WNT11,,MILR1,,,,ADRA2A,,,,SCARB1,PCNP,,,ZNF175,ADAM12,,,,,,,,FBXO38,,
SLC16A2,SNAI3,TMCO4,,RPS13,MMP28,,ABLIM1,,ATP6AP2,,,,LMCD1,,,,LAMA4,BDH2,,,MAST3,SMPDL3A,,,,,,,,TLR5,,
LGALS12,CAPG,RRP12,,RPS13P2,LAG3,,C4BPB,,TBC1D2,,,,ADAMTSL4,,,,HAS2-AS1,PSMD11,,,NFATC1,ROR2,,,,,,,,SERINC1,,
APOB,TMEM106A,SNORD13,,MRFAP1,SRD5A3,,GLYAT,,LGALS9,,,,DGLUCY,,,,ZNF701,GTF2B,,,ZNF613,CYBB,,,,,,,,CD33,,
C8orf34,BRI3,PELP1,,VESTAR,RILP,,ABCG2,,OTULINL,,,,GLRX,,,,TRIM2,IPO8,,,ZNF329,DPYD,,,,,,,,TNFAIP8L2,,
EDN1,CMTM3,FRG2C,,ZFAND6,PEX11G,,ANGPTL1,,NCEH1,,,,PCYOX1,,,,ZSCAN12,CLDND1,,,CDT1,FCER1G,,,,,,,,FGD3,,
PPP1R14A,C3orf80,FOXQ1,,ZFAND6P1,GDE1,,TSC22D3,,CPVL,,,,GPX4,,,,WNK2,SNORA67,,,CCL7,FOXN3,,,,,,,,ARHGDIB,,
CNTFR,SCIMP,RNF7,,DMRTA1,FAM117A,,FAM241A,,HPGDS,,,,TMEM119,,,,SLC45A2,WDR75,,,ZNF350,MGAT4A,,,,,,,,RAB33B,,
TSPAN18,TMEM127,TBC1D21,,CRYGD,VAMP3,,INMT,,ARAP1,,,,MYL9,,,,DHRS11,ARV1,,,TRIM32,VAV1,,,,,,,,PPCS,,
ADH1C,TPP1,SRFBP1,,CRIP3,POU6F1,,LRIG1,,TENT2,,,,CCN5,,,,PGBD2,CLK3,,,ASTN2,EVI2B,,,,,,,,,,
TNKS1BP1,ZNF710,RIC8A,,RPL27,ABHD5,,LYVE1,,HS6ST1,,,,THY1,,,,SLC25A21,MXD1,,,LRSAM1,NOTCH2,,,,,,,,,,
MAP7D3,PDE6G,CD40LG,,RPL36AP52,BIN1,,G0S2,,OTOA,,,,ACKR3,,,,LOC728392,ANO1,,,MYLIP,HNMT,,,,,,,,,,
CSN1S1,DEDD2,HSP90AB1,,RPL22P1,CMIP,,CALCRL,,ZDHHC7,,,,HIC1,,,,ZNF662,LPAR6,,,,CD209,,,,,,,,,,
NIPSNAP3B,PITX1-AS1,LINC01366,,HMGN2,KCNJ5-AS1,,NNMT,,DNAAF9,,,,CUTC,,,,ADTRP,POLI,,,,SDS,,,,,,,,,,
ADIPOQ,ABI3,GNAO1,,HMGN2P17,IDH3G,,COL4A1,,PI4K2A,,,,FEZ2,,,,ERC2,ZNF217,,,,SP3,,,,,,,,,,
AMY2A,KAT8,TIMELESS,,HMGN2P41,GABRE,,SLC25A15,,DDHD1,,,,JAK2,,,,PVT1,USP38,,,,VAMP8,,,,,,,,,,
SNTG2,DDX6,SYT6,,HMGN2P5,AHNAK,,C6,,TTC7A,,,,CMAHP,,,,ZNF644,NGLY1,,,,DCN,,,,,,,,,,
ROBO4,CORO7,RING1,,HMGN2P6,JHY,,TAF1,,RASGEF1B,,,,FNBP1,,,,RCCD1,SUB1,,,,NCK1,,,,,,,,,,
SEL1L2,HEXA,ATP2B1-AS1,,HMGN2P7,ARHGAP28,,CCDC102B,,MARCKS,,,,HTRA3,,,,TLNRD1,ZNF260,,,,CD163L1,,,,,,,,,,
IL3RA,CYP20A1,CREB3L4,,RAC3,EFEMP2,,PROCR,,WBP1L,,,,ACTA2,,,,GMPR,LINC02981,,,,CARD8,,,,,,,,,,
PGA5,PCBP1-AS1,RAD9A,,RNU6-64P,GASK1A,,AK3,,CYTH1,,,,TK2,,,,TPR,COPS2,,,,HSPBAP1,,,,,,,,,,
EXD3,GMIP,VSTM5,,RPL13AP5,PHACTR2,,TRANK1,,INPP4A,,,,DPEP2,,,,CLCN4,DBI,,,,LTBP2,,,,,,,,,,
SHROOM4,LOC100129034,GTF2H5,,KIF18B-DT,PAOX,,HECW2,,PITHD1,,,,MFAP4,,,,ZIK1,UBA5,,,,CHRNA1,,,,,,,,,,
C1orf115,S100A11,SLC44A3,,HMGN1,KLF11,,DCUN1D3,,PRAM1,,,,REEP5,,,,DCAKD,GNPAT,,,,LINC01094,,,,,,,,,,
F3,ZFHX3,REPIN1,,HMGN1P36,ALG9,,MASP1,,HLA-DQA1,,,,RBM17,,,,SLC25A25,THAP1,,,,SAMHD1,,,,,,,,,,
CLEC4GP1,ALK,PSMC5,,RPL5P34,TMBIM1,,ACAA2,,DAZAP2,,,,CRISPLD2,,,,ZNF470,PPHLN1,,,,USP3,,,,,,,,,,
FAM13A,GSDME,TMEM232,,TSNAX,TPRG1L,,SNX21,,AKR1A1,,,,IL13RA1,,,,VN1R1,SDAD1,,,,NAPSB,,,,,,,,,,
SMAD6,LINC00900,HOXC9,,FBXL22,VPS26B,,TMCC3,,RAB8A,,,,ERG,,,,DCT,PCNX1,,,,SCAF11,,,,,,,,,,
SLC19A3,CAMKK1,IRX5,,H2AC5P,CENATAC,,GPAM,,P2RX4,,,,SNX29,,,,ODF2,USP8,,,,GPR68,,,,,,,,,,
FMO3,SCAMP2,NAPSA,,EPCIP-AS1,AP2A2,,RBPMS,,DOK1,,,,FOLR2,,,,SLAMF1,RIOX2,,,,PIK3AP1,,,,,,,,,,
BCAM,LYL1,ITGB1,,LINC00544,PLEKHM1,,NR5A2,,IRF2,,,,ROCK2,,,,LINC00324,NBPF11,,,,ZSCAN32,,,,,,,,,,
ANO2,ATP6V0D1,PI4KAP1,,MYL3,HEBP1,,HDAC7,,B3GNT2,,,,PAPLN,,,,NACC2,SPART,,,,LEPROT,,,,,,,,,,
DACH1,ETV6,GTF3C5,,CALHM4,PEA15,,SMIM14,,COMMD9,,,,CCDC80,,,,BTBD6,NCAM2,,,,RAB8B,,,,,,,,,,
GPBAR1,SGPP1,VPS33B,,UBE2D3,CRYBB1,,DIXDC1,,BMP2K,,,,RNF10,,,,CPOX,SCYL2,,,,GZMA,,,,,,,,,,
C1QTNF1,RNF166,ATCAY,,HMGB1P5,CTSG,,ARHGAP29,,DHDH,,,,CLEC10A,,,,SECTM1,ARID4B,,,,CLECL1P,,,,,,,,,,
MAOB,HEXA-AS1,EEF1AKMT1,,CRHR1,LRP11,,KRT222,,WNT2,,,,SMARCA2,,,,TMEM268,ACBD3,,,,CLEC4A,,,,,,,,,,
CYP1B1-AS1,SLC17A5,GIT2,,LINC02210-CRHR1,UBE2D4,,SLC25A20,,MFRP,,,,TWIST2,,,,MSANTD4,GATAD2A,,,,RAB9A,,,,,,,,,,
CDC42EP2,SLC12A6,IL31,,IZUMO2,ABHD15,,NET1,,PPM1M,,,,SPATA7,,,,ARHGEF12,CASC3,,,,CHST13,,,,,,,,,,
PEX5,KCTD11,CCNB2,,RPL13A,CD300LB,,BCL2L2,,ARRB2,,,,BBOF1,,,,ZFP28,NDUFB3,,,,SLC35F6,,,,,,,,,,
PGM5,ING2,LCE5A,,PTMAP5,NRIP2,,FHIP2A,,LOXL1,,,,NAAA,,,,PIK3R2,ARHGAP15,,,,FAP,,,,,,,,,,
TIMP4,PLBD2,TUBGCP5,,HMGN2P3,BATF2,,STOM,,PTBP3,,,,PDGFRL,,,,FAM50A,THAP6,,,,UBE2J1,,,,,,,,,,
FBXO31,ZFYVE26,CNTN6,,RPL9,GNAI2,,CLIC6,,DEXI,,,,ZNF423,,,,DUXA,TRMT1L,,,,ACVR2A,,,,,,,,,,
CCDC3,IQSEC2,CTNNA1,,RPL9P7,POLR3GL,,VCAM1,,RAP2B,,,,AGO4,,,,NAA50,SLC35A3,,,,CD53,,,,,,,,,,
HSD17B13,FGFR1OP2,MEP1B,,LINC01049,SESN1,,COL15A1,,GPX1,,,,JDP2,,,,GSTT1,EAPP,,,,ZNF436,,,,,,,,,,
KLF9,STK40,SAP30BP,,CHCHD3,P2RX1,,SEH1L,,ARPIN,,,,HTRA1,,,,RPAP3,WDR48,,,,ARHGAP18,,,,,,,,,,
DOC2B,NRBP1,NUDT9P1,,FTLP3,C14orf28,,NTRK2,,CAPZB,,,,MAP3K20,,,,SNORD1A,MRPL3,,,,RNF141,,,,,,,,,,
PER1,SPOP,LARGE1,,RPL36A,TAP1,,TMEM198B,,FERMT3,,,,PPP6C,,,,SSBP2,RPS23,,,,THUMPD1,,,,,,,,,,
SCN4A,ORAI3,RNF41,,RPL36A-HNRNPH2,MIF4GD,,GSE1,,RNF111,,,,COL6A3,,,,CDK19,ALG13,,,,EFR3A,,,,,,,,,,
