FURIN,TNIP1,PRXL2A,TGIF1,HNRNPA1P7,TASL,PLIN1,,GID8,MCTP2,,HYCC2,,SSTR2,SNORA66,,TOP1,,,RNF10,,
DRAIC,GTPBP1,FXYD2,MAMLD1,HNRNPKP4,ING1,HAGH,,FAM151A,APBB1IP,,MTF1,,DNAH12,AAK1,,PPP1R3B,,,LYRM1,,
EPHX1,ZFP36,TGFA,ILF3-DT,RPL24P2,ARID3B,CD7,,MOGAT2,IL1R2,,SNN,,TMEM62,UFD1,,GATAD2B,,,IDI1,,
SEMA4G,CD53,AACS,H3C3,RPL24P8,FOLR3,GNLY,,PEX11A,STAT3,,CSF3R,,GRSF1,DDX24,,MYD88,,,INSIG1,,
MT1JP,EVI2B,LRP2,ANG,TTTY16,PGS1,PRF1,,CYP2D6,STX11,,MEFV,,RPS16,CEP55,,,,,TBC1D15,,
ENHO,DAPP1,GLYAT,ODC1,RPL38,CCRL2,FASN,,SLC39A5,MYL12A,,KDM6B,,CDNF,RPS4X,,,,,CORO1C,,
GJB4,CCNL1,NKG7,PREP,RPL24,MCTP1,ALDH4A1,,SEC14L4,CST7,,MXD1,,BCAP31,ITPRIPL2,,,,,RMC1,,
SLC19A3,SUSD6,NR1H3,RAB9A,EEF1A1P11,TYK2,SCGB1B2P,,CDHR5,SLC9A8,,CAMK2G,,DTX1,ADGRG6,,,,,HSDL2,,
TMEM81,ZDHHC18,CD40,DNER,DAB1-AS1,RAC2,MTARC1,,HDX,PER1,,MAP2K3,,LMO2,INCENP,,,,,APMAP,,
AR,EHD1,THRSP,SLIT3,AHSP,PPIF,MOGS,,CYP2D7,TMEM120A,,POU5F1P3,,GBE1,ZNF345,,,,,ADM,,
TM6SF2,LCP1,RHPN2,PDE4D,ACOT12,DYSF,LAIR2,,ATOH7,TLR8,,TNFRSF10C,,ZP4,CHD6,,,,,STX12,,
SERPIND1,USP15,H1-10-AS1,MIR1299,LINC01364,ZXDC,NKAPL,,AGPAT3,EIF4E3,,SCARF1,,FZD4,TIMM10B,,,,,MMD,,
IGFBP4,SIGLEC14,ACVR1C,BMPER,SYT3,FRAT1,SYNE4,,WNT6,PIM3,,FCAR,,NPY5R,PCYOX1L,,,,,TRARG1,,
TRMT2A,MIR4257,PLAAT3,HHEX,LINC02052,TTPAL,CD8A,,CHERP,WSB1,,ADGRE3,,OPA1,CBX6,,,,,WDR55,,
CYP2A7,FCGR3B,C8orf34,SLX4IP,GPC1-AS1,MAML1,CEP131,,ACVR1B,SAR1A,,ARHGAP26,,DHFR,UGGT1,,,,,GGNBP2,,
WDTC1,CEACAM3,SH3BGRL2,CBLN1,EEF1A1P19,GDAP2,GPX4,,STK35,DNTTIP2,,H2BC21,,KLB,ZNF148,,,,,HK2,,
ARL4D,BIN2,DHRS11,NR2C1,LINC01127,,GPT,,SLC7A9,TALDO1,,SNORA31,,LRIG1,FAM81B,,,,,MPPE1,,
SLC47A1,LYN,CIDEC,GSTO1,UPK3B,,,,EBP,MAP3K8,,SLC25A37,,SPTBN1,PRKACG,,,,,DDX42,,
TSC2,PTPRC,CCL8,ABHD2,RPL24P4,,,,ACY3,GCH1,,CSGALNACT2,,ACACA,SRP72,,,,,,,
SLC6A12,GCA,CATSPER1,SNORD91A,FYB2,,,,KIF13B,PNPLA2,,STK40,,ADH1A,NOX5,,,,,,,
BEX1,FPR1,SLC66A1LP,CCNB2,PACRG-AS2,,,,RP1L1,GDI1,,HILPDA,,TMBIM1,SYNPO2L,,,,,,,
PSPN,FAM209B,TRIML2,ZNF285,PTPRT-AS1,,,,RFPL1,ELMOD3,,H3-3B,,SORBS1,PIGC,,,,,,,
REEP6,STEAP4,BRDT,MPP3,C2orf50,,,,RPA2,LIPE,,ZNF230,,PPARG,FGD2,,,,,,,
GLOD5,NFKBIA,COX7B2,SOX4,H2BC1,,,,FETUB,SLAMF7,,CSRNP1,,LPCAT3,MYL6,,,,,,,
SLC17A4,LOC729737,CAVIN2,SRGAP1,MYCBPAP,,,,HGFAC,AOC3,,NDEL1,,PCTP,MFN2,,,,,,,
SHISA4,FAM53C,ADAD1,KIAA1549,NAV2-AS2,,,,SRPRA,AATF,,RNF213-AS1,,PEBP1,,,,,,,,
EPM2A,CXCR2,CDO1,H2BC7,KRTAP5-8,,,,LILRP2,FLOT2,,PIAS1,,AKTIP,,,,,,,,
REPIN1,CXCR1,ACO1,CYP3A7,CEP72-DT,,,,SLC20A2,,,CFLAR-AS1,,TTC38,,,,,,,,
RSAD1,MKNK1-AS1,KRT18,ZNF571,UBE2U,,,,MTRFR,,,RLF,,RAD51C,,,,,,,,
LHPP,DDX60L,CYB5B,NR3C2,OR7E111P,,,,CLSTN3,,,TANK,,SLC4A9,,,,,,,,
DLG2,C3AR1,ISM1,ITFG2-AS1,UNC5B-AS1,,,,SMARCD2,,,MALAT1,,KCNB1,,,,,,,,
SLC28A1,RESF1,IL18,LINC02961,EEF1A1P5,,,,LMAN2L,,,CAP1,,HPR,,,,,,,,
CYP2A13,IRAK3,ITPR2,TOP3A,EEF1A1P6,,,,HEXIM1,,,SLC11A1,,TKT,,,,,,,,
SLC25A10,NFKBID,DTHD1,ABCD4,SLCO1B3,,,,GOLT1A,,,ZSWIM6,,SFMBT1,,,,,,,,
SARDH,VAV1,CYB5A,SEPTIN6,ASMT,,,,LDHD,,,RIT1,,NMRK2,,,,,,,,
TMEM176B,STK4,GBX2,BAAT,SFTA3,,,,MTMR9,,,UBAP1,,PPCS,,,,,,,,
CPN2,FAM157A,SCD,PDE7B,HMGB1P6,,,,B4GALT4,,,CHST15,,KCTD9,,,,,,,,
LINC01124,H3-3A,FAM89A,TMEM30CP,RPS25,,,,GRM2,,,MIR3945HG,,ANAPC16,,,,,,,,
ASPDH,CWC25,ALDOC,BCYRN1,LINC01649,,,,GPD1,,,TREML4,,KANK1,,,,,,,,
RTL10,C5AR1,LIFR,HEATR3,AKAIN1,,,,HGSNAT,,,U2AF1,,TMEM245,,,,,,,,
OR10A6,REL,FASLG,SNORD6,LINC00906,,,,UBE2L3,,,IL10RB,,SSX6P,,,,,,,,
OR5H6,CLEC12A,LPIN2,FOXA3,LINC00564,,,,AHSG,,,H2BC4,,SHMT1,,,,,,,,
ATP6V0E2,TNFAIP6,LAG3,FGF12,EEF1A1P13,,,,KANK4,,,ANKRD13A,,RBP4,,,,,,,,
PAOX,VNN2,MYT1L,CRIP1,MAPK8IP3-AS1,,,,ZNF776,,,LILRA5,,VKORC1L1,,,,,,,,
CHST13,LCP2,RPL23AP32,CELSR2,PRM1,,,,CGA,,,IPMK,,NPHP4,,,,,,,,
CYP2C19,FFAR2,SPDYE7P,TWIST2,LINC02225,,,,SCART1,,,CMTM6,,BIRC6,,,,,,,,
PSD4,TRIM25,ABCC6,ENO1,AKR1C4,,,,FCRL4,,,ETF1,,PTPN11,,,,,,,,
SERPINF2,SNORD10,AKR1C3,PPP1R12B,TMEM105,,,,IQCC,,,MGAM,,CEBPA-DT,,,,,,,,
SLC37A4,PLEK,DHRS3,ZDHHC19,ACTG1P17,,,,CYP27A1,,,MTMR3,,TMEM132C,,,,,,,,
SEC14L2,ADGRG3,MAOA,KIF5C,TBX4,,,,ATXN7L3B,,,HIF1A,,C2orf69,,,,,,,,
PKLR,CSF2RB,PDZD2,COL16A1,FAM186A,,,,CASP16P,,,SNORA67,,PSMB3,,,,,,,,
AQP7P3,NCF2,ADIPOQ,SEL1L3,PKDREJ,,,,GABRR2,,,RYBP,,USF2,,,,,,,,
BSND,H3P6,RBPMS2,SMAD9,LINC02221,,,,LCN12,,,NBEAL2,,MUC13,,,,,,,,
CYP2A6,SLC2A3,DIPK2B,ATP8A2,SNORA71B,,,,PELP1,,,UNC119,,MRAP,,,,,,,,
TMEM82,FAM157B,H2AC1,GUCA1A,KRT83,,,,TGM4,,,NUP58,,SLC25A18,,,,,,,,
HCN4,OSM,TJP2,IFT70A,CLCA3P,,,,HUWE1,,,SHOC2,,IDH1,,,,,,,,
USE1,SIGLEC5,GHR,PLPP6,RACGAP1P1,,,,FADS2,,,PLEKHB2,,C14orf180,,,,,,,,
CES4A,XPO6,CX3CL1,ASB4,LAPTM4A,,,,IRX1,,,MCL1,,ACLY,,,,,,,,
MSRA,LSMEM1,SLC24A3,ZNF648,LRRC74B,,,,CSK,,,USP3,,PARN,,,,,,,,
ENPP7,MNDA,MLXIPL,PRC1,RPL23AP74,,,,CBARP,,,CYLD,,SNTG2,,,,,,,,
IGFALS,H1-4,KLF9,NPL,OSTCP1,,,,RALGPS1,,,TMCC1,,LAP3,,,,,,,,
SLC17A2,MIR3909,ATP13A2,PLXNB1,VIPR2,,,,SCAP,,,CFLAR,,FFAR4,,,,,,,,
QPRT,LIPN,SLC38A11,C10orf55,STARD7,,,,SHMT2,,,TFE3,,HSD17B4,,,,,,,,
PTPN9,GK,ALDH2,HJURP,PRKAR1AP1,,,,SUN2,,,DAZAP2,,ESYT1,,,,,,,,
SLC27A5,TREML3P,INHBB,EYA1,GALNT9,,,,RAD54L,,,PHF21A,,EEPD1,,,,,,,,
SELENOO,SAT1,ADIRF,CASQ2,VSTM2A,,,,NMUR2,,,SPOPL,,SLC35F6,,,,,,,,
RIMKLA,TSPAN16,FCRL3,ZFYVE21,LINC00556,,,,MTUS2,,,TMEM167B,,ACE2,,,,,,,,
LRP5,H2BC18,APOBEC3H,CCNA2,RPL23A,,,,R3HDM2,,,STAT5B,,TIMP4,,,,,,,,
CYP4A22,MMP25,TNFSF9,COX5A,RPL23AP42,,,,PLEKHA8,,,RNF13,,DENND10,,,,,,,,
GFRA4,HCAR2,ADH1B,APCDD1L,RPL23AP65,,,,RAB40A,,,DENND5A,,NUDT16,,,,,,,,
PACRG,CLEC4D,COL5A1,BIRC5,FLNB-AS1,,,,EFCAB14,,,GRB2,,PDCD10,,,,,,,,
MASP2,IL1B,CCDC85A,TTK,LINC02833,,,,IGSF3,,,LBR,,HSPB7,,,,,,,,
HPD,IRAK2,DHRS2,ZMAT1,RPL23AP2,,,,CATSPERG,,,RARA,,SYN2,,,,,,,,
CHRD,HCAR3,TMT1A,SLC45A2,HEXA-AS1,,,,KRTAP10-11,,,PILRA,,PCYOX1,,,,,,,,
CBLN3,CXCL8,PCDHGB6,CSRNP3,LINC01180,,,,GRIK1,,,TRAFD1,,PSMD6,,,,,,,,
ZNF275,PROK2,ACSS3,CCDC146,ATP1A3,,,,,,,SP110,,LIG3,,,,,,,,
ACTRT1,SELL,EPHB2,ERVFRD-1,SLC10A2,,,,,,,PCNX1,,COPZ1,,,,,,,,
CEMP1,GADD45B,ST6GALNAC3,LCE3E,TPM3P8,,,,,,,NCOA1,,CIDEA,,,,,,,,
FXYD1,ZC3H12A,SMC1B,NCEH1,CPLX3,,,,,,,UBC,,FADS1,,,,,,,,
SERPINA4,SLED1,BEND6,EEIG2,LINC02555,,,,,,,RHOA,,THOC7,,,,,,,,
CBS,SLC2A14,LHB,KLHDC7A,UGT2A1,,,,,,,SMAP2,,PLPBP,,,,,,,,
TM7SF2,ARRB2,GIMAP1,TCP11L1,UGT2A2,,,,,,,CAB39,,CLMN,,,,,,,,
OR2S2,PTGS2,TEC,TGFBRAP1,LINC02619,,,,,,,USP32,,ANXA7,,,,,,,,
DHX37,CDKN2D,AGPAT2,HERC5,LINC02763,,,,,,,RRAGC,,DYDC1,,,,,,,,
CD4,MIR3945,TPD52,SLC26A4,HMGN2,,,,,,,SKAP2,,KTN1,,,,,,,,
SPA17,IL18RAP,TSPAN4,PGBD2,HMGN2P17,,,,,,,SNAPC1,,ADCY5,,,,,,,,
MIIP,CDC42EP2,PCK1,PFKFB2,HMGN2P41,,,,,,,ACTB,,EMD,,,,,,,,
POLE,CYTH4,ANGPTL8,EPB41L4A-AS1,HMGN2P5,,,,,,,SMTNL1,,HGD,,,,,,,,
TSKU,NOD2,G6PD,SMPDL3B,HMGN2P6,,,,,,,RTF1,,LRRC8B,,,,,,,,
ZG16B,MIR629,PFKFB1,PGBD4,HMGN2P7,,,,,,,RAB21,,SHANK2,,,,,,,,
HAAO,BASP1,LILRB3,RPS6KB2,KIF5C-AS1,,,,,,,TPM3,,NMUR1,,,,,,,,
GRM5,VASP,NSDHL,TXNDC17,BTG3-AS1,,,,,,,OXSR1,,CCBE1,,,,,,,,
PLCZ1,TREM1,LAMA2,FAM222B,TMSB10,,,,,,,GYG1,,ARL6IP5,,,,,,,,
BBOX1,DHX34,MIR9-2HG,ARHGEF39,IL17A,,,,,,,CYRIB,,RPS11,,,,,,,,
CRIPTO3,PTPRE,ECHDC2,PDLIM1,LINC00382,,,,,,,GNAI3,,MRAS,,,,,,,,
MPST,PTK2B,LGALS12,CPA2,LINC01220,,,,,,,ARHGDIB,,SREBF1,,,,,,,,
RASGRP2,SLC12A6,LRRN3,MRPL37,SRCAP,,,,,,,PRKACA,,LARP1B,,,,,,,,
CLUH,TLR2,ORMDL3,CD248,HPSE2,,,,,,,PRR13,,PEBP4,,,,,,,,
ITIH4,CARD17P,AQP5,IFT70B,LINC02907,,,,,,,PAF1,,LRRC31,,,,,,,,
PCK2,LOC100131635,SLAMF1,RNPEP,LINC02994,,,,,,,CEP19,,HACL1,,,,,,,,
GGTLC2,ALOX5AP,PCCA,MAP3K15,PRSS3P3,,,,,,,PIM2,,USF3,,,,,,,,
HPN,GCM1,ENTPD3,PNMT,ADCY10,,,,,,,ABHD5,,,,,,,,,,
ADRA1B,NAMPT,LAMA1,MED17,ARTN,,,,,,,GPBP1,,,,,,,,,,
GLUD1,DENND3,IL10,PART1,AQP2,,,,,,,CASC3,,,,,,,,,,
EXPH5,MYADM,CSF2RA,TENM2,LINC02573,,,,,,,FBXL5,,,,,,,,,,
SIPA1L3,ITGAX,GSE1,ZNF337,RP1,,,,,,,OSBPL11,,,,,,,,,,
ARMH1,KLF10,DUSP14,ZNF556,TNP2,,,,,,,FGFR1OP2,,,,,,,,,,
TBC1D9B,PPP1R15A,RAVER2,DIRC3,SLC51B,,,,,,,HECA,,,,,,,,,,
LOC645188,ATG16L2,GNRH1,POU3F4,LINC03032,,,,,,,ATP13A3,,,,,,,,,,
STAP2,LIMK2,BTNL2,MCC,EEF1A1P9,,,,,,,ITM2B,,,,,,,,,,
PVRIG,SRGN,ZNF829,,CYCSP19,,,,,,,MOB1A,,,,,,,,,,
PCDHGC5,SNORD89,THOC2,,LCAL1,,,,,,,NFE2L2,,,,,,,,,,
PDCD1,ADIPOR1,TMEM100,,TPT1,,,,,,,IL17RA,,,,,,,,,,
CASKIN2,FYB1,PLEKHA7,,MYF5,,,,,,,CHD1,,,,,,,,,,
OTOGL,SH2D3A,LPL,,MAP3K9-DT,,,,,,,DDX21,,,,,,,,,,
PLK5,PRKCD,GNAL,,HHIPL2,,,,,,,FGD4,,,,,,,,,,
CAPN5,ADGRE2,TSPAN31,,HMGB1P10,,,,,,,YY1AP1,,,,,,,,,,
LSS,KATNBL1,RUNDC3B,,AKAP14,,,,,,,PCBP1,,,,,,,,,,
JPH2,SNORA48,APOL3,,MRFAP1,,,,,,,AFTPH,,,,,,,,,,
PLPPR5,NFKBIZ,SYBU,,TBL1Y,,,,,,,MEGF9,,,,,,,,,,
TSPAN1,CCL20,SMUG1,,SNORA3A,,,,,,,PPTC7,,,,,,,,,,
TAAR9,TNFRSF1B,LVRN,,PPIAP22,,,,,,,ACAP2,,,,,,,,,,
HTR7,DNAH17,ST6GALNAC6,,PPIAP29,,,,,,,JAK1,,,,,,,,,,
HTR1E,PREX1,GKAP1,,PPIAP31,,,,,,,SBNO1,,,,,,,,,,
EP400,IRF1,ECH1,,LSM14A,,,,,,,B2M,,,,,,,,,,
AMBP,TMEM71,SEPTIN11,,OR2H1,,,,,,,LMNB1,,,,,,,,,,
GPR61,GPR84,ZNF469,,TEDC2-AS1,,,,,,,DNAJB1,,,,,,,,,,
GLTPD2,S100A12,RAI2,,PLCE1-AS2,,,,,,,PDPK1,,,,,,,,,,
KCND2,AGTPBP1,FNDC1,,ZFAND6P1,,,,,,,GLT1D1,,,,,,,,,,
SLC22A7,NUP98,TRAP1,,RPL21,,,,,,,LINC01093,,,,,,,,,,
TMEM37,IFITM2,OR6B2,,RPL21P1,,,,,,,GRPEL1,,,,,,,,,,
PARP16,MOB3A,GYS1,,RPL21P11,,,,,,,NRDC,,,,,,,,,,
GTF3C5,CAMKK2,HEBP2,,RPL21P119,,,,,,,KAT6A,,,,,,,,,,
LDC1P,TNFAIP3,AOX1,,RPL21P16,,,,,,,HAPSTR1,,,,,,,,,,
GPR101,MCEMP1,SOCS1,,RPL21P28,,,,,,,GNAI2,,,,,,,,,,
SURF1,MIR3198-1,DCD,,RPL21P53,,,,,,,CDC42SE1,,,,,,,,,,
LRRC74A,BCL2A1,RNF17,,RPL21P75,,,,,,,RIOK3,,,,,,,,,,
ERMAP,FOS,GIMAP7,,RPL21P80,,,,,,,SLC25A44,,,,,,,,,,
GBP6,CFAP45,GFI1,,RPL21P93,,,,,,,CD300LB,,,,,,,,,,
GGT3P,MIR223,GAB2,,RPL21P97,,,,,,,AFF1,,,,,,,,,,
SNORD101,RASA2,STAT5A,,SNORA27,,,,,,,VDR,,,,,,,,,,
LAMA3,RASSF5,NTRK2,,ANKRD40CL,,,,,,,NFKB1,,,,,,,,,,
OTOL1,RNF149,TEX14,,HMGN2P3,,,,,,,SP100,,,,,,,,,,
POMT1,MIR1976,ARHGAP21,,UGT2A3,,,,,,,SSH2,,,,,,,,,,
MAMDC4,CASS4,PRSS1,,OR3A1,,,,,,,GORASP1,,,,,,,,,,
ENTPD8,TMEM154,MYH1,,LINC02237,,,,,,,CAPZB,,,,,,,,,,
TMEM63A,TNIP3,POLR2I,,GLRA3,,,,,,,KPNA1,,,,,,,,,,
FRA10AC1,CLEC4A,ID4,,SCNN1G,,,,,,,DDX3X,,,,,,,,,,
PACRGL,CXCL2,SEPTIN4,,ORM2,,,,,,,RC3H1,,,,,,,,,,
CFAP184,AQP9,CRACR2B,,LRIT1,,,,,,,ARPC3,,,,,,,,,,
H3C11,C5AR2,KRTAP10-2,,HSPD1P21,,,,,,,RAP1A,,,,,,,,,,
DPPA4,SOD2,F3,,WFDC6,,,,,,,ATP6V1B2,,,,,,,,,,
ADRA1A,CYTIP,SEH1L,,DMC1,,,,,,,MFSD14A,,,,,,,,,,
ZNF131,RSAD2,TRAPPC12,,LIPJ,,,,,,,SYNJ1,,,,,,,,,,
PDXP,MYO1F,CNTNAP4,,CASC23,,,,,,,MAPRE1,,,,,,,,,,
CCDC92,NFIL3,GPR160,,PPIAP11,,,,,,,PIP4P1,,,,,,,,,,
ARHGAP17,CLEC4E,C1QTNF6,,RPL7P25,,,,,,,MAP3K2,,,,,,,,,,
PPP1R1C,SLA,C1orf115,,PIRT,,,,,,,INPP5A,,,,,,,,,,
NPBWR1,CCNK,CLPTM1,,DNAJC2P1,,,,,,,CCDC93,,,,,,,,,,
PFDN5,FGR,ITPKC,,MIR124-1HG,,,,,,,ARHGAP25,,,,,,,,,,
ARRDC1,SLC43A2,OXGR1,,LINC02551,,,,,,,GOLGA7,,,,,,,,,,
CEL,CMTM2,TMTC1,,DDX53,,,,,,,PPP4R2,,,,,,,,,,
ZBED1,R3HDM4,SIRPG,,RNF11P2,,,,,,,CNBP,,,,,,,,,,
FAM236A,ALPL,TPCN1,,SRRM3,,,,,,,KLHL2,,,,,,,,,,
PLXNB2,TOR1AIP2,GIMAP8,,ERVV-1,,,,,,,OAZ2,,,,,,,,,,
TRPS1,WDFY3,BATF,,LBX1-AS1,,,,,,,GABARAP,,,,,,,,,,
CYSLTR2,DCUN1D3,ARL6IP4,,PDE6C,,,,,,,RHOT1,,,,,,,,,,
TBC1D21,CEACAM4,MTMR12,,DDX11-AS1,,,,,,,LILRA3,,,,,,,,,,
GDF5,ROPN1L,NPC1L1,,LINC03076,,,,,,,STX6,,,,,,,,,,
OR2AG2,NABP1,RFTN1,,NKX2-1,,,,,,,BCL10,,,,,,,,,,
FBXO17,CCL3,FANCB,,RNU6-64P,,,,,,,CLK3,,,,,,,,,,
RDH12,WAS,HSD11B1,,LINC00507,,,,,,,FBXO34,,,,,,,,,,
IGF1,WTAP,CD80,,RAX2,,,,,,,SNX11,,,,,,,,,,
FOXA2,HCLS1,VAMP5,,GARIN3,,,,,,,FLI1,,,,,,,,,,
SIAH2,MIR4632,PGM5P2,,PRAC1,,,,,,,MYLIP,,,,,,,,,,
OR2C3,GRAMD1A,TST,,RPL32,,,,,,,NLRC4,,,,,,,,,,
BEX3,ARL5B,ICAM2,,RPL32P16,,,,,,,ATP6V1A,,,,,,,,,,
IL17RE,HCK,RACK1,,RPL32P18,,,,,,,RBPJ,,,,,,,,,,
SLC23A1,SNORD117,PAGE2,,SNORA7A,,,,,,,CDC42EP3,,,,,,,,,,
ARSF,PPP1R15B,PSG3,,EEF1A2,,,,,,,HMGCR,,,,,,,,,,
IHH,DOCK8,LINC01588,,SPMAP1,,,,,,,BMT2,,,,,,,,,,
PLA2G6,FMNL1,SLC25A1,,TRAV40,,,,,,,ARPC2,,,,,,,,,,
OR6C74,TMCC3,NDNF,,ACOT6,,,,,,,PHF13,,,,,,,,,,
SOAT2,GPR65,CDKN2B,,ASZ1,,,,,,,SP3,,,,,,,,,,
KCNG4,CYRIA,RHOXF1,,PIK3CA-DT,,,,,,,CALCOCO2,,,,,,,,,,
TMEM52,EVI2A,TM4SF4,,CST11,,,,,,,NEDD9,,,,,,,,,,
SP6,USB1,NPR3,,OR5G1P,,,,,,,PLCG2,,,,,,,,,,
OCEL1,CYB5R4,PPP1R14A,,PAX8,,,,,,,PAFAH1B2,,,,,,,,,,
DHCR24,KIF21B,ALDH1A2,,FENDRR,,,,,,,HNRNPC,,,,,,,,,,
CPTP,KLF2,CHN2,,MIR934,,,,,,,VPS35,,,,,,,,,,
NOL4,LINC01001,PCOLCE2,,TAFA4,,,,,,,PHF20L1,,,,,,,,,,
IGSF1,RHOG,SEL1L2,,FREY1,,,,,,,ACTR3,,,,,,,,,,
B4GALNT1,SMCHD1,CCND1,,REG3A,,,,,,,USP4,,,,,,,,,,
WDR5,CR1,DAZL,,GOT1L1,,,,,,,GNA13,,,,,,,,,,
PTMS,MPZL3,NRROS,,BTF3P11,,,,,,,JUNB,,,,,,,,,,
COQ10A,ZNF200,GAPDHS,,ARGLU1-DT,,,,,,,MAPKAPK2,,,,,,,,,,
FAM186B,MIR4772,SSC5D,,HMGN1,,,,,,,IST1,,,,,,,,,,
ASXL1,ZNF143,APCDD1,,HMGN1P36,,,,,,,FBXO38,,,,,,,,,,
RIPK4,APAF1,PLS1,,DGCR5,,,,,,,MORC3,,,,,,,,,,
C2orf42,NCF4,FMO2,,LINC00375,,,,,,,ACOT9,,,,,,,,,,
THSD4,PNRC1,CT47A6,,CDY1,,,,,,,EHBP1L1,,,,,,,,,,
GPR151,TUT7,ZSWIM2,,CDY1B,,,,,,,KDM3A,,,,,,,,,,
TMPRSS6,C15orf39,TAMALIN,,ZFP42,,,,,,,OSBPL2,,,,,,,,,,
AGT,ASTL,GZMA,,CELA3B,,,,,,,SNX18,,,,,,,,,,
RASSF8,NHSL2,H2AJ,,GYPA,,,,,,,CHUK,,,,,,,,,,
BPHL,GLIPR2,MPL,,PRKCA-AS1,,,,,,,LRRFIP1,,,,,,,,,,
ANKS6,CLEC7A,SLC12A2,,CABCOCO1,,,,,,,PGD,,,,,,,,,,
GJA4,MCOLN1,PSMD8,,C22orf15,,,,,,,DENND10P1,,,,,,,,,,
RAB26,HSH2D,TNIK,,LINC03121,,,,,,,PTP4A2,,,,,,,,,,
KRT79,SEMA4A,FBXO31,,ERICH5,,,,,,,POU2F1,,,,,,,,,,
EFNA3,FCGR2A,CYYR1,,CFC1,,,,,,,RAB5C,,,,,,,,,,
ASB8,ADAM8,TONSL,,CFC1B,,,,,,,NAPA,,,,,,,,,,
H1-1,NAGK,LIG1,,TRIM67-AS1,,,,,,,RAB33B,,,,,,,,,,
PGAP3,ALPK1,TFRC,,LINC00424,,,,,,,IQGAP1,,,,,,,,,,
NEU4,ZBP1,ALDH1L1,,KRT40,,,,,,,BAZ2A,,,,,,,,,,
LIME1,SOCS3,CLDN3,,RPL39,,,,,,,RAB7A,,,,,,,,,,
EVX1,UBE2D1,PRKAG3,,RPL39P3,,,,,,,CEP63,,,,,,,,,,
C4A,CHP1P2,YBX2,,SNORA69,,,,,,,GTDC1,,,,,,,,,,
UQCR11,RGL4,MMRN2,,TCAF2,,,,,,,CPPED1,,,,,,,,,,
MMAB,PLAUR,SCAND3,,KLK3,,,,,,,NCOA4,,,,,,,,,,
HOXC4,CBL,ROCK2,,RAC3,,,,,,,DNAJA2,,,,,,,,,,
STARD10,RAB24,TTC36,,CELA2B,,,,,,,SUPT4H1,,,,,,,,,,
IGSF9,RIPOR2,FRZB,,LINC03095,,,,,,,SH3BP5,,,,,,,,,,
CFAP57,BCL3,DOCK10,,LINC02070,,,,,,,CHMP2A,,,,,,,,,,
BICRA,FRAT2,INSRR,,TDH,,,,,,,RNF111,,,,,,,,,,
CARMIL3,IVNS1ABP,COL5A2,,FRY-AS1,,,,,,,YIPF1,,,,,,,,,,
