GSE50509,GSE91061,GSE50509|GSE91061
MXRA7,LIPN,
MUC7,GK,
OLIG2,TREML3P,
SALL4,SAT1,
RPS17,TSPAN16,
PLXNA2,H2BC18,
PCDH10,MMP25,
RLN2,HCAR2,
KANK1,CLEC4D,
TSPAN7,IL1B,
HP,IRAK2,
ZCCHC12,ARHGAP26,
C6,HCAR3,
RASSF9,CXCL8,
ALX3,PROK2,
SH3GL3,SELL,
TMEM30B,GADD45B,
PDPN,ZC3H12A,
PPEF1,H2BC21,
FAM13A-AS1,SLED1,
TNFAIP8L3,SLC2A14,
KLHL14,ARRB2,
AQP7P1,CDKN2D,
SWAP70,MIR3945,
TPTE2,SNORA31,
GAD2,IL18RAP,
PRRT2,CDC42EP2,
YTHDF2,LINC02649,
NPW,CYTH4,
SLC38A11,NOD2,
COL6A6,SLC25A37,
NRROS,MIR629,
NPAS1,BASP1,
RBBP7,VASP,
ODAD2,TREM1,
HRC,DHX34,
TPP2,CSGALNACT2,
PLCB4,RILPL2,
TENT5D,PTPRE,
PCDH11X,ARID3B,
EHD3,IL1RN,
LHX6,PTK2B,
CRLF1,SLC12A6,
USP17L2,TLR2,
CDH17,CARD17P,
PTGS1,STK40,
SFRP4,LITAF,
PRAC1,LOC100131635,
PIWIL4,ALOX5AP,
MGA,GCM1,
CSPG5,NAMPT,
CA3,DENND3,
PRORSD1P,MYADM,
MOAP1,ITGAX,
TMEM108,H3-3B,
DPT,KLF10,
TPTE2P6,APOBEC3A,
TMEFF2,PPP1R15A,
SLC25A6,ATG16L2,
SMARCC1,LIMK2,
TBC1D4,SRGN,
EPHA3,ADIPOR1,
REM2,FYB1,
TLR7,SH2D3A,
DAPK1,ZNF230,
GEM,PRKCD,
FAM153B,ADGRE2,
CDH11,KATNBL1,
CLEC1A,SNORA48,
CNTN4,NFKBIZ,
NOS3,CCL20,
DCTN3,ACSL1,
LRP1B,TNFRSF1B,
PDE3B,DNAH17,
MYO3A,PREX1,
SPARCL1,CSRNP1,
ZNF512,TMEM71,
LINC00485,GPR84,
TXK,NDEL1,
PRTFDC1,S100A12,
PPARG,AGTPBP1,
RIPPLY3,RNF213-AS1,
APOC1,NUP98,
CLIP3,PIAS1,
GIMAP8,IFITM2,
RPL13A,MOB3A,
CNN1,CAMKK2,
PTH1R,TNFAIP3,
RTN1,CFLAR-AS1,
MCF2L-AS1,MCEMP1,
DACT3,MIR3198-1,
NUAK1,IFNGR1,
EPHX2,RLF,
C6orf132,BCL2A1,
CETN2,FOS,
TMEM18,CFAP45,
NNMT,TANK,
CPB2,MCTP2,
SMIM11,MIR223,
TNNT3,RASA2,
TTI2,RASSF5,
ZHX3,RNF149,
MYH11,MALAT1,
FNDC1,CAP1,
KANK4,SLC11A1,
RPL10,CASS4,
CD247,TMEM154,
TGFBR3,TNIP3,
THBS1,ZSWIM6,
TMEM89,CLEC4A,
PCDHB8,CXCL2,
RBP4,AQP9,
EGR2,C5AR2,
RTN4RL1,RIT1,
TLL1,PGS1,
CHRNA3,UBAP1,
PRICKLE1,SOD2,
PPFIA4,CYTIP,
PDGFRL,RSAD2,
CLSTN2,CHST15,
DUSP12,MYO1F,
PRND,MIR3945HG,
KLRB1,NFIL3,
CHRDL2,CLEC4E,
NELL1,SLA,
ARCN1,TREML4,
THBS4,CCNK,
CLN8,FGR,
MRGBP,SLC43A2,
CPE,APBB1IP,
SEMA3G,CMTM2,
GREB1,U2AF1,
IFT70B,R3HDM4,
KMT2A,ALPL,
CENPV,TOR1AIP2,
SNORA5C,WDFY3,
NET1,CEACAM4,
LPIN1,ROPN1L,
BEX2,NABP1,
C3orf18,KCNJ15,
CNRIP1,CCL3,
DNAJB5,IL10RB,
KIF5C,WAS,
ID3,WTAP,
ALDH1B1,HCLS1,
CCDC74B,MIR4632,
IL18BP,CCRL2,
IQCG,GRAMD1A,
PTH2R,ARL5B,
CEP170B,H2BC4,
RPL29,SNORD117,
GSR,ANKRD13A,
FGF9,PPP1R15B,
LOC440910,PELI1,
LOC100132154,IL1R2,
TMSB15A,DOCK8,
GNA12,FMNL1,
SMS,TMCC3,
TOGARAM2,GPR65,
CDKN2C,CYRIA,
STMN2,LILRA5,
YBEY,EVI2A,
ANGPT2,IPMK,
NSMCE2,USB1,
IGDCC3,CYB5R4,
LINC00324,KIF21B,
LNX2,KLF2,
JPH4,LINC01001,
LRRC8A,RHOG,
GNA14,SMCHD1,
GNLY,CR1,
MINAR1,MPZL3,
MFNG,ZNF200,
PKP3,MIR4772,
ELOVL4,ZNF143,
ARHGAP32,CMTM6,
NHLRC3,ETF1,
MECOM,APAF1,
ALDH1A2,NCF4,
HOXD1,MGAM,
WWC1,PNRC1,
RAET1K,MTMR3,
CES4A,TUT7,
DSTNP2,C15orf39,
SNORD119,ASTL,
KCNK1,NHSL2,
CDK13,GLIPR2,
ARHGAP20,HIF1A,
MTMR11,CLEC7A,
ANKRD35,SNORA67,
MS4A2,PPIF,
DACT1,MCOLN1,
APOE,HSH2D,
ZCCHC14,SEMA4A,
CMTM7,RYBP,
MDK,FCGR2A,
SPANXN3,ADAM8,
IGF2BP2,NAGK,
OPN3,ALPK1,
LYPLAL1,SOCS3,
CCDC3,UBE2D1,
DMP1,CHP1P2,
MBOAT1,RGL4,
DNM3,NBEAL2,
NEXN,PLAUR,
CCN1,CBL,
CD2,RAB24,
CTPS2,UNC119,
SP9,RIPOR2,
ABCA6,NUP58,
INA,BCL3,
TAOK3,FRAT2,
CAVIN1,IVNS1ABP,
GPR18,TET2,
GATM,ZNF438,
RSPO3,CCL4,
FAR2P1,RALGDS,
WDR64,PIK3AP1,
CUL4A,FAM107B,
PTGER4,PADI4,
RNASE6,ATG7,
CDH10,SHOC2,
TCEAL7,THEMIS2,
PCDH17,PLEKHB2,
ACTG2,HELB,
HTR1D,NCF1,
UTP25,LOC100130357,
PDE8B,BST1,
UBE4B,ZBTB48,
ATP1B1,RALB,
YBX2,DDIT3,
SLC25A13,TET3,
DKK1,C15orf48,
NDRG4,MCL1,
FZD8,SH3BP2,
NDNF,CHD2,
SNORA70,ZBTB11,
CLMP,LRRC25,
ZNF330,JMJD1C,
LINC00347,USP3,
CMTM8,FTH1,
KLHL13,CYLD,
COMMD6,IL2RG,
HHIPL2,PLK3,
CA12,VSIR,
LGALS2,IL18R1,
CD3D,CD274,
ZNF280D,PIM1,
KANSL3,TMCC1,
MRAP,CFLAR,
ZFYVE21,TFE3,
HS3ST3A1,DAZAP2,
HTN1,OSER1,
GCNT2P1,RAC2,
ZNF475,MLKL,
OGN,IFRD1,
NLRP7,PRKD2,
RASL10A,SDE2,
USP54,SPOPL,
HAPLN1,TMEM167B,
ABCG5,PLEKHM1,
AKR1B1,TNFAIP2,
LRRC4C,DYNLT4,
LOC100127955,RNF13,
RPL32,RBM15,
MBL2,IFIT2,
GPM6B,PTX3,
PHYHIPL,FGD3,
RPS11,PTAFR,
FYN,GBP5,
FSTL4,GMFG,
OR10H4,ABCA1,
MARCHF11,SEMA4D,
TSPAN14,IPCEF1,
TLR10,DENND5A,
OR4F21,SERPINB1,
MALL,TLE3,
SPAG6,GRB2,
SLC45A1,ATG2A,
IL27RA,STAT3,
SOX11,LBR,
GPRC5C,MOSPD2,
ENTREP3,RARA,
NME7,PILRA,
SNX21,VPS9D1,
CHST11,SLC6A6,
RLN1,RELT,
SRPX2,VNN3P,
EFNA4,CDA,
LHFPL6,ADAMTSL4,
PLAAT4,UBE2B,
DEFB116,TRAFD1,
HECTD4,SP110,
,CARD16,
,FOLR3,
,RGS18,
,RNF19B,
,PCNX1,
,H2BC8,
,TLR4,
,JOSD1,
,CYTH1,
,NCOA1,
,UBC,
,MPHOSPH10P1,
,HSPA1A,
,RHOA,
,LILRA1,
,SMAP2,
,UIMC1,
,ATP6V0D1,
,LRRK2,
,ADGRE1,
,IRF2,
,MYD88,
,BTG2,
,CXorf38,
,CAB39,
,TREML2,
,ZNF107,
,USP32,
,DOCK5,
,DSE,
,RRAGC,
,NCF1C,
,CRTC2,
,SKAP2,
,TNFSF14,
,SNAPC1,
,ACTB,
,GLUL,
,GMIP,
,PICALM,
,C16orf54,
,RNF24,
,STX11,
,SNX20,
,CNN2,
,SECTM1,
,IL10RB-DT,
,SMTNL1,
,RAB8A,
,PLEKHM1P1,
,SETX,
,RTF1,
,CPEB4,
,FAM86B3P,
,RGS2,
,NFE2,
,FHIP1B,
,RAB21,
,CCR1,
,TPM3,
,OXSR1,
,EPS15L1,
,HIVEP2,
,MAP1LC3B,
,CFAP58,
,PLSCR1,
,MAP1LC3B2,
,PTENP1,
,MSRB1,
,PNPLA8,
,GYG1,
,PSTPIP2,
,TMEM131L,
,SNORD12B,
,ANKZF1,
,ARHGAP9,
,FKBP15,
,LINC03033,
,CYRIB,
,GNAI3,
,ARL11,
,OSTF1,
,MIR4521,
,LST1,
,ETS2,
,DNM2,
,ARHGDIB,
,PITPNA,
,FTH1P3,
,DOK3,
,IL4R,
,SIRPB1,
,C5orf58,
,PRKACA,
,CTDP1,
,PRR13,
,BOD1L1,
,PAF1,
,USPL1,
,CEP19,
,AMPD3,
,MAST3,
,ABHD5,
,FBXW7,
,JAML,
,ZFP36L1,
,RNF10,
,GPBP1,
,DEDD2,
,BACH1,
,RNF213,
,CASC3,
,SNORD63,
,ALAS1,
,BAZ1A,
,ITGAM,
,FBXL5,
,RAB20,
,AMN1,
,FNIP1,
,ETV6,
,MYL12A,
,OSBPL11,
,NCF1B,
,FGFR1OP2,
,RASSF2,
,IER5,
,SORL1,
,HECA,
,MIR222,
,SRPK1,
,LILRB2,
,MED28,
,ATP13A3,
,NT5C2,
,CD300A,
,LAT2,
,CST7,
,ST8SIA4,
,TNFRSF9,
,STK17B,
,LIN54,
,EML4,
,PLAGL2,
,RAB11FIP1,
,FNDC3B,
,LAPTM5,
,P2RY14,
,ITM2B,
,MOB1A,
,CARINH,
,TG,
,RP2,
,NLRP12,
,CDC42SE2,
,NFE2L2,
,MBOAT7,
,TECPR2,
,AOC2,
,GABARAPL2,
,IL17RA,
,CHD1,
,MAPK14,
,C19orf38,
,ZNF117,
,DDX21,
,HSPA1B,
,TMEM273,
,NFKB2,
,LMTK2,
,ZNF333,
,NCR1,
,CMTM1,
,MIR21,
,SIRT7,
,FGD4,
,PPP3R1,
,ZNF292,
,ZXDC,
,ELOVL5,
,GLYR1,
,YY1AP1,
,MIR4420,
,PCBP1,
,AFTPH,
,GNG2,
,TTC21A,
,NECAP1,
,DUSP1,
,MED13L,
,MEGF9,
,GPR108,
,P2RY13,
,FOSL2,
,PPTC7,
,SLC45A4,
,PXN,
,ANKRD12,
,CYBC1,
,ALOX5,
,FCGR1BP,
,CKLF,
,ACAP2,
,SLC9A8,
,HK3,
,CXCR4,
,SBNO1,
,B2M,
,PTEN,
,RPS6KA1,
,LMNB1,
,NADK,
,DNAJB1,
,CTBS,
,CD69,
,PDPK1,
,ABTB1,
,NR6A1,
,GLT1D1,
,TRIM38,
,LINC01093,
,GRPEL1,
,JAK3,
,ERN1,
,NRDC,
,TRIP10,
,BID,
,SNORA36A,
,CTC1,
,NIBAN1,
,KAT6A,
,HAPSTR1,
,GNAI2,
,CDC42SE1,
,BRAF,
,RIOK3,
,ARHGAP27,
,PER1,
,SLC25A44,
,CD300LB,
,VAMP3,
,AFF1,
,PGGHG,
,VDR,
,NFKB1,
,SNORA29,
,CRLF3,
,ZNF222,
,SIK3,
,F11R,
,SP100,
,CLP1,
,NEAT1,
,SUPT6H,
,SSH2,
,GORASP1,
,SNAP23,
,PLEKHO2,
,CAPZB,
,TMEM120A,
,SERPINB9,
,KPNA1,
,ERI1,
,ETV3,
,DDX3X,
,DOCK4,
,PPCDC,
,PTPN12,
,LYRM1,
,MIR4489,
,BRWD3,
,WBP2,
,ERV3-1,
,ANKRD13D,
,BLTP3B,
,RC3H1,
,MKNK2,
,RNF141,
,ARPC3,
,RAP1A,
,GRK6,
,ATP6V1B2,
,SERTAD3,
,PTPN6,
,MFSD14A,
,TAB2,
,MIR3605,
,PPP1R18,
,SYNJ1,
,MAPRE1,
,AKIRIN2,
,PIK3R6,
,PIP4P1,
,PDLIM7,
,PHF20,
,MAP3K2,
,TLR8,
,INPP5A,
,PADI2,
,HDAC3,
,SPI1,
,CCDC93,
,NLRP1,
,CREB1,
,CD48,
,GOLGA7,
,PPP4R2,
,CNBP,
,ATXN1,
,ALOX12-AS1,
,TRIM22,
,KLHL2,
,XRN1,
,CAMK1D,
,OAZ2,
,GABARAP,
,LINC00641,
,VPS8,
,RHOT1,
,EFHD2,
,TNFSF13B,
,LILRA3,
,STX6,
,ANXA3,
,BCL10,
,IGF2R,
,CLK3,
,FBXO34,
,KRT23,
,KIAA0513,
,GPSM3,
,SNX11,
,UBN1,
,HPSE,
,FLI1,
,DUSP2,
,STXBP2,
,MYLIP,
,HRH2,
,NLRC4,
,MME,
,SHKBP1,
,PAK2,
,ZC3H18,
,ATP6V1A,
,PDCD4-AS1,
,RICTOR,
,EIF4E3,
,GPR141,
,CD83,
,DGAT2,
,PANK2,
,RBM22,
,RALGAPA2,
,RBPJ,
,SLBP,
,NUAK2,
,LILRA6,
,IDI1,
,CDC42EP3,
,SF3A1,
,NTNG2,
,HMGCR,
,GPATCH2L,
,SLC35A2,
,AKNA,
,PRR7-AS1,
,PATL2,
,ANKRD33B,
,ZNF276,
,GATAD2B,
,NLRC5,
,CD37,
,BMT2,
,ARPC2,
,EIF1B,
,PHF13,
,ZBTB43,
,SP3,
,CALCOCO2,
,NEDD9,
,IL6R,
,TLR5,
,EGR3,
,PIM3,
,NOTCH1,
,KDM4B,
,PLCG2,
,ICAM3,
,PAFAH1B2,
,HNRNPC,
,VPS35,
,PHF20L1,
,ITSN2,
,TIPARP,
,ALOX12,
,ACTR3,
,CISH,
,USP4,
,TOR1B,
,GNA13,
,TMEM88,
,GLA,
,UBE2R2,
,MX2,
,S100A9,
,GDAP2,
,JUNB,
,MAPKAPK2,
,MFSD13A,
,SNORA20,
,ARAP1,
,GTF2A1,
,IST1,
,PPP1R12A,
,LINC01366,
,CCT6P3,
,H3C4,
,SH2D3C,
,FBXO38,
,GSEC,
,LPAR2,
,RHOH,
,MORC3,
,ACOT9,
,EHBP1L1,
,KDM3A,
,OSBPL2,
,APBB3,
,FBXL13,
,USP25,
,KCNJ2,
,PARP14,
,SNX18,
,CXCL1,
,SIRPB2,
,SERPINB2,
,UBXN2B,
,CHUK,
,ARID4B,
,SLC15A4,
,USP10,
,LRRFIP1,
,PGD,
,DENND10P1,
,ICAM1,
,ZNF277,
,ST20,
,PTP4A2,
,ELF4,
,POU2F1,
,EMB,
,RAB31,
,HLA-C,
,TMEM11,
,STK38L,
,RAB5C,
,NAPA,
,RAB33B,
,INSIG1,
,RNF166,
,ADPGK,
,ZYX,
,NATD1,
,C3orf62,
,TMEM140,
,IQGAP1,
,PXK,
,BAZ2A,
,RAB7A,
,ANKDD1A,
,SNORD37,
,VMP1,
,CEP63,
,SIPA1,
,RFX2,
,RELA,
,HM13-AS1,
,GTDC1,
,NAPA-AS1,
,CPPED1,
,WSB1,
,FAM151B,
,NCOA4,
,ELF2,
,DNAJA2,
,SUPT20H,
,SUPT4H1,
,CXCL16,
,SH3BP5,
,CHMP2A,
,KMT2C,
,RNF111,
,YIPF1,
,CRK,
,ZNFX1,
,IKBKG,
,RSRC2,
,ELMO2,
,CLASRP,
,SAMD4B,
,LSP1,
,ARID4A,
,TMOD3,
,GPR132,
,VHL,
,TRIM5,
,MIR4742,
,CDC42,
,SEC14L1,
,MARK3,
,TBC1D15,
,RAP2C,
,VAPA,
,FCER1G,
,DBNL,
,MIDEAS,
,TMEM50A,
,CELF1,
,EXOC8,
,NOTCH2,
,SQSTM1,
,MYH9,
,HSPBAP1,
,MAP4K2,
,HIVEP1,
,HSPA6,
,CDK9,
,HSPA5,
,SCYL2,
,TSPAN2,
,LASP1,
,MIR22HG,
,EXOC6,
,PATL1,
,PHAF1,
,SAR1A,
,AGO4,
,AMPD2,
,ZNF487,
,PLAU,
,MAPK6,
,OGA,
,JAK2,
,BRD4,
,ARID3A,
,YTHDC1,
,MSL1,
,GGA3,
,ARIH1,
,PHF12,
,VPS37B,
,DCAF12,
,KLF6,
,PRCP,
,SRA1,
,CMIP,
,MSL3,
,STK10,
,DNTTIP2,
,CHMP4B,
,MITD1,
,ZFAND6,
,FCN1,
,LUZP6,
,ZDHHC3,
,FCHO1,
,NDST2,
,PCYT1A,
,PDE4B,
,TLR1,
,PKNOX1,
,TGFBR1,
,SP2,
,ADGRE5,
,BICD2,
,LILRA2,
,SNORD35B,
,TLN1,
,IFNAR1,
,RCOR1,
,RTN3,
,CYSLTR1,
,CORO1C,
,NIT1,
,ATP11B,
,KLHL21,
,INPP4A,
,ATXN7,
,PARP9,
,FAM131A,
,PTBP3,
,CFL1,
,B3GNT2,
,PPP3CA,
,TMSB4X,
,IKZF1,
,H2BC20P,
,TNFAIP8,
,GAB3,
,FLCN,
,DAPK2,
,LPCAT2,
,ATG12,
,BCL2L11,
,PFN1,
,SS18L2,
,HIPK1,
,CSNK1D,
,NXF1,
,TUBA4A,
,CEBPB,
,BRI3,
,SP1,
,HERC3,
,TIFA,
,USP9X,
,HNRNPF,
,ARHGAP30,
,SCLT1,
,STXBP3,
,COP1,
,SH3GLB1,
,NFAM1,
,TCP11L2,
,HLA-E,
,CHSY1,
,INPP5D,
,MSN,
,HBP1,
,TBK1,
,RAB3A,
,ZNF319,
,MAP2K6,
,RMC1,
,KRAS,
,GLRX,
,LPCAT1,
,SYAP1,
,AP1G1,
,CARD8,
,FHL3,
,TMEM234,
,FOXO3,
,NFAT5,
,FBXO33,
,STX3,
,C9orf78,
,PSME3IP1,
,IFITM1,
,S100A11,
,ATP2B1,
,SMG7,
,PRELID1,
,MYL12B,
,PPP4R1L,
,ITGB2-AS1,
,MBD2,
,ADAR,
,FAM220A,
,MTFMT,
,PPP4R1,
,FAM76A,
,ZNF654,
,LAMP2,
,RAPGEF6,
,SIPA1L1,
,UBE2D3,
,CD46,
,SLU7,
,B3GNT8,
,GSKIP,
,DENND1A,
,PRKCB,
,ADAM17,
,ANKLE2,
,KMT5A,
,ADAT1,
,SNRNP27,
,TSC22D3,
,ARPC5,
,MAP3K3,
,ZNF429,
,SPG11,
,SMG1,
,S100A8,
,TMEM170B,
,MTRNR2L8,
,ANP32A,
,TRAF3IP3,
,ABCA7,
,SESN2,
,RAB35,
,IL1RAP,
,NSFL1C,
,LPP,
,TDP2,
,NOP10,
,FBXO42,
,DYNLT1,
,GAPVD1,
,PHF11,
,MDM4,
,RAD23B,
,BTG1,
,NFATC3,
,KDM1B,
,SAMD8,
,ELF1,
,SH3BP5-AS1,
,AREL1,
,MARCHF8,
,KLHL28,
,NMI,
,ROCK1,
,NUB1,
,ARHGAP27P1,
,IFITM3,
,RNF41,
,MAML1,
,DEDD,
,VPS18,
,FBXW2,
,MORF4L2,
,SAP30BP,
,FRAT1,
,STX4,
,RBMS1,
,CREBRF,
,UBE2W,
,SRXN1,
,MAP2K4,
,CD82,
,RNASEL,
,IRAG1,
,SRSF3,
,TBC1D2,
,PJA2,
,YPEL3,
,STAT1,
,WDR47,
,UBR4,
,CNEP1R1,
,MAEA,
,MIR548H4,
,ZC3H7A,
,DENND4A,
,PI3,
,OSBPL8,
,UBA3,
,DNAJC5,
,WDR1,
,ITPRIP,
,LINC-PINT,
,SAMD9,
,DOCK11,
,TPST2,
,LAMTOR3,
,QKI,
,PPP2R5C,
,TSEN34,
,EBLN2,
,THAP9-AS1,
,DIAPH1,
,SIN3A,
,SBNO2,
,ZMAT2,
,CREB5,
,FAM200B,
,ZNF394,
,ARFIP1,
,CLEC2B,
,MIR5685,
,CALML4,
,THRAP3,
,NIN,
,TMEM260,
,DMXL2,
,ZCCHC2,
,CTSS,
,RIGI,
,CNOT8,
,EIF4A3,
,ACCSL,
,FAR1,
,IFNAR2,
,TBXAS1,
,CFP,
,UBR1,
,HSDL2,
,HNRNPK,
,CHMP2B,
,MED11,
,MAPK13,
,MTMR14,
,STK38,
,SF3B1,
,RBL2,
,PPP1R3B,
,TRA2B,
,ATP2B1-AS1,
,BIRC3,
,OASL,
,SETD5,
,MAP3K13,
,PSMA3-AS1,
,TNFRSF1A,
,PPM1B,
,PAG1,
,MARCHF7,
,FAM193B,
,FAM13B,
,SHISA5,
,CCDC9,
,GUSBP11,
,HMGB2,
,GPN3,
,LRCH4,
,TXNIP,
,IDS,
,BMAL1,
,PLCL2,
,VAMP1,
,RNF144B,
,ZBTB49,
,MARK2,
,AKIRIN1,
,TASL,
,LENG1,
,ACTG1,
,RAB5A,
,SEC16A,
,VCL,
,CYP19A1,
,CHIC2,
,VCF1,
,PLEKHM3,
,GTF2B,
,NQO2,
,AK2,
,SH2B2,
,STAU1,
,APMAP,
,EIF4EBP2,
,HSD17B11,
,SDCCAG8,
,IER2,
,RAF1,
,KMT2B,
,HERPUD1,
,OGFRL1,
,ATG3,
,WIPF1,
,SENP7,
,WASHC4,
,TOPORS,
,MAFF,
,SPPL2A,
,CXorf65,
,ACAA1,
,NGLY1,
,PSTPIP1,
,AGO2,
,SPAG9,
,ZNF324,
,BNIP3L,
,EHD4,
,ATP6V1E1,
,BAZ2B,
,OGFR,
,SPACA6,
,RAD9A,
,STARD8,
,SNORA12,
,POLM,
,ARF1,
,ZNF592,
,YPEL5,
,C4orf3,
,FOXJ2,
,TENT4B,
,ATP6AP2,
,NINJ1,
,ACTR2,
,NRBF2,
,IER3,
,CLIC1,
,LOC100289473,
,PHF23,
,CHURC1,
,COTL1,
,LRP5L,
,CD300E,
,RTF2,
,RTN4,
,PML,
,IRAK4,
,MBOAT2,
,SLC25A28,
,ANKRD11,
,AKAP10,
,TALDO1,
,PPP2R3C,
,MXD3,
,SCAF11,
,LONRF3,
,RBM47,
,OTUD5,
,ZNF281,
,HBEGF,
,UBLCP1,
,TECPR1,
,TLR6,
,TRPC4AP,
,SELPLG,
,MAP3K8,
,DUSP18,
,ZNF770,
,MAPRE2,
,ZNF586,
,BZW1,
,CA4,
,TINF2,
,BTK,
,PPP4C,
,BLOC1S3,
,MOB3C,
,SF1,
,TOM1,
,PELI2,
,GRK2,
,NPEPPSP1,
,BSDC1,
,RHBDF2,
,SLC36A1,
,RSPRY1,
,PLB1,
,IMPDH1,
,ZNF641,
,CCNH,
,ERICH1,
,CLK2,
,ZNF791,
,NFYA,
,JARID2,
,MED20,
,VPS26A,
,PHOSPHO1,
,TTPAL,
,METTL22,
,PPP1R21,
,RBM8A,
,JMJD6,
,SAMD9L,
,SVIL,
,CASP8,
,ADM,
,GBP1,
,TOX4,
,DAGLB,
,IK,
,AGO3,
,TAF10,
,DDIT4,
,YWHAB,
,TXNDC11,
,WIPF2,
,ZFC3H1,
,USP38,
,USP39,
,RIC1,
,PIK3R1,
,PACSIN2,
,SQOR,
,LTA4H,
,MAX,
,SYK,
,SCARNA9,
,TBC1D14,
,HNRNPM,
,PSEN1,
,RNF114,
,ZFAND2B,
,FUS,
,GCH1,
,DEF6,
,RSBN1,
,ATP6V0E1,
,ZFAND5,
,KDM5C,
,SETD3,
,AMOTL2,
,POLK,
,ADRB2,
,TMEM127,
,TERF2IP,
,ARMT1,
,DCTN4,
,TYK2,
,CCND3,
,HNRNPL,
,ORC2,
,MAFG,
,ZFAND3,
,NARF,
,ZNF18,
,STX12,
,APOBR,
,RCSD1,
,ARL8A,
,SH3BP5L,
,TMEM183A,
,INKA2,
,RAB1A,
,HNRNPA3,
,GLS,
,PGLYRP1,
,SULT1B1,
,SENP3-EIF4A1,
,UBE2H,
,MYNN,
,MMD,
,NKIRAS2,
,UBE2L6,
,TRAPPC14,
,PEF1,
,RBM17,
,CHMP1B,
,ING2,
,SAFB,
,ST3GAL2,
,LINS1,
,SLC25A40,
,FCHSD1,
,RNF40,
,RPUSD3,
,LIN37,
,TUSC2,
,GALNT1,
,MARCHF5,
,CCDC88B,
,SLC12A9,
,CREM,
,PLIN5,
,ATP23,
,C2orf68,
,RABGAP1L,
,BET1L,
,MTX1,
,PLD2,
,ZNF552,
,UBR2,
,YOD1,
,BATF2,
,MARF1,
,DPYD,
,NPAT,
,STRN,
,RUNDC1,
,KLF7,
,TRANK1,
,DENND4B,
,CBX4,
,SLC22A4,
,LATS2,
,KCNIP2,
,SNIP1,
,IFIT3,
,PISD,
,TPK1,
,KDM2A,
,ARNT,
,NT5C3A,
,MBD6,
,P2RX1,
,ALDH9A1,
,LSM10,
,KDM7A,
,AZIN1,
,DHRS12,
,TOP1,
,TPRG1L,
,PLAGL1,
,ZNF100,
,AP3S1,
,DPEP2,
,CGGBP1,
,PPP1R3D,
,SF3B4,
