IGLV3-21	UniProtKB:P80748	Immunoglobulin lambda variable 3-21
TRAV8-3	UniProtKB:A0A0A6YYJ7	T cell receptor alpha variable 8-3
TRBV6-8	UniProtKB:A0A0A6YYG3	T cell receptor beta variable 6-8
TRBV6-6	UniProtKB:A0A0A6YYG2	T cell receptor beta variable 6-6
TRAV14DV4	UniProtKB:A0A0A6YYC5	T cell receptor alpha variable 14/delta variable 4
SOCS3	UniProtKB:O14543	Suppressor of cytokine signaling 3
IL18RAP	UniProtKB:O95256	Interleukin-18 receptor accessory protein
EOMES	UniProtKB:O95936	Eomesodermin homolog
SWAP70	UniProtKB:Q9UH65	Switch-associated protein 70
STAT3	UniProtKB:P40763	Signal transducer and activator of transcription 3
STAT3	UniProtKB:P40763	Signal transducer and activator of transcription 3
LILRB1	UniProtKB:Q8NHL6	Leukocyte immunoglobulin-like receptor subfamily B member 1
RNF125	UniProtKB:Q96EQ8	E3 ubiquitin-protein ligase RNF125
ORAI1	UniProtKB:Q96D31	Calcium release-activated calcium channel protein 1
LILRB5	UniProtKB:O75023	Leukocyte immunoglobulin-like receptor subfamily B member 5
LILRA1	UniProtKB:O75019	Leukocyte immunoglobulin-like receptor subfamily A member 1
FCGR3B	UniProtKB:O75015	Low affinity immunoglobulin gamma Fc region receptor III-B
RAP1GAP	UniProtKB:P47736	Rap1 GTPase-activating protein 1
TRAF6	UniProtKB:Q9Y4K3	TNF receptor-associated factor 6
CCR6	UniProtKB:P51684	C-C chemokine receptor type 6
FCAMR	UniProtKB:Q8WWV6	High affinity immunoglobulin alpha and immunoglobulin mu Fc receptor
CD27	UniProtKB:P26842	CD27 antigen
CD27	UniProtKB:P26842	CD27 antigen
HLA-DOA	UniProtKB:P06340	HLA class II histocompatibility antigen, DO alpha chain
IGHV4-34	UniProtKB:P06331	Immunoglobulin heavy variable 4-34
IGKV5-2	UniProtKB:P06315	Immunoglobulin kappa variable 5-2
IGKV4-1	UniProtKB:P06312	Immunoglobulin kappa variable 4-1
IGKV2-30	UniProtKB:P06310	Immunoglobulin kappa variable 2-30
HLA-DRB1	UniProtKB:P01911	HLA class II histocompatibility antigen, DRB1 beta chain
EBAG9	UniProtKB:O00559	Receptor-binding cancer antigen expressed on SiSo cells
EBAG9	UniProtKB:O00559	Receptor-binding cancer antigen expressed on SiSo cells
CD1A	UniProtKB:P06126	T-cell surface glycoprotein CD1a
IRF7	UniProtKB:Q92985	Interferon regulatory factor 7
TNFRSF14	UniProtKB:Q92956	Tumor necrosis factor receptor superfamily member 14
IGLC6	UniProtKB:P0CF74	Immunoglobulin lambda constant 6
IGLC6	UniProtKB:P0CF74	Immunoglobulin lambda constant 6
TRGC1	UniProtKB:P0CF51	T cell receptor gamma constant 1
TSC1	UniProtKB:Q92574	Hamartin
TRBC2	UniProtKB:A0A5B9	T cell receptor beta constant 2
TRBV29-1	UniProtKB:A0A5B7	T cell receptor beta variable 29-1
TRBV28	UniProtKB:A0A5B6	T cell receptor beta variable 28
TRBV14	UniProtKB:A0A5B0	T cell receptor beta variable 14
TRBV11-3	UniProtKB:A0A5A6	T cell receptor beta variable 11-3
PRR7	UniProtKB:Q8TB68	Proline-rich protein 7
CLEC10A	UniProtKB:Q8IUN9	C-type lectin domain family 10 member A
CD244	UniProtKB:Q9BZW8	Natural killer cell receptor 2B4
TRBV5-6	UniProtKB:A0A599	T cell receptor beta variable 5-6
TRBV4-3	UniProtKB:A0A589	T cell receptor beta variable 4-3
TRBV11-2	UniProtKB:A0A584	T cell receptor beta variable 11-2
TRBV5-1	UniProtKB:A0A578	T cell receptor beta variable 5-1
TRBV4-1	UniProtKB:A0A577	T cell receptor beta variable 4-1
TRBV3-1	UniProtKB:A0A576	T cell receptor beta variable 3-1
FOXP3	UniProtKB:Q9BZS1	Forkhead box protein P3
FOXP3	UniProtKB:Q9BZS1	Forkhead box protein P3
SHLD1	UniProtKB:Q8IYI0	Shieldin complex subunit 1
MASP2	UniProtKB:O00187	Mannan-binding lectin serine protease 2
SPN	UniProtKB:P16150	Leukosialin
IGLL5	UniProtKB:B9A064	Immunoglobulin lambda-like polypeptide 5
HAVCR2	UniProtKB:Q8TDQ0	Hepatitis A virus cellular receptor 2
MYD88	UniProtKB:Q99836	Myeloid differentiation primary response protein MyD88
C17orf99	UniProtKB:Q6UX52	Protein IL-40
FYN	UniProtKB:P06241	Tyrosine-protein kinase Fyn
KLRK1	UniProtKB:P26718	NKG2-D type II integral membrane protein
KLRC2	UniProtKB:P26717	NKG2-C type II integral membrane protein
KLRC1	UniProtKB:P26715	NKG2-A/NKG2-B type II integral membrane protein
BTN3A1	UniProtKB:O00481	Butyrophilin subfamily 3 member A1
BTN3A3	UniProtKB:O00478	Butyrophilin subfamily 3 member A3
GNL1	UniProtKB:P36915	Guanine nucleotide-binding protein-like 1
CTLA4	UniProtKB:P16410	Cytotoxic T-lymphocyte protein 4
PDCD1	UniProtKB:Q15116	Programmed cell death protein 1
IGLC1	UniProtKB:P0CG04	Immunoglobulin lambda constant 1
IGLC1	UniProtKB:P0CG04	Immunoglobulin lambda constant 1
LAX1	UniProtKB:Q8IWV1	Lymphocyte transmembrane adapter 1
FCGR1BP	UniProtKB:Q92637	Putative high affinity immunoglobulin gamma Fc receptor IB
TRPM4	UniProtKB:Q8TD43	Transient receptor potential cation channel subfamily M member 4
MCOLN2	UniProtKB:Q8IZK6	Mucolipin-2
TRGV9	UniProtKB:Q99603	T cell receptor gamma variable 9
IRF4	UniProtKB:Q15306	Interferon regulatory factor 4
RNF168	UniProtKB:Q8IYW5	E3 ubiquitin-protein ligase RNF168
HLA-DMB	UniProtKB:P28068	HLA class II histocompatibility antigen, DM beta chain
TMEM98	UniProtKB:Q9Y2Y6	Transmembrane protein 98
TRBV16	UniProtKB:A0A087WV62	T cell receptor beta variable 16
TRAV30	UniProtKB:A0A087WSZ9	T cell receptor alpha variable 30
IGKV1D-8	UniProtKB:A0A087WSZ0	Immunoglobulin kappa variable 1D-8
IGHV4-30-2	UniProtKB:A0A087WSY4	Immunoglobulin heavy variable 4-30-2
IGLV5-45	UniProtKB:A0A087WSX0	Immunoglobulin lambda variable 5-45
TRAV26-1	UniProtKB:A0A087WT03	T cell receptor alpha variable 26-1
TRAV9-2	UniProtKB:A0A087WT02	T cell receptor alpha variable 9-2
TRAV27	UniProtKB:A0A087WT01	T cell receptor alpha variable 27
IGHV4-31	UniProtKB:P0DP07	Immunoglobulin heavy variable 4-31
IGHV4-38-2	UniProtKB:P0DP08	Immunoglobulin heavy variable 4-38-2
IGKV1-13	UniProtKB:P0DP09	Immunoglobulin kappa variable 1-13
CTSL	UniProtKB:P07711	Procathepsin L
HLA-DOB	UniProtKB:P13765	HLA class II histocompatibility antigen, DO beta chain
HLA-DRB4	UniProtKB:P13762	HLA class II histocompatibility antigen, DR beta 4 chain
TRAV35	UniProtKB:P0DPF4	T cell receptor alpha variable 35
IL2	UniProtKB:P60568	Interleukin-2
HLA-C	UniProtKB:P10321	HLA class I histocompatibility antigen, C alpha chain
MAD2L2	UniProtKB:Q9UI95	Mitotic spindle assembly checkpoint protein MAD2B
IL17RA	UniProtKB:Q96F46	Interleukin-17 receptor A
TREM1	UniProtKB:Q9NP99	Triggering receptor expressed on myeloid cells 1
C1R	UniProtKB:P00736	Complement C1r subcomponent
SEMA4A	UniProtKB:Q9H3S1	Semaphorin-4A
LIME1	UniProtKB:Q9H400	Lck-interacting transmembrane adapter 1
CD8B	UniProtKB:P10966	T-cell surface glycoprotein CD8 beta chain
HLA-G	UniProtKB:P17693	HLA class I histocompatibility antigen, alpha chain G
CRTAM	UniProtKB:O95727	Cytotoxic and regulatory T-cell molecule
LILRB4	UniProtKB:Q8NHJ6	Leukocyte immunoglobulin-like receptor subfamily B member 4
TNFRSF11A	UniProtKB:Q9Y6Q6	Tumor necrosis factor receptor superfamily member 11A
LILRB3	UniProtKB:O75022	Leukocyte immunoglobulin-like receptor subfamily B member 3
MEF2C	UniProtKB:Q06413	Myocyte-specific enhancer factor 2C
CLEC4M	UniProtKB:Q9H2X3	C-type lectin domain family 4 member M
PRDM1	UniProtKB:O75626	PR domain zinc finger protein 1
CD209	UniProtKB:Q9NNX6	CD209 antigen
C8A	UniProtKB:P07357	Complement component C8 alpha chain
TBX21	UniProtKB:Q9UL17	T-box transcription factor TBX21
CD160	UniProtKB:O95971	CD160 antigen
PIK3CD	UniProtKB:O00329	Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit delta isoform
HPRT1	UniProtKB:P00492	Hypoxanthine-guanine phosphoribosyltransferase
MLH1	UniProtKB:P40692	DNA mismatch repair protein Mlh1
CD247	UniProtKB:P20963	T-cell surface glycoprotein CD3 zeta chain
CD247	UniProtKB:P20963	T-cell surface glycoprotein CD3 zeta chain
BTK	UniProtKB:Q06187	Tyrosine-protein kinase BTK
BTK	UniProtKB:Q06187	Tyrosine-protein kinase BTK
BTK	UniProtKB:Q06187	Tyrosine-protein kinase BTK
C7	UniProtKB:P10643	Complement component C7
SLAMF7	UniProtKB:Q9NQ25	SLAM family member 7
CLEC4A	UniProtKB:Q9UMR7	C-type lectin domain family 4 member A
TNFSF13B	UniProtKB:Q9Y275	Tumor necrosis factor ligand superfamily member 13B
RAB27A	UniProtKB:P51159	Ras-related protein Rab-27A
GZMM	UniProtKB:P51124	Granzyme M
HLA-E	UniProtKB:P13747	HLA class I histocompatibility antigen, alpha chain E
CD3E	UniProtKB:P07766	T-cell surface glycoprotein CD3 epsilon chain
CD3E	UniProtKB:P07766	T-cell surface glycoprotein CD3 epsilon chain
SLA2	UniProtKB:Q9H6Q3	Src-like-adapter 2
IGHD1-1	UniProtKB:P0DOY5	Immunoglobulin heavy diversity 1-1
IGLC3	UniProtKB:P0DOY3	Immunoglobulin lambda constant 3
IGLC3	UniProtKB:P0DOY3	Immunoglobulin lambda constant 3
IGLC2	UniProtKB:P0DOY2	Immunoglobulin lambda constant 2
IGHV4-30-4	UniProtKB:P0DP06	Immunoglobulin heavy variable 4-30-4
IGHV3-43D	UniProtKB:P0DP04	Immunoglobulin heavy variable 3-43D
IGHV3-30-5	UniProtKB:P0DP03	Immunoglobulin heavy variable 3-30-5
IGHV3-30-3	UniProtKB:P0DP02	Immunoglobulin heavy variable 3-30-3
IGHV1-8	UniProtKB:P0DP01	Immunoglobulin heavy variable 1-8
TRDC	UniProtKB:B7Z8K6	T cell receptor delta constant
BCL6	UniProtKB:P41182	B-cell lymphoma 6 protein
BCL6	UniProtKB:P41182	B-cell lymphoma 6 protein
NOD2	UniProtKB:Q9HC29	Nucleotide-binding oligomerization domain-containing protein 2
IGLC7	UniProtKB:A0M8Q6	Immunoglobulin lambda constant 7
IGLC7	UniProtKB:A0M8Q6	Immunoglobulin lambda constant 7
IGKV2-29	UniProtKB:A2NJV5	Immunoglobulin kappa variable 2-29
IGLV1-36	UniProtKB:A0A0B4J1U3	Immunoglobulin lambda variable 1-36
TRAV41	UniProtKB:A0A0B4J266	T cell receptor alpha variable 41
IGHV3-15	UniProtKB:A0A0B4J1V0	Immunoglobulin heavy variable 3-15
IGHV3-21	UniProtKB:A0A0B4J1V1	Immunoglobulin heavy variable 3-21
IGHV2-26	UniProtKB:A0A0B4J1V2	Immunoglobulin heavy variable 2-26
TRAV25	UniProtKB:A0A0B4J276	T cell receptor alpha variable 25
TRAV22	UniProtKB:A0A0B4J277	T cell receptor alpha variable 22
TRGC2	UniProtKB:P03986	T cell receptor gamma constant 2
TRBJ1-3	UniProtKB:A0A0J9YWP8	T cell receptor beta joining 1-3
CD7	UniProtKB:P09564	T-cell antigen CD7
SH2D1A	UniProtKB:O60880	SH2 domain-containing protein 1A
LILRA6	UniProtKB:Q6PI73	Leukocyte immunoglobulin-like receptor subfamily A member 6
CD40LG	UniProtKB:P29965	CD40 ligand
C1QC	UniProtKB:P02747	Complement C1q subcomponent subunit C
C1QC	UniProtKB:P02747	Complement C1q subcomponent subunit C
FCMR	UniProtKB:O60667	Immunoglobulin mu Fc receptor
TFE3	UniProtKB:P19532	Transcription factor E3
TFEB	UniProtKB:P19484	Transcription factor EB
HMHB1	UniProtKB:O97980	Minor histocompatibility protein HB-1
IGHV1-38-4	UniProtKB:P0DTW3	Probable non-functional immunoglobulin heavy variable 1-38-4
PAG1	UniProtKB:Q9NWQ8	Phosphoprotein associated with glycosphingolipid-enriched microdomains 1
TRB	UniProtKB:P0DTU4	T cell receptor beta chain MC.7.G5
TRA	UniProtKB:P0DTU3	T cell receptor alpha chain MC.7.G5
HLA-DRB3	UniProtKB:P79483	HLA class II histocompatibility antigen, DR beta 3 chain
RFTN1	UniProtKB:Q14699	Raftlin
ICAM1	UniProtKB:P05362	Intercellular adhesion molecule 1
IL13RA2	UniProtKB:Q14627	Interleukin-13 receptor subunit alpha-2
TRBV5-5	UniProtKB:A0A597	T cell receptor beta variable 5-5
CX3CR1	UniProtKB:P49238	CX3C chemokine receptor 1
RORA	UniProtKB:P35398	Nuclear receptor ROR-alpha
PHB1	UniProtKB:P35232	Prohibitin 1
CR1L	UniProtKB:Q2VPA4	Complement component receptor 1-like protein
TXK	UniProtKB:P42681	Tyrosine-protein kinase TXK
TXK	UniProtKB:P42681	Tyrosine-protein kinase TXK
TEC	UniProtKB:P42680	Tyrosine-protein kinase Tec
STAT4	UniProtKB:Q14765	Signal transducer and activator of transcription 4
LAT	UniProtKB:O43561	Linker for activation of T-cells family member 1
CD46	UniProtKB:P15529	Membrane cofactor protein
CD46	UniProtKB:P15529	Membrane cofactor protein
CD46	UniProtKB:P15529	Membrane cofactor protein
CD46	UniProtKB:P15529	Membrane cofactor protein
GPR183	UniProtKB:P32249	G-protein coupled receptor 183
TRBV10-2	UniProtKB:A0A0K0K1G8	T cell receptor beta variable 10-2
TRBV10-3	UniProtKB:A0A0K0K1G6	T cell receptor beta variable 10-3
TRBV7-7	UniProtKB:A0A0K0K1E9	T cell receptor beta variable 7-7
TRBV6-1	UniProtKB:A0A0K0K1D8	T cell receptor beta variable 6-1
TRBV27	UniProtKB:A0A0K0K1C4	T cell receptor beta variable 27
TRBV11-1	UniProtKB:A0A0K0K1C0	T cell receptor beta variable 11-1
TRBV30	UniProtKB:A0A0K0K1B3	T cell receptor beta variable 30
TRBV6-5	UniProtKB:A0A0K0K1A5	T cell receptor beta variable 6-5
TRBV10-1	UniProtKB:A0A0K0K1A3	T cell receptor beta variable 10-1
CFI	UniProtKB:P05156	Complement factor I
SERPING1	UniProtKB:P05155	Plasma protease C1 inhibitor
CD19	UniProtKB:P15391	B-lymphocyte antigen CD19
ARG1	UniProtKB:P05089	Arginase-1
IFNA8	UniProtKB:P32881	Interferon alpha-8
TRBV5-8	UniProtKB:A0A5A2	T cell receptor beta variable 5-8
FCER1A	UniProtKB:P12319	High affinity immunoglobulin epsilon receptor subunit alpha
FCER1A	UniProtKB:P12319	High affinity immunoglobulin epsilon receptor subunit alpha
FCGR2A	UniProtKB:P12318	Low affinity immunoglobulin gamma Fc region receptor II-a
IL9R	UniProtKB:Q01113	Interleukin-9 receptor
FCGR1A	UniProtKB:P12314	High affinity immunoglobulin gamma Fc receptor I
FCGR1A	UniProtKB:P12314	High affinity immunoglobulin gamma Fc receptor I
TRBV13	UniProtKB:A0A0A6YYD4	T cell receptor beta variable 13
A0AAG2TVE0	UniProtKB:A0AAG2TVE0	Ig-like domain-containing protein
TRAV38-1	UniProtKB:A0A0B4J264	T cell receptor alpha variable 38-1
PCYT1A	UniProtKB:P49585	Choline-phosphate cytidylyltransferase A
hCG_2003024	UniProtKB:A0AAG2TV02	Ig-like domain-containing protein
CD1C	UniProtKB:P29017	T-cell surface glycoprotein CD1c
CD1B	UniProtKB:P29016	T-cell surface glycoprotein CD1b
IGKV1-12	UniProtKB:A0A0C4DH73	Immunoglobulin kappa variable 1-12
TRAF3IP2	UniProtKB:O43734	E3 ubiquitin ligase TRAF3IP2
TRAF3IP2	UniProtKB:O43734	E3 ubiquitin ligase TRAF3IP2
CD8B2	UniProtKB:A6NJW9	T-cell surface glycoprotein CD8 beta-2 chain
IGHV1-69D	UniProtKB:A0A0B4J2H0	Immunoglobulin heavy variable 1-69D
FCRLB	UniProtKB:Q6BAA4	Fc receptor-like B
TRBV12-4	UniProtKB:A0A0B4J2E0	T cell receptor beta variable 12-4
IGKV1D-13	UniProtKB:A0A0B4J2D9	Immunoglobulin kappa variable 1D-13
IGHV1OR15-9	UniProtKB:A0A0B4J2B8	Ig-like domain-containing protein
IGHV2OR16-5	UniProtKB:A0A0B4J2B6	Ig-like domain-containing protein
IGHV3OR16-9	UniProtKB:A0A0B4J2B5	Ig-like domain-containing protein
IGHV3OR16-9	UniProtKB:A0A0B4J2B5	Ig-like domain-containing protein
RIPK2	UniProtKB:O43353	Receptor-interacting serine/threonine-protein kinase 2
IGKV1D-43	UniProtKB:A0A0B4J1Z2	Immunoglobulin kappa variable 1D-43
IGHV3-72	UniProtKB:A0A0B4J1Y9	Immunoglobulin heavy variable 3-72
IGLV9-49	UniProtKB:A0A0B4J1Y8	Immunoglobulin lambda variable 9-49
IGHV3-43	UniProtKB:A0A0B4J1X8	Immunoglobulin heavy variable 3-43
IGHV3-74	UniProtKB:A0A0B4J1X5	Immunoglobulin heavy variable 3-74
TRAV40	UniProtKB:A0A0B4J280	T cell receptor alpha variable 40
TRAV21	UniProtKB:A0A0B4J279	T cell receptor alpha variable 21
IGHV7-81	UniProtKB:A0A0B4J1V7	Probable non-functional immunoglobulin heavy variable 7-81
IGHV3-73	UniProtKB:A0A0B4J1V6	Immunoglobulin heavy variable 3-73
TRAV17	UniProtKB:A0A0B4J275	T cell receptor alpha variable 17
TRAV20	UniProtKB:A0A0B4J274	T cell receptor alpha variable 20
TRAV34	UniProtKB:A0A0B4J273	T cell receptor alpha variable 34
TRAV24	UniProtKB:A0A0B4J272	T cell receptor alpha variable 24
TRAV12-3	UniProtKB:A0A0B4J271	T cell receptor alpha variable 12-3
TRAV4	UniProtKB:A0A0B4J268	T cell receptor alpha variable 4
IGHV6-1	UniProtKB:A0A0B4J1U7	Immunoglobulin heavy variable 6-1
TRBV9	UniProtKB:A0A0B4J1U6	T cell receptor beta variable 9
TRAV26-2	UniProtKB:A0A0B4J265	T cell receptor alpha variable 26-2
TRGV5	UniProtKB:A0A0B4J1U4	T cell receptor gamma variable 5
TRAV39	UniProtKB:A0A0B4J263	T cell receptor alpha variable 39
TRAV8-6	UniProtKB:A0A0B4J262	T cell receptor alpha variable 8-6
TRAV5	UniProtKB:A0A0B4J249	T cell receptor alpha variable 5
TRAV1-1	UniProtKB:A0A0B4J248	T cell receptor alpha variable 1-1
TRAV12-1	UniProtKB:A0A0B4J245	T cell receptor alpha variable 12-1
TRAV3	UniProtKB:A0A0B4J244	T cell receptor alpha variable 3
TRAV13-1	UniProtKB:A0A0B4J241	T cell receptor alpha variable 13-1
TRAV10	UniProtKB:A0A0B4J240	T cell receptor alpha variable 10
TRAV1-2	UniProtKB:A0A0B4J238	T cell receptor alpha variable 1-2
TRAV8-2	UniProtKB:A0A0B4J237	T cell receptor alpha variable 8-2
TRAV13-2	UniProtKB:A0A0B4J235	T cell receptor alpha variable 13-2
TRAV2	UniProtKB:A0A0B4J234	T cell receptor alpha variable 2
TRBJ2-3	UniProtKB:A0A0B4J200	T cell receptor beta joining 2-3
PRKCB	UniProtKB:P05771	Protein kinase C beta type
TRBJ2-1	UniProtKB:A0A0A0MTA7	T cell receptor beta joining 2-1
TRBJ2-5	UniProtKB:A0A0A0MTA4	T cell receptor beta joining 2-5
JAK3	UniProtKB:P52333	Tyrosine-protein kinase JAK3
TRBJ2-2	UniProtKB:A0A0A0MT94	T cell receptor beta joining 2-2
IGKJ1	UniProtKB:A0A0A0MT89	Immunoglobulin kappa joining 1
TRBJ2-4	UniProtKB:A0A0A0MT87	T cell receptor beta joining 2-4
STAT6	UniProtKB:P42226	Signal transducer and activator of transcription 6
STAT6	UniProtKB:P42226	Signal transducer and activator of transcription 6
IGLV5-52	UniProtKB:A0A0A0MRZ9	Immunoglobulin lambda variable 5-52
IGKV3D-11	UniProtKB:A0A0A0MRZ8	Immunoglobulin kappa variable 3D-11
IGKV2D-26	UniProtKB:A0A0A0MRZ7	Immunoglobulin kappa variable 2D-26
ICOSLG	UniProtKB:O75144	ICOS ligand
IGHV3-49	UniProtKB:A0A0A0MS15	Immunoglobulin heavy variable 3-49
IGHV1-45	UniProtKB:A0A0A0MS14	Immunoglobulin heavy variable 1-45
TRBV18	UniProtKB:A0A087X0M5	T cell receptor beta variable 18
TRBV23-1	UniProtKB:A0A0A0MS06	Probable non-functional T cell receptor beta variable 23-1
TRBV5-7	UniProtKB:A0A0A0MS05	Probable non-functional T cell receptor beta variable 5-7
TRBV6-7	UniProtKB:A0A0A0MS04	Probable non-functional T cell receptor beta variable 6-7
TRBV5-3	UniProtKB:A0A0A0MS03	Probable non-functional T cell receptor beta variable 5-3
TRGV1	UniProtKB:A0A0A0MS02	Probable non-functional T cell receptor gamma variable
TRGV10	UniProtKB:A0A0A0MS01	Probable non-functional T cell receptor gamma variable 10
IGLV3-32	UniProtKB:A0A0A0MS00	Probable non-functional immunoglobulin lambda variable 3-32
IGLL1	UniProtKB:P15814	Immunoglobulin lambda-like polypeptide 1
CD1E	UniProtKB:P15812	T-cell surface glycoprotein CD1e, membrane-associated
C4A	UniProtKB:P0C0L4	Complement C4-A
HLA-DQB2	UniProtKB:P05538	HLA class II histocompatibility antigen, DQ beta 2 chain
PTK2B	UniProtKB:Q14289	Protein-tyrosine kinase 2-beta
ADGRE1	UniProtKB:Q14246	Adhesion G protein-coupled receptor E1
EBI3	UniProtKB:Q14213	Interleukin-27 subunit beta
TRDV3	UniProtKB:A0JD37	T cell receptor delta variable 3
TRDV2	UniProtKB:A0JD36	T cell receptor delta variable 2
TRAV38-2DV8	UniProtKB:A0JD32	T cell receptor alpha variable 38-2/delta variable 8
IGLV7-43	UniProtKB:P04211	Immunoglobulin lambda variable 7-43
TCIRG1	UniProtKB:Q13488	V-type proton ATPase 116 kDa subunit a 3
IL18R1	UniProtKB:Q13478	Interleukin-18 receptor 1
IL18R1	UniProtKB:Q13478	Interleukin-18 receptor 1
CLEC4G	UniProtKB:Q6UXB4	C-type lectin domain family 4 member G
BTNL8	UniProtKB:Q6UX41	Butyrophilin-like protein 8
HLA-DRB5	UniProtKB:Q30154	HLA class II histocompatibility antigen, DR beta 5 chain
ENTPD7	UniProtKB:Q9NQZ7	Ectonucleoside triphosphate diphosphohydrolase 7
TLR8	UniProtKB:Q9NR97	Toll-like receptor 8
EXOSC3	UniProtKB:Q9NQT5	Exosome complex component RRP40
SIGLEC10	UniProtKB:Q96LC7	Sialic acid-binding Ig-like lectin 10
TNFSF18	UniProtKB:Q9UNG2	Tumor necrosis factor ligand superfamily member 18
