PLP1	UniProtKB:P60201	Myelin proteolipid protein
CCL26	UniProtKB:Q9Y258	C-C motif chemokine 26
NOD1	UniProtKB:Q9Y239	Nucleotide-binding oligomerization domain-containing protein 1
FCGR3B	UniProtKB:O75015	Low affinity immunoglobulin gamma Fc region receptor III-B
STK39	UniProtKB:Q9UEW8	STE20/SPS1-related proline-alanine-rich protein kinase
CCL27	UniProtKB:Q9Y4X3	C-C motif chemokine 27
CHST2	UniProtKB:Q9Y4C5	Carbohydrate sulfotransferase 2
PLD4	UniProtKB:Q96BZ4	5'-3' exonuclease PLD4
IL27	UniProtKB:Q8NEV9	Interleukin-27 subunit alpha
NFAM1	UniProtKB:Q8NET5	NFAT activation molecule 1
CCR5	UniProtKB:P51681	C-C chemokine receptor type 5
CCR6	UniProtKB:P51684	C-C chemokine receptor type 6
CD36	UniProtKB:P16671	Platelet glycoprotein 4
CCL22	UniProtKB:O00626	C-C motif chemokine 22
IL1F10	UniProtKB:Q8WWZ1	Interleukin-1 family member 10
CCL3L1	UniProtKB:P16619	C-C motif chemokine 3-like 1
CCL3L1	UniProtKB:P16619	C-C motif chemokine 3-like 1
RARRES2	UniProtKB:Q99969	Retinoic acid receptor responder protein 2
NFKBIB	UniProtKB:Q15653	NF-kappa-B inhibitor beta
ACKR2	UniProtKB:O00590	Atypical chemokine receptor 2
HLA-DRB1	UniProtKB:P01911	HLA class II histocompatibility antigen, DRB1 beta chain
CCL21	UniProtKB:O00585	C-C motif chemokine 21
CCL21	UniProtKB:O00585	C-C motif chemokine 21
CXCR6	UniProtKB:O00574	C-X-C chemokine receptor type 6
SELE	UniProtKB:P16581	E-selectin
SELE	UniProtKB:P16581	E-selectin
NINJ1	UniProtKB:Q92982	Ninjurin-1
NINJ1	UniProtKB:Q92982	Ninjurin-1
NINJ1	UniProtKB:Q92982	Ninjurin-1
NINJ1	UniProtKB:Q92982	Ninjurin-1
NINJ1	UniProtKB:Q92982	Ninjurin-1
NINJ1	UniProtKB:Q92982	Ninjurin-1
MGLL	UniProtKB:Q99685	Monoglyceride lipase
BDKRB1	UniProtKB:P46663	B1 bradykinin receptor
SMPDL3B	UniProtKB:Q92485	Acid sphingomyelinase-like phosphodiesterase 3b
GSDMB	UniProtKB:Q8TAX9	Gasdermin-B
GSDMB	UniProtKB:Q8TAX9	Gasdermin-B
GSDMB	UniProtKB:Q8TAX9	Gasdermin-B
GSDMB	UniProtKB:Q8TAX9	Gasdermin-B
GSDMB	UniProtKB:Q8TAX9	Gasdermin-B
GSDMB	UniProtKB:Q8TAX9	Gasdermin-B
GSDMB	UniProtKB:Q8TAX9	Gasdermin-B
GSDMB	UniProtKB:Q8TAX9	Gasdermin-B
GSDMB	UniProtKB:Q8TAX9	Gasdermin-B
GSDMB	UniProtKB:Q8TAX9	Gasdermin-B
GSDMB	UniProtKB:Q8TAX9	Gasdermin-B
GSDMB	UniProtKB:Q8TAX9	Gasdermin-B
GSDMB	UniProtKB:Q8TAX9	Gasdermin-B
GSDMB	UniProtKB:Q8TAX9	Gasdermin-B
GSDMB	UniProtKB:Q8TAX9	Gasdermin-B
GSDMB	UniProtKB:Q8TAX9	Gasdermin-B
GSDMB	UniProtKB:Q8TAX9	Gasdermin-B
GSDMB	UniProtKB:Q8TAX9	Gasdermin-B
GSDMB	UniProtKB:Q8TAX9	Gasdermin-B
GSDMB	UniProtKB:Q8TAX9	Gasdermin-B
GSDMB	UniProtKB:Q8TAX9	Gasdermin-B
GSDMB	UniProtKB:Q8TAX9	Gasdermin-B
GSDMB	UniProtKB:Q8TAX9	Gasdermin-B
PLD3	UniProtKB:Q8IV08	5'-3' exonuclease PLD3
SIGLEC1	UniProtKB:Q9BZZ2	Sialoadhesin
TRIM31	UniProtKB:Q9BZY9	E3 ubiquitin-protein ligase TRIM31
FOXP3	UniProtKB:Q9BZS1	Forkhead box protein P3
S1PR3	UniProtKB:Q99500	Sphingosine 1-phosphate receptor 3
RAC1	UniProtKB:P63000	Ras-related C3 botulinum toxin substrate 1
CNTF	UniProtKB:P26441	Ciliary neurotrophic factor
PYDC5	UniProtKB:W6CW81	Pyrin domain-containing protein 5
LGALS9	UniProtKB:O00182	Galectin-9
CCL24	UniProtKB:O00175	C-C motif chemokine 24
SNAP23	UniProtKB:O00161	Synaptosomal-associated protein 23
PARK7	UniProtKB:Q99497	Parkinson disease protein 7
SELP	UniProtKB:P16109	P-selectin
HAVCR2	UniProtKB:Q8TDQ0	Hepatitis A virus cellular receptor 2
SIRT2	UniProtKB:Q8IXJ6	NAD-dependent protein deacetylase sirtuin-2
MYD88	UniProtKB:Q99836	Myeloid differentiation primary response protein MyD88
SMO	UniProtKB:Q99835	Protein smoothened
TNIP3	UniProtKB:Q96KP6	TNFAIP3-interacting protein 3
DPEP1	UniProtKB:P16444	Dipeptidase 1
CMKLR1	UniProtKB:Q99788	Chemerin-like receptor 1
PRKD1	UniProtKB:Q15139	Serine/threonine-protein kinase D1
AGER	UniProtKB:Q15109	Advanced glycosylation end product-specific receptor
AGER	UniProtKB:Q15109	Advanced glycosylation end product-specific receptor
AGER	UniProtKB:Q15109	Advanced glycosylation end product-specific receptor
AGER	UniProtKB:Q15109	Advanced glycosylation end product-specific receptor
SCUBE1	UniProtKB:Q8IWY4	Signal peptide, CUB and EGF-like domain-containing protein 1
CD44	UniProtKB:P16070	CD44 antigen
ALOX15	UniProtKB:P16050	Polyunsaturated fatty acid lipoxygenase ALOX15
FCGR1BP	UniProtKB:Q92637	Putative high affinity immunoglobulin gamma Fc receptor IB
TLR1	UniProtKB:Q15399	Toll-like receptor 1
TLR1	UniProtKB:Q15399	Toll-like receptor 1
HMGB2	UniProtKB:P26583	High mobility group protein B2
HMGB2	UniProtKB:P26583	High mobility group protein B2
TMED2	UniProtKB:Q15363	Transmembrane emp24 domain-containing protein 2
SCYL3	UniProtKB:Q8IZE3	Protein-associating with the carboxyl-terminal domain of ezrin
TAC1	UniProtKB:P20366	Protachykinin-1
TNFRSF1B	UniProtKB:P20333	Tumor necrosis factor receptor superfamily member 1B
AGTR1	UniProtKB:P30556	Type-1 angiotensin II receptor
GSDMD	UniProtKB:P57764	Gasdermin-D
GSDMD	UniProtKB:P57764	Gasdermin-D
GSDMD	UniProtKB:P57764	Gasdermin-D
GSDMD	UniProtKB:P57764	Gasdermin-D
GSDMD	UniProtKB:P57764	Gasdermin-D
GSDMD	UniProtKB:P57764	Gasdermin-D
GSDMD	UniProtKB:P57764	Gasdermin-D
GSDMD	UniProtKB:P57764	Gasdermin-D
GSDMD	UniProtKB:P57764	Gasdermin-D
GSDMD	UniProtKB:P57764	Gasdermin-D
GSDMD	UniProtKB:P57764	Gasdermin-D
GSDMD	UniProtKB:P57764	Gasdermin-D
GSDMD	UniProtKB:P57764	Gasdermin-D
GSDMD	UniProtKB:P57764	Gasdermin-D
GSDMD	UniProtKB:P57764	Gasdermin-D
GSDMD	UniProtKB:P57764	Gasdermin-D
GSDMD	UniProtKB:P57764	Gasdermin-D
ADORA1	UniProtKB:P30542	Adenosine receptor A1
AXL	UniProtKB:P30530	Tyrosine-protein kinase receptor UFO
CARD18	UniProtKB:P57730	Caspase recruitment domain-containing protein 18
XCL2	UniProtKB:Q9UBD3	Cytokine SCM-1 beta
AZU1	UniProtKB:P20160	Azurocidin
AZU1	UniProtKB:P20160	Azurocidin
PF4V1	UniProtKB:P10720	Platelet factor 4 variant
KIT	UniProtKB:P10721	Mast/stem cell growth factor receptor Kit
REG3A	UniProtKB:Q06141	Regenerating islet-derived protein 3-alpha
F3	UniProtKB:P13726	Tissue factor
F3	UniProtKB:P13726	Tissue factor
HYAL1	UniProtKB:Q12794	Hyaluronidase-1
PBXIP1	UniProtKB:Q96AQ6	Pre-B-cell leukemia transcription factor-interacting protein 1
GPR32P1	UniProtKB:Q8NGA4	Putative G-protein coupled receptor GPR32P1
NOX1	UniProtKB:Q9Y5S8	NADPH oxidase 1
ABCF1	UniProtKB:Q8NE71	ATP-binding cassette sub-family F member 1
F11R	UniProtKB:Q9Y624	Junctional adhesion molecule A
TNIP2	UniProtKB:Q8NFZ5	TNFAIP3-interacting protein 2
CD2AP	UniProtKB:Q9Y5K6	CD2-associated protein
ADGRE2	UniProtKB:Q9UHX3	Adhesion G protein-coupled receptor E2
SCN11A	UniProtKB:Q9UI33	Sodium channel protein type 11 subunit alpha
SCN11A	UniProtKB:Q9UI33	Sodium channel protein type 11 subunit alpha
CCL4L1	UniProtKB:Q8NHW4	C-C motif chemokine 4-like
IL17B	UniProtKB:Q9UHF5	Interleukin-17B
NFKBID	UniProtKB:Q8NI38	NF-kappa-B inhibitor delta
TBK1	UniProtKB:Q9UHD2	Serine/threonine-protein kinase TBK1
IL33	UniProtKB:O95760	Interleukin-33
IL31RA	UniProtKB:Q8NI17	Interleukin-31 receptor subunit alpha
IL17RA	UniProtKB:Q96F46	Interleukin-17 receptor A
F12	UniProtKB:P00748	Coagulation factor XII
F12	UniProtKB:P00748	Coagulation factor XII
F12	UniProtKB:P00748	Coagulation factor XII
PYCARD	UniProtKB:Q9ULZ3	Apoptosis-associated speck-like protein containing a CARD
PYCARD	UniProtKB:Q9ULZ3	Apoptosis-associated speck-like protein containing a CARD
PYCARD	UniProtKB:Q9ULZ3	Apoptosis-associated speck-like protein containing a CARD
PYCARD	UniProtKB:Q9ULZ3	Apoptosis-associated speck-like protein containing a CARD
PYCARD	UniProtKB:Q9ULZ3	Apoptosis-associated speck-like protein containing a CARD
PYCARD	UniProtKB:Q9ULZ3	Apoptosis-associated speck-like protein containing a CARD
F2	UniProtKB:P00734	Prothrombin
HRH4	UniProtKB:Q9H3N8	Histamine H4 receptor
TXNIP	UniProtKB:Q9H3M7	Thioredoxin-interacting protein
CEBPB	UniProtKB:P17676	CCAAT/enhancer-binding protein beta
CEBPB	UniProtKB:P17676	CCAAT/enhancer-binding protein beta
CEBPB	UniProtKB:P17676	CCAAT/enhancer-binding protein beta
XCL1	UniProtKB:P47992	Lymphotactin
IL36A	UniProtKB:Q9UHA7	Interleukin-36 alpha
LARGE1	UniProtKB:O95461	Xylosyl- and glucuronyltransferase LARGE1
LY86	UniProtKB:O95711	Lymphocyte antigen 86
VNN1	UniProtKB:O95497	Pantetheinase
VNN1	UniProtKB:O95497	Pantetheinase
VNN1	UniProtKB:O95497	Pantetheinase
CXCL8	UniProtKB:P10145	Interleukin-8
CXCL8	UniProtKB:P10145	Interleukin-8
NFE2L2	UniProtKB:Q16236	Nuclear factor erythroid 2-related factor 2
ITGAL	UniProtKB:P20701	Integrin alpha-L
LY96	UniProtKB:Q9Y6Y9	Lymphocyte antigen 96
TLR6	UniProtKB:Q9Y2C9	Toll-like receptor 6
TLR6	UniProtKB:Q9Y2C9	Toll-like receptor 6
PNMA1	UniProtKB:Q8ND90	Paraneoplastic antigen Ma1
IKBKG	UniProtKB:Q9Y6K9	NF-kappa-B essential modulator
WNK4	UniProtKB:Q96J92	Serine/threonine-protein kinase WNK4
ITCH	UniProtKB:Q96J02	E3 ubiquitin-protein ligase Itchy homolog
IFI16	UniProtKB:Q16666	Gamma-interferon-inducible protein 16
CCL15	UniProtKB:Q16663	C-C motif chemokine 15
POMT2	UniProtKB:Q9UKY4	Protein O-mannosyl-transferase 2
CCL14	UniProtKB:Q16627	C-C motif chemokine 14
NKG7	UniProtKB:Q16617	Protein NKG7
ECM1	UniProtKB:Q16610	Extracellular matrix protein 1
HDAC9	UniProtKB:Q9UKV0	Histone deacetylase 9
PIK3CD	UniProtKB:O00329	Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit delta isoform
PIK3CD	UniProtKB:O00329	Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit delta isoform
F8	UniProtKB:P00451	Coagulation factor VIII
BDKRB2	UniProtKB:P30411	B2 bradykinin receptor
BTK	UniProtKB:Q06187	Tyrosine-protein kinase BTK
TOLLIP	UniProtKB:Q9H0E2	Toll-interacting protein
MAPT	UniProtKB:P10636	Microtubule-associated protein tau
MAPT	UniProtKB:P10636	Microtubule-associated protein tau
SNCA	UniProtKB:P37840	Alpha-synuclein
TUSC2	UniProtKB:O75896	Tumor suppressor candidate 2
ATRN	UniProtKB:O75882	Attractin
AOC3	UniProtKB:Q16853	Amine oxidase [copper-containing] 3
MEP1B	UniProtKB:Q16820	Meprin A subunit beta
SCYL1	UniProtKB:Q96KG9	N-terminal kinase-like protein
NLRC4	UniProtKB:Q9NPP4	NLR family CARD domain-containing protein 4
NLRC4	UniProtKB:Q9NPP4	NLR family CARD domain-containing protein 4
NLRC4	UniProtKB:Q9NPP4	NLR family CARD domain-containing protein 4
TMIGD3	UniProtKB:P0DMS9	Transmembrane domain-containing protein TMIGD3
ADORA3	UniProtKB:P0DMS8	Adenosine receptor A3
NOX4	UniProtKB:Q9NPH5	NADPH oxidase 4
IL1RAP	UniProtKB:Q9NPH3	Interleukin-1 receptor accessory protein
IL23A	UniProtKB:Q9NPF7	Interleukin-23 subunit alpha
MEFV	UniProtKB:O15553	Pyrin
MEFV	UniProtKB:O15553	Pyrin
FFAR2	UniProtKB:O15552	Free fatty acid receptor 2
CUL3	UniProtKB:Q13618	Cullin-3
OLR1	UniProtKB:P78380	Oxidized low-density lipoprotein receptor 1
SCNN1B	UniProtKB:P51168	Amiloride-sensitive sodium channel subunit beta
PLA2G2A	UniProtKB:P14555	Phospholipase A2, membrane associated
CTNNBIP1	UniProtKB:Q9NSA3	Beta-catenin-interacting protein 1
BPGM	UniProtKB:P07738	Bisphosphoglycerate mutase
PLA2G4C	UniProtKB:Q9UP65	Cytosolic phospholipase A2 gamma
TFR2	UniProtKB:Q9UP52	Transferrin receptor protein 2
CCL28	UniProtKB:Q9NRJ3	C-C motif chemokine 28
BCL6	UniProtKB:P41182	B-cell lymphoma 6 protein
LYZ	UniProtKB:P61626	Lysozyme C
PYDC2	UniProtKB:Q56P42	Pyrin domain-containing protein 2
PROK2	UniProtKB:Q9HC23	Prokineticin-2
PLGRKT	UniProtKB:Q9HBL7	Plasminogen receptor (KT)
LXN	UniProtKB:Q9BS40	Latexin
GSDME	UniProtKB:O60443	Gasdermin-E
GSDME	UniProtKB:O60443	Gasdermin-E
GSDME	UniProtKB:O60443	Gasdermin-E
GSDME	UniProtKB:O60443	Gasdermin-E
GSDME	UniProtKB:O60443	Gasdermin-E
GSDME	UniProtKB:O60443	Gasdermin-E
GSDME	UniProtKB:O60443	Gasdermin-E
GSDME	UniProtKB:O60443	Gasdermin-E
GSDME	UniProtKB:O60443	Gasdermin-E
GSDME	UniProtKB:O60443	Gasdermin-E
BMP2	UniProtKB:P12643	Bone morphogenetic protein 2
HK1	UniProtKB:P19367	Hexokinase-1
VCAM1	UniProtKB:P19320	Vascular cell adhesion protein 1
VCAM1	UniProtKB:P19320	Vascular cell adhesion protein 1
MMP25	UniProtKB:Q9NPA2	Matrix metalloproteinase-25
RPS6KA4	UniProtKB:O75676	Ribosomal protein S6 kinase alpha-4
LRP1	UniProtKB:Q07954	Prolow-density lipoprotein receptor-related protein 1
TFRC	UniProtKB:P02786	Transferrin receptor protein 1
PF4	UniProtKB:P02776	Platelet factor 4
AHSG	UniProtKB:P02765	Alpha-2-HS-glycoprotein
AHSG	UniProtKB:P02765	Alpha-2-HS-glycoprotein
ORM1	UniProtKB:P02763	Alpha-1-acid glycoprotein 1
ORM1	UniProtKB:P02763	Alpha-1-acid glycoprotein 1
CD40LG	UniProtKB:P29965	CD40 ligand
CRP	UniProtKB:P02741	C-reactive protein
CRP	UniProtKB:P02741	C-reactive protein
TLR5	UniProtKB:O60602	Toll-like receptor 5
IL1RL1	UniProtKB:Q01638	Interleukin-1 receptor-like 1
IL10RB	UniProtKB:Q08334	Interleukin-10 receptor subunit beta
TRIM21	UniProtKB:P19474	E3 ubiquitin-protein ligase TRIM21
TNFRSF1A	UniProtKB:P19438	Tumor necrosis factor receptor superfamily member 1A
TNFRSF1A	UniProtKB:P19438	Tumor necrosis factor receptor superfamily member 1A
ATAT1	UniProtKB:Q5SQI0	Alpha-tubulin N-acetyltransferase 1
DHX9	UniProtKB:Q08211	ATP-dependent RNA helicase A
WDR83	UniProtKB:Q9BRX9	WD repeat domain-containing protein 83
NLRP2	UniProtKB:Q9NX02	NACHT, LRR and PYD domains-containing protein 2
ACVR1	UniProtKB:Q04771	Activin receptor type-1
ITIH4	UniProtKB:Q14624	Inter-alpha-trypsin inhibitor heavy chain H4
CX3CR1	UniProtKB:P49238	CX3C chemokine receptor 1
ZEB2	UniProtKB:O60315	Zinc finger E-box-binding homeobox 2
ZEB2	UniProtKB:O60315	Zinc finger E-box-binding homeobox 2
F2R	UniProtKB:P25116	Proteinase-activated receptor 1
F2R	UniProtKB:P25116	Proteinase-activated receptor 1
PTAFR	UniProtKB:P25105	Platelet-activating factor receptor
TACR1	UniProtKB:P25103	Substance-P receptor
NUPR1	UniProtKB:O60356	Nuclear protein 1
HRH1	UniProtKB:P35367	Histamine H1 receptor
CASP1	UniProtKB:P29466	Caspase-1
CASP1	UniProtKB:P29466	Caspase-1
CASP1	UniProtKB:P29466	Caspase-1
CASP1	UniProtKB:P29466	Caspase-1
CASP1	UniProtKB:P29466	Caspase-1
CASP1	UniProtKB:P29466	Caspase-1
ADM	UniProtKB:P35318	Pro-adrenomedullin
FPR2	UniProtKB:P25090	N-formyl peptide receptor 2
FPR3	UniProtKB:P25089	N-formyl peptide receptor 3
GZMA	UniProtKB:P12544	Granzyme A
GZMA	UniProtKB:P12544	Granzyme A
CXCR2	UniProtKB:P25025	C-X-C chemokine receptor type 2
CXCR2	UniProtKB:P25025	C-X-C chemokine receptor type 2
LY75	UniProtKB:O60449	Lymphocyte antigen 75
CCL18	UniProtKB:P55774	C-C motif chemokine 18
CCL23	UniProtKB:P55773	C-C motif chemokine 23
NOS2	UniProtKB:P35228	Nitric oxide synthase, inducible
IL13	UniProtKB:P35225	Interleukin-13
IL13	UniProtKB:P35225	Interleukin-13
IL23R	UniProtKB:Q5VWK5	Interleukin-23 receptor
SIGIRR	UniProtKB:Q6IA17	Single Ig IL-1-related receptor
FASN	UniProtKB:P49327	Fatty acid synthase
PSTPIP1	UniProtKB:O43586	Proline-serine-threonine phosphatase-interacting protein 1
NDST1	UniProtKB:P52848	Bifunctional heparan sulfate N-deacetylase/N-sulfotransferase 1
LAT	UniProtKB:O43561	Linker for activation of T-cells family member 1
C2CD4B	UniProtKB:A6NLJ0	C2 calcium-dependent domain-containing protein 4B
CASP3	UniProtKB:P42574	Caspase-3
FUT4	UniProtKB:P22083	Alpha-(1,3)-fucosyltransferase 4
SLC11A1	UniProtKB:P49279	Natural resistance-associated macrophage protein 1
BMP6	UniProtKB:P22004	Bone morphogenetic protein 6
CCR7	UniProtKB:P32248	C-C chemokine receptor type 7
RELA	UniProtKB:Q04206	Transcription factor p65
RELA	UniProtKB:Q04206	Transcription factor p65
FOSL2	UniProtKB:P15408	Fos-related antigen 2
FOSL1	UniProtKB:P15407	Fos-related antigen 1
LIAS	UniProtKB:O43766	Lipoyl synthase, mitochondrial
IL5	UniProtKB:P05113	Interleukin-5
IL4	UniProtKB:P05112	Interleukin-4
S100A8	UniProtKB:P05109	Protein S100-A8
S100A8	UniProtKB:P05109	Protein S100-A8
S100A8	UniProtKB:P05109	Protein S100-A8
S100A8	UniProtKB:P05109	Protein S100-A8
ITGB2	UniProtKB:P05107	Integrin beta-2
ITGB2	UniProtKB:P05107	Integrin beta-2
ITGB2	UniProtKB:P05107	Integrin beta-2
ITGB2	UniProtKB:P05107	Integrin beta-2
PTGER4	UniProtKB:P35408	Prostaglandin E2 receptor EP4 subtype
EPHA2	UniProtKB:P29317	Ephrin type-A receptor 2
IL34	UniProtKB:Q6ZMJ4	Interleukin-34
CERS6	UniProtKB:Q6ZMG9	Ceramide synthase 6
GNAT2	UniProtKB:P19087	Guanine nucleotide-binding protein G(t) subunit alpha-2
FCER1A	UniProtKB:P12319	High affinity immunoglobulin epsilon receptor subunit alpha
FCGR2A	UniProtKB:P12318	Low affinity immunoglobulin gamma Fc region receptor II-a
FCGR1A	UniProtKB:P12314	High affinity immunoglobulin gamma Fc receptor I
FCGR1A	UniProtKB:P12314	High affinity immunoglobulin gamma Fc receptor I
PSEN1	UniProtKB:P49768	Presenilin-1
PSEN1	UniProtKB:P49768	Presenilin-1
NLRP1	UniProtKB:Q9C000	NACHT, LRR and PYD domains-containing protein 1
NLRP1	UniProtKB:Q9C000	NACHT, LRR and PYD domains-containing protein 1
NLRP1	UniProtKB:Q9C000	NACHT, LRR and PYD domains-containing protein 1
NLRP1	UniProtKB:Q9C000	NACHT, LRR and PYD domains-containing protein 1
NLRP1	UniProtKB:Q9C000	NACHT, LRR and PYD domains-containing protein 1
NLRP1	UniProtKB:Q9C000	NACHT, LRR and PYD domains-containing protein 1
NLRP1	UniProtKB:Q9C000	NACHT, LRR and PYD domains-containing protein 1
NLRP1	UniProtKB:Q9C000	NACHT, LRR and PYD domains-containing protein 1
NLRP1	UniProtKB:Q9C000	NACHT, LRR and PYD domains-containing protein 1
NLRP1	UniProtKB:Q9C000	NACHT, LRR and PYD domains-containing protein 1
NLRP1	UniProtKB:Q9C000	NACHT, LRR and PYD domains-containing protein 1
NLRP1	UniProtKB:Q9C000	NACHT, LRR and PYD domains-containing protein 1
PLA2G4B	UniProtKB:P0C869	Cytosolic phospholipase A2 beta
CD5L	UniProtKB:O43866	CD5 antigen-like
HYAL3	UniProtKB:O43820	Hyaluronidase-3
COL6A1	UniProtKB:P12109	Collagen alpha-1(VI) chain
