GSE91061,GSE61992,GSE91061|GSE61992
ZNF664,,
HOXB8,,
HOXA2,,
DAGLB,,
PDE7B,,
PANTR1,,
KCNH2,,
SBK1,,
JPH4,,
MIR200B,,
ZNF713,,
STMN4,,
GPR162,,
CRMP1,,
TET3,,
ATP6V0CP3,,
HOXD10,,
GBX1,,
ERV3-1,,
BMPR1A,,
PBX2,,
TMEFF2,,
ZKSCAN8,,
PRPH2,,
ST8SIA5,,
NKX2-2,,
SMARCD1,,
KCNK9,,
CASP2,,
RNF112,,
ESRRB,,
SEZ6L,,
SMARCC2,,
DRD5,,
ZNF92,,
NUP58,,
TRERF1,,
LUC7L,,
MAGEE2,,
LINC00163,,
TSPAN11,,
C3orf70,,
LLCFC1,,
MAGEB6,,
BAZ1B,,
TRIM24,,
ZKSCAN5,,
EFHC1,,
KIAA1586,,
FAIM2,,
GLI3,,
BAZ2A,,
LOC728392,,
SLC12A5,,
C5orf58,,
CACNG4,,
ZNF117,,
TMTC4,,
SH2B2,,
UBC,,
EDN3,,
TULP1,,
ZNF853,,
RCAN2,,
HOXB2,,
PMS2,,
SCG3,,
LMO4,,
RASAL2,,
VCAN,,
LAMP5,,
CHD4,,
REREP3,,
LINC01132,,
EZH2,,
POU2F1,,
ZSCAN1,,
NXPH2,,
FGF23,,
NOM1,,
MEG8,,
CPSF6,,
ZNF184,,
ARAP3,,
FBN3,,
ZNF322,,
LIFR,,
GRIK4,,
HNRNPA1L2,,
EXTL3,,
GAL3ST3,,
ZFHX2,,
NYAP1,,
OLIG2,,
HCG18,,
HOXB6,,
ZNF260,,
LOC442497,,
RNF216,,
TRIM27,,
HOTAIR,,
NSG2,,
ZNF318,,
PPP1R18,,
PCYT1B,,
PCDHB10,,
KIAA0232,,
SNORD116-20,,
ARID1A,,
CPT1C,,
MBTD1,,
CDH24,,
KIF5A,,
PCDHB18P,,
C6orf141,,
DDX42,,
LOC100134317,,
USPL1,,
TENM3,,
ZSWIM4,,
KLRA1P,,
DLX1,,
AVPR2,,
STAMBPL1,,
CREB1,,
H3C12,,
NRXN1,,
CCZ1,,
TOP1,,
MARCHF4,,
ZNF107,,
PAXBP1-AS1,,
HOXD11,,
PCDHB19P,,
MLLT11,,
PHC2,,
ARID2,,
GPR17,,
ZNF212,,
ZNF655,,
SLC8A3,,
YWHAG,,
ZKSCAN4,,
RNF5P1,,
HERPUD2,,
UPF3A,,
HIPK2,,
ZBTB39,,
KIF1B,,
PRR3,,
TRIM71,,
MAPKAPK5,,
MIER3,,
COL20A1,,
CUL7,,
NLGN3,,
EIF2AK1,,
NACAD,,
SCARNA27,,
SPRY4,,
ZNF660,,
TUBA1A,,
FIGNL2,,
ZNF451,,
NRXN2,,
MGA,,
NUP153,,
GATAD2B,,
MIR656,,
PLAGL2,,
PHF14,,
TNRC6C,,
TUBB2B,,
BAGE,,
POM121C,,
MEX3A,,
TPTE2P5,,
MIR4642,,
CEP41,,
RTN1,,
PDS5B,,
PADI3,,
MED28,,
ZNF629,,
CCT6P3,,
AVL9,,
BMERB1,,
ALX3,,
THSD7A,,
LMO1,,
PREX2,,
SREK1,,
PATZ1,,
PHF12,,
YWHAEP1,,
LOC100130298,,
CBX5,,
BACH1,,
MADD,,
ZNF708,,
PHF21B,,
CSRNP2,,
TRIM17,,
SHD,,
ITPRID2,,
CHD7,,
ZBED10P,,
THSD7B,,
ZDHHC4,,
CHAMP1,,
BMPER,,
CACNA1C,,
SIM2,,
NDRG4,,
PAK2,,
GTF2IP4,,
DUSP26,,
RAX,,
ZNF746,,
SLC4A5,,
MIR10A,,
STAR,,
ZSCAN29,,
ZSCAN16,,
ASIC4,,
RSBN1,,
LIPE-AS1,,
DLK1,,
PDZD2,,
DLX6,,
PRDM4,,
LOC284412,,
HMGB1,,
SPATA31H1,,
MEG9,,
AURKC,,
TAGLN3,,
EVC2,,
YTHDC1,,
NAV1,,
BRAP,,
GAP43,,
KLHL7,,
TIA1,,
CCDC163,,
TRA2A,,
SINHCAF,,
LRIF1,,
ZIK1,,
UBN2,,
ZNF223,,
BRSK1,,
ZNF398,,
GUSBP4,,
ZKSCAN2,,
CNOT4,,
PRECSIT,,
SYT11,,
ACSM4,,
CHRNA3,,
ARHGEF2,,
ZSCAN25,,
DPY19L3,,
RUNDC3A,,
CORO2B,,
MED20,,
TMEM59L,,
OR1Q1,,
PASK,,
KDM5A,,
ALOX15,,
MUC15,,
ARIH2,,
STARD3NL,,
ZNF490,,
BOD1L1,,
MAPK8,,
NRF1,,
ANKLE2,,
ZNF805,,
GFOD3P,,
SART3,,
GPBP1,,
INTS15,,
SENP1,,
HAUS3,,
PAN3,,
SLC22A23,,
HIPK1,,
RTL5,,
CCDC184,,
PROSER1,,
RBM26,,
TCAF1,,
GSK3B,,
TRRAP,,
GDF6,,
POM121,,
DMTF1,,
APCDD1L,,
LRRC4C,,
FOXN4,,
CCT6P1,,
SP1,,
JARID2,,
SP4,,
NTSR1,,
RNF111,,
ANKRD10,,
RSRC2,,
CADM4,,
SIGLEC15,,
ZNF606,,
ZSCAN26,,
SALL2,,
PRP4K,,
VAT1L,,
RBAK,,
ZNF77,,
PLEKHA8,,
TRIM13,,
KDM3A,,
PMS2P3,,
YEATS2,,
TUT4,,
ZXDC,,
EDN1,,
MSI1,,
LCOR,,
PROCA1,,
BEX1,,
ZKSCAN7,,
ZNF831,,
HNRNPD,,
GABPB1,,
SF3B1,,
TAFA1,,
MTMR3,,
LCORL,,
SPRED2,,
LRRC37B,,
PASD1,,
TP53BP1,,
NIPBL,,
KMT2E,,
PGBD1,,
RLF,,
RBM33,,
ZNF195,,
OR5AK4P,,
CDH13,,
ZNF235,,
TRAM2-AS1,,
MIR181C,,
LRRC49,,
RBP1,,
ZNF789,,
SLC35F1,,
CYRIA,,
PDE6B,,
HOXC12,,
ZNF730,,
SMURF1,,
TTBK1,,
LOC644189,,
NCOA5,,
CUL1,,
LETM2,,
CENPJ,,
CRAMP1,,
HOXD3,,
SFPQ,,
KBTBD2,,
LOC400940,,
IRS2,,
XPO5,,
ADNP2,,
CCDC93,,
TP53BP2,,
TNKS,,
GRIP2,,
GDAP1L1,,
MMP9,,
FAM193A,,
LINC00954,,
MEIS3,,
TRA2B,,
CTTNBP2NL,,
TPTE,,
CTDSP2,,
ATP6V1B1,,
STRIP1,,
AUTS2,,
CBX1,,
APAF1,,
MKS1,,
NEMP1,,
CDK13,,
IPW,,
ARID3B,,
DTX3,,
BRD2,,
CRY1,,
BPTF,,
OBI1,,
HOXC13-AS,,
LRCH1,,
AFAP1,,
EPC2,,
IGFN1,,
KRAS,,
CABP4,,
MIR320E,,
DNAH10,,
SYNGAP1,,
ZNF560,,
ZFAND3,,
ZNF714,,
RUBCNL,,
MIR4323,,
RNF41,,
SUPT20H,,
BRPF3,,
CEP95,,
ZNF311,,
PRPF40A,,
PHTF1,,
SETD9,,
DDX39B,,
AP4M1,,
KIAA1549,,
ILF3,,
LINC00265,,
PCGF3,,
RASL10A,,
ZBTB9,,
ZNF227,,
FUS,,
ZNF776,,
FRMD4A,,
MKLN1,,
RBM28,,
EP400,,
TPT1-AS1,,
KMT2C,,
CADM1,,
KCNA2,,
ZFR,,
AGPAT4-IT1,,
ANKRD61,,
TMEM121B,,
ITPRIPL1,,
GDAP2,,
AGAP4,,
DPY19L1P1,,
LINC00348,,
GON4L,,
FHL3,,
DCAF16,,
NSD3,,
SEMA6D,,
SLC4A8,,
ZCCHC8,,
LOC389765,,
IGSF3,,
MAP2K1,,
ARNT2,,
IGSF22,,
MIR4531,,
DDX18,,
ZSCAN21,,
VARS1,,
NHLH2,,
ZNF300,,
MYH1,,
KDM4A,,
MARS1,,
EFCAB10,,
ZSCAN23,,
SMURF2,,
CACNB3,,
MAGI2,,
TEKT2,,
CLASP1,,
METTL24,,
KAT6A,,
SCRN1,,
ERCC3,,
MIPEPP3,,
LOC100288069,,
ZNF225-AS1,,
ZNF333,,
FGD5P1,,
IRGQ,,
RCOR2,,
PCDH12,,
PRPF38B,,
RSBN1L,,
ANKZF1,,
RNF157,,
STARD7-AS1,,
SNRNP200,,
ZNF384,,
ZNF154,,
KMT2D,,
MVB12B,,
SP3,,
PPP1R12A,,
ZNF627,,
DEK,,
BCAR3,,
ACRV1,,
PHC1,,
CUL9,,
ZNF253,,
MMP12,,
RTL6,,
SMARCAD1,,
MORC2-AS1,,
TAFA2,,
SIKE1,,
PUM1,,
CMTR1,,
CLEC4F,,
IGF2BP2,,
KLHDC10,,
CUL3,,
ZNF596,,
RBM17,,
TEAD3,,
NFYA,,
ZBTB12,,
RERE,,
KLF12,,
GALNT8,,
ACVR1B,,
RIPK1,,
MCM7,,
USP12,,
ZNF417,,
DUS4L,,
HNRNPA2B1,,
USP3,,
CTDSPL2,,
KCNIP4,,
CRKL,,
KDELR2,,
HOTAIRM1,,
DPF1,,
MYADML2,,
ZBED4,,
ZNF669,,
DCP1A,,
SLC14A1,,
ZNF268,,
GUSBP3,,
H4C5,,
BUD31,,
NPY,,
RGS6,,
CDC42SE1,,
KIAA0753,,
ZNF140,,
ZNF697,,
ZNF587,,
LINC00654,,
RFX7,,
ZNF555,,
IGSF9B,,
DDR1,,
TLK2,,
ZNF516,,
GRIK1,,
KDM5B,,
KDM7A,,
HOXC11,,
HEYL,,
TFCP2,,
RALA,,
SPDYE3,,
VANGL2,,
HAUS2,,
WDR86,,
HOOK3,,
ZNF548,,
AGFG1,,
ZNF143,,
DAGLA,,
COX19,,
TRIM33,,
MYOZ3,,
ATXN7L2,,
C2orf68,,
MAGEA10,,
CLSTN3,,
NCOR1P1,,
SPEN,,
NANOS3,,
CRNKL1,,
MBD5,,
RIF1,,
HAGLR,,
GTF2E1,,
ZSCAN32,,
DCLRE1B,,
ZNF304,,
ZNF45,,
FGFR1OP2,,
NOL4L,,
GRK4,,
ZNF200,,
SPRY2,,
LINC01203,,
ENC1,,
ZBTB49,,
LY6S-AS1,,
MPHOSPH10,,
AGAP2,,
RPAIN,,
ADCY6,,
ZNF783,,
RGL2,,
LINC01000,,
KBTBD6,,
SUGP2,,
ADAMTS9-AS2,,
ZDHHC17,,
ZNF800,,
NAA16,,
ZMYM4,,
KCNAB3,,
GTPBP2,,
LRRC37A3,,
MDC1,,
ARHGEF7,,
CRABP1,,
PIANP,,
ZNF507,,
SRPK1,,
RANBP9,,
ATP8A2,,
ZNF594,,
KIF21B,,
ATAD2B,,
CILK1,,
PAXBP1,,
MIR410,,
DNMT3A,,
GTF2H4,,
E2F3,,
EIF4ENIF1,,
SPINK2,,
RP9,,
MED13L,,
SRSF3,,
ZNF528,,
SGPL1,,
LUC7L3,,
ZKSCAN1,,
ZNF543,,
WBP1,,
KIF2A,,
ORAI2,,
NOL9,,
CCAR2,,
TYW1B,,
DDX20,,
PRDM2,,
DCUN1D2,,
MCF2L-AS1,,
ASB3,,
KNTC1,,
BCAT1,,
ACVR2A,,
HCG11,,
HNRNPLL,,
CARTPT,,
ETV6,,
USP36,,
ZNF326,,
CCDC40,,
ANP32A,,
ZSCAN12,,
ZNF701,,
HOXA5,,
DLX2,,
ACP6,,
NSD2,,
LMBR1,,
CCNJ,,
ASAP2,,
SSTR2,,
UBE3A,,
HOXD1,,
GPALPP1,,
NUP93,,
ZDHHC8BP,,
TMEM170B,,
ZNF75A,,
SETD5,,
MAGEA11,,
KLF3-AS1,,
ING1,,
GZF1,,
RB1,,
SCAND2P,,
LEMD3,,
MYH3,,
LAPTM4B,,
TIMELESS,,
CSNK2B,,
RNF216P1,,
FYN,,
CHSY1,,
STX18,,
ELAVL1,,
GRB2,,
TSPY26P,,
DYNC2I1,,
H2AZ2,,
ZNF821,,
ARID4B,,
RTF1,,
PPT2,,
TMEM248,,
MACROH2A2,,
ZNF621,,
PWAR5,,
DLX5,,
ZGRF1,,
CBLL1,,
ZNF812P,,
RFX3,,
SULT1C4,,
ZNF740,,
ZNF146,,
FAM200A,,
RXRB,,
UTP14C,,
SRRT,,
SNORD114-10,,
GABPB1-AS1,,
ZNF609,,
ZNF578,,
CNOT9,,
POLR2B,,
KDM3B,,
FNBP1L,,
KANSL1,,
OPA1,,
CENPV,,
USP39,,
RBM12,,
SNRPA1,,
ZNF230,,
PDZD4,,
RNF10,,
SORCS1,,
PKDCC,,
XKR5,,
SHC3,,
PAK3,,
SLF2,,
ZNF738,,
RBMX,,
ZMYND8,,
DHX15,,
LRIG2,,
LRRC57,,
PAPOLG,,
SCYL2,,
E2F6,,
PRRC2A,,
ATF7,,
SLC35E2B,,
PUS7,,
PAN2,,
TPP2,,
TUBB,,
ZNF43,,
PARP6,,
ZNF606-AS1,,
ZNF283,,
ZNF135,,
MCF2L2,,
CEP170,,
KRIT1,,
STARD4-AS1,,
REPIN1,,
GPR173,,
RAD17,,
DDX47,,
HOXA6,,
RUFY4,,
GTF2I,,
CCNT1,,
HOXB4,,
ZNF229,,
LMNB1,,
MDM4,,
CDC5L,,
H1-4,,
ZNF136,,
NVL,,
TDG,,
NUP42,,
UBR1,,
TRIM9,,
LMBR1L,,
KANSL3,,
SBNO1,,
TRO,,
VAX2,,
PLEKHG2,,
ZNF254,,
WDR11,,
WRNIP1,,
KRT86,,
LINC00900,,
ARGLU1,,
ZNF264,,
PTPN9,,
CHST14,,
PI4KAP1,,
TYW1,,
ATXN2,,
MPHOSPH8,,
KHDRBS1,,
SNRNP48,,
VASH1,,
HNRNPA0,,
ZNF772,,
CCDC57,,
POLR1H,,
HECTD4,,
GCN1,,
XPO1,,
ADD1,,
NIM1K,,
RBPJ,,
TCF12,,
GDI1,,
LOC100131289,,
GNL1,,
ACTN3,,
NASP,,
BCORL1,,
SNRPN,,
CECR7,,
TNPO3,,
RBM8A,,
PHACTR4,,
COPG2,,
PRDM11,,
ZNF566,,
SENP7,,
REV1,,
SNAP25,,
NDE1,,
ATP6V1G2,,
PWWP3A,,
ZNF234,,
DZANK1,,
ZFC3H1,,
SLC26A10P,,
KANSL2,,
LIN54,,
STK38,,
C14orf132,,
SEPTIN7P2,,
TUBGCP4,,
LGALS8,,
ZNF100,,
TCERG1,,
ZNF532,,
DMXL2,,
USP37,,
OSGEPL1-AS1,,
NELFE,,
TGIF2,,
JMJD6,,
MIDN,,
GNAS,,
ZNF518A,,
TSPEAR,,
CCNT2,,
THOC2,,
GPR83,,
ZMYM5,,
CSNK1G1,,
TARDBP,,
MIR25,,
SOX5,,
ZC3HAV1L,,
ZNF32-AS2,,
TCHP,,
JMJD1C,,
LOC100294145,,
NUP54,,
PPP3R1,,
ZBED5,,
N4BP2L2-IT2,,
HNRNPA3,,
BLTP3A,,
AP3B2,,
SAFB,,
MSANTD2,,
ZNF138,,
ERBB3,,
POGZ,,
LINC00641,,
GPATCH8,,
PPIL1,,
ADAM1A,,
PPIG,,
SF3A1,,
UBR2,,
ALG11,,
DIP2A,,
HELZ,,
ZSCAN30,,
ZNF775,,
BAIAP3,,
LPAR4,,
MYSM1,,
DIXDC1,,
PHF6,,
CENPO,,
LINC01116,,
ZNF354C,,
TOB2P1,,
TTYH2,,
GATAD1,,
HNRNPL,,
DHX9,,
GPCPD1,,
ADAMTS7,,
ZNF416,,
HUS1,,
SPSB4,,
ZNF10,,
ASNS,,
MSTO2P,,
SMAD5-AS1,,
H4C12,,
ZNF286A,,
SCAF11,,
TRIP4,,
SNORA54,,
GTF2IRD1,,
PNN,,
TOP2B,,
ZNF431,,
SETDB1,,
ASB1,,
PINLYP,,
ABCC10,,
FMNL3,,
SPECC1L,,
ZNF74,,
SNRPB2,,
DNAJC14,,
EHMT2,,
PHTF2,,
HSP90AB1,,
SLTM,,
PSPC1,,
CSNK1E,,
KCNH8,,
IPMK,,
ADAMTS9,,
ACVR2B,,
PIP4K2B,,
AACSP1,,
MIOS,,
LMO3,,
CERS5,,
PYROXD1,,
ZNF644,,
HOXA3,,
CHST15,,
DAXX,,
MED12,,
WDR73,,
PDCD6P1,,
RC3H1,,
IPO8,,
U2SURP,,
PHF13,,
CERK,,
MKRN1,,
ZNF225,,
DGCR8,,
KIF3C,,
CDK17,,
ZNF383,,
JPT1,,
SENP5,,
NAA25,,
NGFR,,
RRN3P3,,
VN1R1,,
JAKMIP2,,
ZNF112,,
ZNF649,,
SNORD91A,,
ZNF319,,
ETV3,,
AHSA2P,,
MTF2,,
SH3KBP1,,
PIAS1,,
GSE1,,
PIBF1,,
SSBP3,,
MAGI2-AS3,,
LY6G5B,,
SIL1,,
FAM184B,,
ERN1,,
ZFP14,,
SMAD4,,
GRIA1,,
LGI2,,
HNRNPU,,
KCNIP1,,
PIP5K1A,,
SNIP1,,
LOC283731,,
H2AC15,,
ZNF492,,
CCAR1,,
NINL,,
ZFP69B,,
PPP4R1,,
ZNF711,,
TUBA3FP,,
PBRM1,,
LBR,,
SRP68,,
KAT7,,
HERC2P10,,
ZNF426,,
RBM48,,
SRSF11,,
CCDC136,,
ZNF506,,
OCLNP1,,
MAGEC1,,
SNORD116-8,,
BMT2,,
SNX22,,
ZFTA,,
CPSF4,,
HIRA,,
FOXJ2,,
BRD1,,
ZNF724,,
PRPF39,,
CEBPG,,
PCBP1-AS1,,
LINC01587,,
MED8,,
SKIL,,
CANT1,,
POLR1C,,
BAG6,,
FGFR1,,
STK40,,
PARP1,,
ZNF770,,
NEPRO,,
EXOSC8,,
ZNF814,,
SUV39H2,,
WDR33,,
CHD2,,
MIB1,,
SENP2,,
WNK1,,
ZNF583,,
TENM3-AS1,,
ZNF211,,
SDCCAG8,,
KLHL28,,
YIPF3,,
ATP6V0E2-AS1,,
DCAF7,,
NEK3,,
CAPRIN2,,
LOC100288637,,
CTBP2,,
RGS16,,
UBE2O,,
EXOC7,,
ZNF180,,
MIR555,,
ZNF320,,
AGAP1,,
ZSWIM3,,
NOVA2,,
ZNF124,,
CCDC88A,,
TOPBP1,,
ZBTB40,,
BRME1,,
LRATD2,,
KLHL13,,
ZNF551,,
DNAJC2,,
TBL1X,,
GRIN2A,,
LUZP6,,
VARS2,,
ABCF1,,
CAVIN4,,
ATXN7L1,,
STMP1,,
HOXA11,,
PGS1,,
INTS6,,
ZNF620,,
GSK3A,,
HPS4,,
COPS6,,
ITGB5,,
DHX36,,
YPEL1,,
ZNF662,,
CNOT11,,
NT5C2,,
EP300,,
RANBP1,,
CUL4A,,
NUP205,,
NUFIP1,,
SNHG33,,
HNRNPM,,
TYW5,,
UVSSA,,
MCM3AP,,
PPP2R5D,,
U2AF1,,
AP4B1-AS1,,
RBM15,,
MIR5581,,
LINC02981,,
SPRED3,,
SUPT7L,,
GSPT1,,
HOXB7,,
BEND3,,
H2BC4,,
TET2,,
ZNF767P,,
PTPN12,,
DDN,,
TJAP1,,
SRSF2,,
TRIP12,,
TRIM38,,
ADO,,
ZNF222,,
NUDCD3,,
KDM2B,,
YLPM1,,
ZNF132,,
EPS8L2,,
POGK,,
AGPAT1,,
RBMS2,,
FIP1L1,,
YKT6,,
ZDBF2,,
FAM8A1,,
ALYREF,,
TSN,,
SH3BP2,,
UACA,,
ATP1B4,,
SUN1,,
PEX1,,
SLC24A1,,
CCZ1B,,
HMGA1,,
ZFHX3,,
ANKDD1A,,
CTPS2,,
ZNF501,,
ZNF675,,
FOXP1,,
LMTK2,,
NCKAP5L,,
MARCHF9,,
POU3F3,,
NPLOC4,,
H4C4,,
COPS7B,,
WDCP,,
GNAI3,,
ETNK1,,
UBE3C,,
GABBR1,,
TLE3,,
VAMP3,,
BCOR,,
RBBP4,,
MIR4712,,
PHF21A,,
ZNF70,,
BRAF,,
HTATSF1,,
WRN,,
ZBTB11,,
LINC01012,,
TIAL1,,
SEPHS1,,
ST8SIA3,,
EAF1,,
ZNF678,,
CCNL2,,
CLIC1,,
HIVEP1,,
COA1,,
RNF4,,
TRAM2,,
RAB35,,
HSPBAP1,,
ZNF564,,
CLASP2,,
UHRF1,,
ZNF280C,,
CCNG2,,
ZNF862,,
FRAS1,,
ZNF792,,
RIT1,,
NCBP3,,
POC5,,
AQR,,
UBQLN4,,
HIC2,,
ANO2,,
LEMD2,,
SMG6,,
FBXL18,,
CBL,,
NR2C1,,
RNF157-AS1,,
INPP4A,,
NUP62,,
CCDC103,,
KPNA3,,
ELOVL5,,
LANCL2,,
ZNF624,,
SEPTIN2,,
FAM90A1,,
NOP14,,
POLG2,,
TSHZ1,,
TANC1,,
CAMTA1,,
NCAPD2,,
CACNA2D2,,
ATF7IP,,
SLC25A17,,
SUMO2,,
HERC1,,
TAF1A,,
SIPA1L1,,
PPP1R15B,,
NCOA6,,
ZNF470,,
CCP110,,
ETFB,,
LSM14A,,
PPHLN1,,
DOCK4,,
DLX6-AS1,,
GTF2H2B,,
NTRK3,,
ABI2,,
SULF2,,
CLK3,,
AMPD2,,
COG3,,
ALDH18A1,,
RPS6KL1,,
SNORD102,,
PCGF3-AS1,,
ZSCAN2,,
LRRC55,,
PPM1B,,
GOLT1B,,
SMARCA4,,
PDCD7,,
MIR10B,,
GPATCH2L,,
ZNF562,,
ZNF721,,
RINT1,,
N4BP2L2,,
TMEM50A,,
SYN1,,
RAD52,,
SPATA13,,
CDYL2,,
PLEKHM3,,
ECH1,,
SMARCC1,,
MARK3,,
BZW1,,
RYBP,,
WDR88,,
TBC1D12,,
NFATC1,,
C2,,
HSPA14,,
PRKRA,,
KRT81,,
UCHL1,,
PACRGL,,
POLR2D,,
FCRLB,,
RBM22,,
NALCN,,
TMED10P1,,
SEMA6C,,
SRRM1,,
DNM1L,,
MSI2,,
ZYG11B,,
GARS1-DT,,
TMPO,,
C1QL1,,
S100PBP,,
FBXO21,,
ZNF625,,
PLCG1,,
FBXL21P,,
TNFRSF10B,,
HEATR6,,
ZNF133,,
NCAPH,,
WBP4,,
EXOC1,,
ATP6V0A2,,
ZNF845,,
SEPTIN9,,
ZNF445,,
SMARCB1,,
LRP2BP,,
ANAPC1,,
BMS1,,
ATF2,,
MIR382,,
CAMSAP1,,
SCNM1,,
BCL9,,
DIS3,,
METTL2A,,
ZNF519,,
TRAF3IP2-AS1,,
AGAP6,,
ORC2,,
KLF7,,
CSDE1,,
PSMC2,,
SETD2,,
NONO,,
IFT172,,
MCTS1,,
ZNF512,,
WDR86-AS1,,
DENND5A,,
FAN1,,
EIF2B5,,
FAM86HP,,
CORO1C,,
N4BP2,,
REST,,
STK36,,
RALB,,
TOP3B,,
ARIH1,,
ARHGEF25,,
NRAS,,
PAK1IP1,,
FAM133B,,
HNRNPUL1,,
PPP4R2,,
DNAL1,,
PTGES3,,
SAP30BP,,
PRRC2C,,
DYNC1I2,,
ILF2,,
DCP1B,,
HNRNPH1,,
ZNF24,,
SFT2D3,,
FBXO11,,
ZNF160,,
LRP6,,
ARHGAP5,,
PLEKHB2,,
MAFG,,
DHX16,,
FOXK2,,
CTCF,,
EXOC3L2,,
ZBTB48,,
WDR46,,
MPZ,,
SEPTIN7,,
LOC392232,,
ZNF273,,
TXNDC12,,
ZNF461,,
UBE2I,,
AGO4,,
SNORD97,,
GTF2IRD2B,,
SIN3A,,
ATN1,,
ZNF282,,
NOL11,,
FAM171A2,,
ZNF652,,
XPOT,,
RBM25,,
ZSCAN12P1,,
MCM3,,
NWD2,,
MED13,,
NSUN4,,
FAM227A,,
COL11A2,,
GRAMD2A,,
LRCH3,,
RICTOR,,
LOC374443,,
RAB3GAP2,,
TNPO1,,
CHPT1,,
DBF4,,
ZNF141,,
ZFP69,,
ZNF418,,
CASQ2,,
MIR93,,
THAP9-AS1,,
CSNK2A1,,
NOP14-AS1,,
MIR590,,
PAXIP1,,
RFX2,,
BICRAL,,
CSNK1D,,
USP4,,
FGFR2,,
NUB1,,
URB2,,
CWC22,,
TCF20,,
CELSR3,,
RCC2,,
SERPINB9P1,,
ZNF407-AS1,,
H4C11,,
VPS39,,
DGUOK,,
MAGEF1,,
KMT2B,,
NECAP1,,
USP34,,
BMP2K,,
NPPC,,
PCBP2,,
BAIAP2-DT,,
TFDP1,,
MED14,,
IER3,,
CCDC65,,
ADCY8,,
GNA13,,
MNX1,,
ATG16L1,,
TRMT6,,
DDX1,,
SOCS7,,
ZNF736,,
BAZ2B,,
CD27-AS1,,
TMEM33,,
YY1AP1,,
CABP1,,
OGA,,
LINC01001,,
PCNX2,,
LRRC73,,
LINC00174,,
SLBP,,
RP2,,
CTPS1,,
TAF11,,
RASA3,,
ZNF780B,,
SUGT1,,
SUPT16H,,
RPAP2,,
DXO,,
CNOT2,,
GTF3C2,,
SDCBP2-AS1,,
ZNF791,,
NOTCH1,,
SNORA81,,
SDE2,,
SLC25A36,,
ZBTB14,,
ZNF765,,
UBR4,,
ZNF614,,
INO80D,,
MACF1,,
STK17A,,
CYREN,,
ZNF14,,
VPS13C,,
MARCHF6,,
SIN3B,,
CKAP2,,
SOX9,,
TMEM185B,,
