GSE91061,GSE61992,GSE91061|GSE61992
PCOLCE2,DIS3L,
TMEM132D,CGN,
RTN4RL2,NPAS1,
FAXDC2,GNB1,
STX18,POFUT1,
MAP6,LRP8,
ADO,PCDH17,
PSMG3,HDAC1,
TRIM2,DCT,
LRRC71,PSMA5,
GYPC,CERT1,
ALKBH8,MAN2C1,
SNORA81,CCDC6,
CD226,IFITM1,
MAPRE2,EMILIN2,
APP,AFAP1L2,
UVSSA,LEPROTL1,
PUS3,LOC100134868,
PIM3,NDUFA6,
APC,LUM,
LEPROT,SYMPK,
HMGCL,PTP4A1,
ARHGEF26,DHCR24,
GNG8,KCNJ13,
FLRT1,BRD8,
MRPS31P5,ZNF529,
GRAMD2B,TMEM39A,
SLC16A2,TMEM17,
IL13RA1,FNBP1,
B3GNT9,RCBTB2,
ZW10,SNRPD1,
MLEC,HJURP,
ZNF491,CHKA,
WDR17,TFAP2A,
DMD,CEP85,
GIPC3,LEP,
AGAP3,MOCOS,
NUDT16,CCNA2,
PSEN2,GNPAT,
PLEKHB2,MMP15,
DNAJC27-AS1,ATP5IF1,
TH,COL8A1,
MYO1B,LIMA1,
ESPN,LINC01018,
OPN3,NDUFB6,
KIAA0586,MRPL39,
CTSC,PCYOX1,
SAMD4A,KIAA1671,
SPAG1,ABRAXAS1,
MIR140,IRX5,
ZFYVE27,ZCCHC17,
PPM1L,PRR14,
SEL1L,NUP205,
ZNF570,GNAS,
XPC,CLDN15,
M6PR,PRAME,
STARD3NL,THBS1,
NHLRC3,MET,
MLYCD,VCP,
RUFY3,IDH3A,
EIF4A3,MAGED1,
TIMM23,OAS2,
RAC1,TESC,
TEX30,ARHGEF10,
LYNX1,PHF19,
C8orf88,,
NUP58,,
ZNF709,,
CHRM1,,
NOL4L,,
RBM4B,,
RBFOX2,,
ATMIN,,
ZNF106,,
SYDE2,,
SETBP1,,
ACAA2,,
ADHFE1,,
GFOD2,,
NOL3,,
NECAB1,,
PLEKHA5,,
CCDC121,,
PCSK6,,
TRIM47,,
NFIX,,
ZNF44,,
C11orf71,,
SLC11A2,,
IL27RA,,
SLBP,,
ZNF473CR,,
GALM,,
SIK2,,
PSORS1C1,,
ETS1,,
PPM1H,,
TM7SF3,,
ZNF630,,
CCDC8,,
ARSK,,
PCDHGA10,,
RAB39A,,
TMEM128,,
SLC7A1,,
LINC00552,,
NUP93,,
CPAMD8,,
PCSK2,,
CYP39A1,,
RASGEF1C,,
SEMA3D,,
TMC6,,
WDR90,,
WNT4,,
MOCS1,,
HMX1,,
OS9,,
PCSK5,,
TERF1,,
LINC02877,,
SMURF1,,
LINC00663,,
MAPKAPK5,,
MICB,,
TPP1,,
MARS1,,
KRAS,,
NDUFA9,,
NPLOC4,,
EXT2,,
EMG1,,
P3H2,,
KIF26B,,
CAPN15,,
TMEM253,,
PHKA2,,
CEP170P1,,
NR4A1,,
BOC,,
GET4,,
GTF2F2,,
HPS3,,
AGAP4,,
ADPGK,,
ACAT1,,
P2RX7,,
CHRNB4,,
KCNC1,,
DGKG,,
PTPRF,,
PIP4K2C,,
TBC1D5,,
FOXN3,,
FBXO3,,
DPYSL3,,
GLB1L,,
TNS1,,
MED15,,
SRR,,
FAM131B,,
AGAP6,,
TMEM63A,,
USP28,,
MICAL1,,
ITSN1,,
OR2L13,,
CBX4,,
PPP6R1,,
POGLUT3,,
ECI2,,
SDHD,,
CLTRN,,
OGG1,,
CRY2,,
AMPH,,
FKBP7,,
AIFM2,,
BET1L,,
LINC00479,,
ZHX3,,
DGKQ,,
COG8,,
CNTLN,,
CHCHD6,,
ABCA8,,
CARMIL3,,
SIRT7,,
AGL,,
SBF2,,
MICALL2,,
LCMT1,,
CHP1,,
RHOU,,
VXN,,
HHIPL1,,
RFX4,,
GIT1,,
VEGFA,,
MELTF-AS1,,
SLC30A8,,
LRP1,,
PPHLN1,,
ARNT2,,
TAC4,,
PADI3,,
G3BP2,,
KCNH3,,
ZFP30,,
SLC35F6,,
SHE,,
NOM1,,
MMUT,,
SNCA,,
IVNS1ABP,,
NELL1,,
GOLT1B,,
TNC,,
CACNA1B,,
MIR503HG,,
ZNF844,,
CERS5,,
GDAP1,,
MIR23AHG,,
ENTREP3,,
GUSBP1,,
SDK2,,
ITGA7,,
SOX5,,
CALCOCO1,,
ANKRD9,,
FIP1L1,,
SH3RF3,,
PRORP,,
AADAT,,
CYTOR,,
MIR503,,
RELB,,
KLHDC7B,,
GGCX,,
ABTB2,,
EPB41L5,,
C11orf54,,
AK4,,
SMUG1,,
CDC16,,
MTCL3,,
NBR1,,
FAM13A,,
BLOC1S2,,
TNFRSF10B,,
USP12,,
GULP1,,
RCHY1,,
BUD23,,
NEURL3,,
SNORA5C,,
ARHGEF12,,
WBP11,,
ALYREF,,
CNKSR2,,
AGFG1,,
SELENOP,,
LINC00310,,
ATP6V1E1,,
COX19,,
ADGRG1,,
PICK1,,
VEPH1,,
ASPA,,
PISD,,
TOP3B,,
ZNF569,,
VPS26B,,
CYTH3,,
TBC1D9B,,
SNCA-AS1,,
CCT6P3,,
THNSL2,,
FOLH1,,
DTWD2,,
KLC4,,
NDUFAB1,,
MIR211,,
EFNB1,,
UTP3,,
LINC00189,,
ABCD1,,
ADAMTS4,,
ANKRD10,,
LOC374443,,
ZNF395,,
MAEA,,
PLTP,,
GRK3,,
NCOA2,,
ANKEF1,,
MOAP1,,
SYNC,,
EPN2,,
ABRACL,,
ATP6V0B,,
TEX9,,
ROR1,,
SLC16A1,,
DNAAF8,,
ZNF717,,
VPS33B,,
EXOSC9,,
ME2,,
ZFP90,,
PRDM7,,
KCNAB2,,
NOXO1,,
TBCEL,,
CD9,,
SCP2,,
HSP90B2P,,
GOLIM4,,
ORMDL3,,
LRP3,,
AGO3,,
CDO1,,
ACADL,,
NADK2,,
COMMD4,,
DPY19L4,,
ADI1,,
PTPN9,,
ZNF221,,
TTC38,,
PSAP,,
CHRNE,,
MIR1286,,
LOC100129034,,
SNORD65,,
ZNF571,,
CCP110,,
F8,,
SLC39A6,,
ZNF615,,
NLGN1,,
PDCD6IPP2,,
PGM2L1,,
SMIM10L2A,,
NRCAM,,
MAP3K15,,
CIT,,
PHAX,,
DGUOK,,
TSPAN6,,
LINC00882,,
STAP2,,
TPD52,,
BUD31,,
RDX,,
PJA2,,
NOCT,,
LMBRD2,,
LEF1,,
TMEM161B,,
ESR1,,
CLN3,,
SNAI3-AS1,,
PLK2,,
ZNF746,,
PANK3,,
ATG4C,,
SMIM14,,
GREB1L,,
ENTPD5,,
PRDX1,,
PIGT,,
CFDP1,,
RAB11B-AS1,,
ANXA2R-OT1,,
PCBP2,,
NUP54,,
LINC00520,,
GPC6,,
NXPH4,,
TAP2,,
SH3BP2,,
ZNF219,,
CNIH4,,
SRGAP3,,
AGMO,,
AVPI1,,
PPP2R1B,,
RERG,,
MIF4GD-DT,,
MCC,,
PFKFB1,,
SRXN1,,
THRB,,
FAM86HP,,
ITGA9,,
SPATA18,,
MCF2L2,,
CREM,,
GPR161,,
ASIC3,,
ERICH3,,
C2,,
DEFB131B,,
PPFIA3,,
PTK7,,
RAB40A,,
B4GALT6,,
HSDL2,,
KALRN,,
LINC00858,,
SLC35D1,,
MIR626,,
IER3IP1,,
TXNRD2,,
SOX4,,
SORCS2,,
LYPLAL1-DT,,
MAN2A2,,
STYX,,
DUSP15,,
HMGCLL1,,
APBA1,,
SELENOT,,
ARSG,,
LMBR1L,,
BSDC1,,
TARBP2,,
VPS13D,,
SEC11C,,
SSBP1,,
TSFM,,
NR5A2,,
VESTAR,,
C2CD6,,
STRAP,,
UPP1,,
NFIA,,
PTGES3,,
CES2,,
SMARCD3,,
BCKDHA,,
DCHS1,,
MGAT4B,,
PXMP4,,
MYEF2,,
FPGT,,
CFAP221,,
BBOF1,,
RARB,,
SLC24A1,,
RNF152,,
SLC17A9,,
LOC100505715,,
NAGS,,
ZNG1F,,
OR2L2,,
RHEB,,
ARF3,,
CYP2J2,,
HPS4,,
MRE11,,
RNASE4,,
TRIB3,,
DZIP3,,
DUS1L,,
CISD2,,
ACSL3,,
LRRC45,,
FAM43A,,
TMEM33,,
RGMA,,
CTLA4,,
TPRA1,,
ARRDC3,,
HYAL1,,
BPHL,,
AUP1,,
PHLDB2,,
CUBN,,
GIPC1,,
TCEA3,,
KCNH8,,
SPATS2,,
FXYD1,,
CWF19L2,,
FOXO3B,,
CRHR1,,
ECHDC3,,
JPT1,,
ZNF429,,
TDRD3,,
MSL3B,,
ALDOC,,
CEP120,,
SMCP,,
TNN,,
APBB1,,
MATN2,,
ZNF780A,,
TTL,,
SLC44A1,,
RIDA,,
NUMA1,,
ITGB1,,
PSD2,,
TTC33,,
MAP2K3,,
MIR4667,,
PMEL,,
ZNF789,,
BIN3,,
PALB2,,
DEGS1,,
ZMYM2,,
AQP6,,
MEGF9,,
CALD1,,
DEPDC7,,
MAN1A1,,
HSPB9,,
MEX3B,,
CDK18,,
PLCL2,,
ZNF800,,
WNT6,,
ZEB1-AS1,,
TCP11L1,,
CRMP1,,
HACD2,,
GGA1,,
ZEB1,,
NABP1,,
HDAC6,,
STIM1,,
CYP2B7P,,
PSD3,,
ITGB1BP2,,
KCTD13,,
ZNF843,,
ACAD8,,
GTF3A,,
RAB8B,,
SERPING1,,
ZNF433,,
CALM3,,
NSUN5,,
AFF2,,
SLAIN1,,
GNAO1,,
TEAD4,,
ENHO,,
PCDHB16,,
DCPS,,
TRPV1,,
JAK1,,
NAGPA,,
ARHGAP35,,
ELOVL7,,
LETM1,,
SKIC8,,
DHFR2,,
ZNF347,,
ETV4,,
IFT46,,
PPFIBP1,,
HCCAT5,,
ENTHD1,,
PRR22,,
GRIP2,,
RBPMS,,
SHROOM1,,
FLJ16779,,
LONRF3,,
PCDHB3,,
PDIA3P1,,
F11R,,
ZFHX2,,
OSTM1,,
EGFR,,
CKS2,,
RBMS3,,
SNORD59A,,
UBE2M,,
HEXIM1,,
ENPP3,,
LCAT,,
PTCHD3P1,,
ZNF436,,
LANCL1,,
PHYHD1,,
LAMB3,,
KLF13,,
TBRG4,,
NFE2L3,,
MFSD5,,
NEMP1,,
TPMT,,
PLPP3,,
SNX33,,
MBD6,,
BCAP31,,
ZHX1,,
ZNF354C,,
BAMBI,,
LOC100507053,,
AIG1,,
GADL1,,
MAGEA8,,
PICART1,,
ALAD,,
FZD4,,
AARD,,
PCDHB4,,
RSPRY1,,
APMAP,,
MED4,,
HLF,,
CLEC2D,,
LOC254896,,
SSTR2,,
RAB11B,,
LSAMP,,
CHADL,,
MKRN1,,
RNFT2,,
ETFB,,
ECHDC2,,
LOC100507412,,
ST6GALNAC6,,
TM6SF2,,
AASDHPPT,,
LINC01625,,
ARSI,,
PPP1R15B,,
FAM182B,,
COLEC11,,
SMG7-AS1,,
FHL3,,
SNORA7B,,
EEF1A2,,
ANAPC4,,
PML,,
MIR3939,,
NRTN,,
ZNF41,,
PID1,,
CPED1,,
DYRK4,,
CLU,,
PLPP1,,
SNORD102,,
ANGPTL6,,
DNAJC6,,
COX5A,,
MLF2,,
SLCO2B1,,
GARNL3,,
KIDINS220,,
CDIN1,,
SC5D,,
ATOX1,,
POM121C,,
MAN2A1,,
ECRG4,,
SLC35F1,,
ARL2-SNX15,,
GLI1,,
CHRNB1,,
CRAT,,
PAN3,,
BID,,
FGGY,,
ZNF250,,
CLSTN3,,
QPCT,,
EMILIN1,,
GABRG2,,
ADH1B,,
ETF1,,
PPP1R10,,
MLH1,,
AMOTL1,,
ECH1,,
PCMTD1,,
IHO1,,
STARD7-AS1,,
RPS6KA2,,
NTN4,,
IGFBP7-AS1,,
ACO1,,
ADIPOR1,,
MRPL46,,
P3H1,,
MCTS1,,
ALDH6A1,,
EIF4E,,
CD63,,
ANGPT2,,
TBC1D32,,
SLC19A2,,
DISP1,,
TMEM198,,
RBKS,,
NATD1,,
UNK,,
SAP30L,,
LINC01000,,
TM4SF19-DYNLT2B,,
TUBB8,,
TPT1-AS1,,
RANBP1,,
DLL4,,
ZNF778,,
CYB5A,,
TRIM23,,
ADAM15,,
AVPR1A,,
NOG,,
CDC14B,,
SEM1,,
KLHL29,,
KLF11,,
NRBF2,,
CHML,,
PHF5A,,
USP36,,
KLB,,
BRSK1,,
SCN4B,,
PPP2R2B,,
LINC02716,,
TAB1,,
INSL6,,
CNPY2,,
ZNF697,,
PLSCR1,,
ADGRL2,,
MED28,,
GYG1,,
BNIP3L,,
CYP7B1,,
LPP,,
ASPSCR1,,
YPEL2,,
LRTOMT,,
CETP,,
NR2F1,,
BICDL1,,
IL6ST,,
GMPS,,
RHPN1,,
ATXN1L,,
MIR3176,,
APH1B,,
CTR9,,
ARCN1,,
PRR7,,
PTH1R,,
LINC02875,,
SMAD6,,
RPP25,,
CCDC57,,
THRSP,,
SGSH,,
LINC00853,,
WDR91,,
CD109,,
MELTF,,
USF3,,
NICOL1,,
GALC,,
FATE1,,
ALDH2,,
TTC3P1,,
APOA4,,
NUP42,,
ANKRD11,,
ODC1,,
YKT6,,
PHAF1,,
SLC45A2,,
SFT2D1,,
SH3RF3-AS1,,
METTL2A,,
CAVIN2,,
DECR1,,
CSPG4,,
TF,,
LGR4,,
TIAL1,,
TMEM14C,,
SNHG15,,
CC2D1A,,
ZNF614,,
TRPS1,,
NCKAP5L,,
RPL17,,
AADACP1,,
ZNF442,,
MAGED2,,
PDK1,,
ATG4B,,
LINC00308,,
NABP2,,
PDHB,,
GIHCG,,
BAIAP2-DT,,
CDK2,,
DPYD,,
NUGGC,,
GATAD2A,,
ARHGEF6,,
ZNF175,,
PLAAT5,,
LCA5,,
SEC14L4,,
MAOA,,
WAKMAR2,,
MIR4696,,
LINC01121,,
NFKBIE,,
CPSF4,,
RBX1,,
C15orf40,,
IFNGR2,,
WWOX,,
PKNOX2,,
ANKRD18DP,,
RBMXL1,,
TMUB1,,
ANG,,
HEPACAM,,
ADGRA2,,
GLI2,,
C12orf60,,
PC,,
EFR3A,,
CDH3,,
ZNF839,,
LINC02447,,
ZYX,,
DDX10,,
C10orf95-AS1,,
ITGA8,,
DCUN1D2,,
ATG14,,
ZDHHC2,,
NUDT12,,
MZT1,,
LNX2,,
SDAD1,,
SQSTM1,,
BNIP2,,
PPP1R26,,
FITM2,,
ZNF558,,
SNRPF,,
PPP2R5A,,
TFDP1,,
ZNF775,,
PAOX,,
GUCY1A2,,
HNRNPF,,
ABHD11-AS1,,
EGR3,,
ARGLU1-DT,,
CRHBP,,
FOXO4,,
SPECC1,,
CAP2,,
PTPRJ,,
ENPEP,,
E2F6,,
CHAMP1,,
H4C8,,
RPL36A,,
ZFP82,,
MS4A15,,
BASP1-AS1,,
PRKD1,,
FGD5-AS1,,
TFPI,,
MIR3177,,
GAGE12J,,
CHMP1B,,
PCDHB11,,
MIR3186,,
SLC1A1,,
ALDH3A2,,
PKN1,,
MREG,,
ANKRD13C,,
TTC36,,
SLC25A20,,
CCZ1,,
RGL1,,
ZSCAN16,,
ALMS1P1,,
WASHC2A,,
ACAA1,,
VIPAS39,,
IRF5,,
DHRS3,,
SERPINH1,,
ATP6V1G1,,
ZFP36L1,,
PINK1,,
SEPTIN9,,
SH3TC1,,
MIF4GD,,
DLC1,,
LRP5,,
TM4SF19,,
FGFR1OP2,,
LDB2,,
RNF4,,
CUL1,,
FBXO31,,
DHODH,,
GAS8-AS1,,
SNORA27,,
HS3ST3B1,,
FANCI,,
GSR,,
LINC01963,,
DDX47,,
SPTSSA,,
ARID4A,,
SNHG16,,
SULF2,,
ZNF726,,
GPLD1,,
EGFEM1P,,
