GSE91061,GSE61992,TCGA-SKCM,GSE91061|GSE61992
KIF22,,,
CLEC7A,,,
DDOST,,,
SKAP1,,,
STAT3,,,
CD300E,,,
ARPC3,,,
DCK,,,
SIRT7,,,
SNX11,,,
SIRT6,,,
NECTIN2,,,
PGGT1B,,,
PIK3AP1,,,
IKBKE,,,
TRIP4,,,
FIG4,,,
LRRC8B,,,
POLR2C,,,
NACC1,,,
ZWINT,,,
IRF5,,,
LMAN2,,,
FCGR1A,,,
ADAM9,,,
IL27RA,,,
SNX9,,,
NUP62,,,
MYO7A,,,
NOCT,,,
WDR62,,,
SNAP23,,,
PLEKHO1,,,
TM4SF19,,,
RCSD1,,,
CTSS,,,
FBRS,,,
BCL10,,,
NINJ1,,,
XRCC4,,,
SLC20A2,,,
NPC2,,,
BAALC-AS2,,,
UBE2S,,,
UBE2Z,,,
TELO2,,,
NRXN3,,,
TAGLN2,,,
HBEGF,,,
FYB1,,,
PTBP1,,,
ARL8A,,,
GMEB1,,,
VASP,,,
ATP13A2,,,
MYPOP,,,
OSBPL11,,,
ARID3A,,,
REEP4,,,
EDC4,,,
GMIP,,,
CSNK1G2,,,
STRN4,,,
ZMIZ2,,,
SSX2IP,,,
ERP29,,,
ADAP2,,,
CATSPER1,,,
GSK3A,,,
HLA-H,,,
STX11,,,
DRAM1,,,
EIF4G1,,,
PCCA,,,
ABRACL,,,
U2AF2,,,
AFAP1,,,
PMM2,,,
NCEH1,,,
UBE2M,,,
AP1B1,,,
CD300A,,,
TRAPPC11,,,
SIGLEC7,,,
YIPF1,,,
ALYREF,,,
TMEM150B,,,
IL1RAP,,,
GPR65,,,
ADPRS,,,
H3-3B,,,
RBM42,,,
SMG9,,,
PRPF31,,,
IL10RB,,,
STPG1,,,
ZC2HC1C,,,
SPP1,,,
EFTUD2,,,
BAG3,,,
DUSP6,,,
BHLHE40,,,
CHMP2A,,,
CDK5,,,
TFE3,,,
C1QA,,,
DCLRE1B,,,
SLC2A1,,,
ZYX,,,
TFDP3,,,
MMP12,,,
TNFRSF11A,,,
AP2S1,,,
RASSF4,,,
CTBP1,,,
PACSIN2,,,
UTP18,,,
NELFA,,,
TMEM199,,,
ARHGEF3,,,
PGAM1,,,
C3AR1,,,
GNGT2,,,
CCNK,,,
LILRB1,,,
PPP4C,,,
CD38,,,
RPN1,,,
DNASE2B,,,
GNG5,,,
PPP1R9B,,,
BUD23,,,
CANT1,,,
SNX20,,,
IST1,,,
NUB1,,,
SLBP,,,
AP3B1,,,
GDAP2,,,
TMEM50A,,,
VPS4A,,,
GSR,,,
MYD88,,,
PLXNA1,,,
SLC38A9,,,
MFHAS1,,,
CGAS,,,
LINC00239,,,
RP2,,,
LYPLA2,,,
LSM12,,,
PCGF2,,,
TPM3,,,
LSR,,,
PLSCR1,,,
RAC1,,,
GOSR1,,,
TXNDC12,,,
APBB1IP,,,
SBNO2,,,
SECTM1,,,
ALAS1,,,
CAPZA2,,,
VAMP3,,,
PYROXD2,,,
UHRF1,,,
C1QB,,,
BLTP2,,,
IFNAR1,,,
MSH3,,,
PICK1,,,
DHDDS,,,
ITPKC,,,
DNAJB1,,,
ADAMTS4,,,
PRDX3,,,
FBXO8,,,
KDELR1,,,
HCFC1,,,
MED16,,,
PSMD7,,,
CDC42,,,
SFPQ,,,
OSTF1,,,
TSPAN19,,,
CHIC2,,,
CCP110,,,
PILRA,,,
CD33,,,
EFHD2,,,
BCAP31,,,
ATP6AP2,,,
INF2,,,
TMEM248,,,
PHC2,,,
COASY,,,
MAP2K1,,,
UBE3C,,,
RNF157,,,
RFC2,,,
CLEC6A,,,
ZNF319,,,
ARSB,,,
AMPD2,,,
SDSL,,,
TOR3A,,,
SARS1,,,
SAP30BP,,,
TFB1M,,,
UBR7,,,
DHX38,,,
AP2A1,,,
NPC1,,,
TTI2,,,
CDT1,,,
ACOD1,,,
MCM5,,,
LETM1,,,
CD80,,,
LAMP1,,,
FAM174A,,,
GRK2,,,
SPAG5,,,
F11R,,,
LTBR,,,
RAB5C,,,
PLEKHM1,,,
GCH1,,,
NAA60,,,
PIM1,,,
UNC13D,,,
TMEM273,,,
CHMP7,,,
ST3GAL2,,,
CHMP2B,,,
KRT12,,,
CDCA4,,,
LGALS3BP,,,
NCAPH2,,,
ANKRD22,,,
SGPL1,,,
STAT1,,,
GALK2,,,
ATP1A1,,,
ATP6AP1,,,
PSMD12,,,
CALR,,,
MKS1,,,
KIAA0319L,,,
ASF1B,,,
CCDC47,,,
EWSR1,,,
ERI1,,,
PI4K2A,,,
IGF2R,,,
RHEB,,,
SLC35B1,,,
KPNA6,,,
LRPAP1,,,
MAFG,,,
H1-10,,,
MRPS23,,,
POLRMT,,,
CENPU,,,
LYZ,,,
RNF126,,,
UBE2I,,,
EIF4EBP1,,,
RFX1,,,
MED10,,,
SAPCD2,,,
CD300LF,,,
PIGG,,,
NDE1,,,
LAMTOR5,,,
HGS,,,
NUDC,,,
NADK,,,
TIFA,,,
CNOT3,,,
NAPA,,,
PPP5C,,,
RLBP1,,,
CMIP,,,
TOMM40,,,
HK2,,,
GET3,,,
MFSD14A,,,
PEX14,,,
CALM1,,,
LCMT1,,,
COPE,,,
EHBP1L1,,,
PFN1,,,
STRIP2,,,
SAMD9L,,,
DPY19L1,,,
CIB1,,,
RIPOR1,,,
TRIML2,,,
HNRNPM,,,
ME2,,,
PHLDA1,,,
DHPS,,,
NAGPA,,,
LDLR,,,
MAP6,,,
ALDOA,,,
ERAP1,,,
GDE1,,,
BTK,,,
CSMD1,,,
LRWD1,,,
FAAP24,,,
RAB40C,,,
LRRC45,,,
TNFRSF1A,,,
ABHD16A,,,
COQ8B,,,
ZNF653,,,
PSMD2,,,
CORO1C,,,
SFXN1,,,
VPS33A,,,
SEMA6B,,,
HDGFL2,,,
NOC4L,,,
WDR41,,,
TRIM35,,,
C19orf47,,,
GRPEL1,,,
BIN3,,,
RALB,,,
DHX30,,,
MYO1F,,,
CD164,,,
BNIP2,,,
GIPC1,,,
CALHM6,,,
INHBA,,,
TFG,,,
NELFB,,,
SLC39A8,,,
SUMO2,,,
ABI3,,,
SPNS1,,,
PTP4A2,,,
CLIC1,,,
PPP1R18,,,
BRD9,,,
MAEA,,,
PLXNB2,,,
MED8,,,
CASS4,,,
EIF4H,,,
LINC00221,,,
ADCK2,,,
TNFSF13B,,,
NFKBIB,,,
ABCA13,,,
GRN,,,
CD48,,,
SPHK2,,,
CAPZA1,,,
NEURL3,,,
UBN1,,,
FERMT3,,,
ELOVL1,,,
FAM90A1,,,
SCN9A,,,
CTSC,,,
UNK,,,
CREG1,,,
CISH,,,
CARD19,,,
C1QC,,,
G3BP2,,,
SULF1,,,
MED6,,,
SLC39A11,,,
DDX19A,,,
THAP1,,,
PTPRN2-AS1,,,
ATF6,,,
CFAP20,,,
ZC3H18,,,
LINC01194,,,
GABRA2,,,
E4F1,,,
ARPC1B,,,
DDX54,,,
RNPEP,,,
ACLY,,,
UIMC1,,,
WAS,,,
SNRPA1,,,
FRG1,,,
SLC49A3,,,
DNM2,,,
SERTAD3,,,
TNFSF13,,,
LONP1,,,
BSG,,,
GMPPB,,,
ZNF282,,,
IER2,,,
HEXIM1,,,
PAK2,,,
SPATA2L,,,
HM13,,,
TBCA,,,
YIPF2,,,
NAGA,,,
DHX37,,,
SDF4,,,
DTX3L,,,
TYK2,,,
ACAT2,,,
IFI16,,,
VAMP8,,,
RANBP3,,,
HEATR6,,,
ANXA7,,,
ABHD8,,,
ATXN7L3,,,
GTF2E2,,,
SLC43A2,,,
NRAS,,,
GFM2,,,
CLDN12,,,
TMUB1,,,
TNPO3,,,
SLC16A3,,,
SRRT,,,
MKRN1,,,
ATP6V0B,,,
ZNF213,,,
STARD3NL,,,
SUPT6H,,,
APLP2,,,
MRFAP1,,,
H2AX,,,
CYB5R4,,,
DNAJC1,,,
IRF2BPL,,,
LINC00861,,,
MCPH1,,,
BIRC3,,,
RBM10,,,
HLA-A,,,
WFS1,,,
SQSTM1,,,
PLEKHA4,,,
MMP19,,,
RSPH3,,,
ENO1,,,
DNAJC8,,,
EXOSC9,,,
ARNT2,,,
SBDS,,,
ATP6V0E1,,,
CLCC1,,,
POLD1,,,
AGTRAP,,,
PPP3CC,,,
SYNGR3,,,
ZNF622,,,
PIP5K1C,,,
KCNK13,,,
DOT1L,,,
MCM2,,,
PRKACB,,,
TUBB4B,,,
SH3BGRL3,,,
C11orf21,,,
EIF4E,,,
MS4A4A,,,
PNKP,,,
HOXA7,,,
DCAF15,,,
SRP19,,,
VSIR,,,
CLCF1,,,
TBC1D10B,,,
TACO1,,,
MGAT4B,,,
CDH6,,,
NRF1,,,
SLC30A7,,,
CSNK1D,,,
ALDH16A1,,,
CLTC,,,
CAPNS1,,,
INTS1,,,
ZBTB7A,,,
TRAFD1,,,
POLR2J,,,
JOSD1,,,
UPP1,,,
FPGS,,,
EMC7,,,
HIF1A,,,
DACT3,,,
GINS3,,,
CAAP1,,,
CHADL,,,
GIT1,,,
HOXB7,,,
ARPC1A,,,
CXCL9,,,
POP7,,,
NUP210,,,
FBXO42,,,
ANXA11,,,
CEP41,,,
CDC27,,,
RNF10,,,
GHITM,,,
CARD6,,,
LRRC8C,,,
WTAP,,,
CYB5B,,,
CD320,,,
TMEM184B,,,
EGR3,,,
FABP7,,,
PSTPIP2,,,
POLR2E,,,
SH3GL1,,,
ST6GALNAC5,,,
KIF1A,,,
CSTB,,,
ACOX3,,,
CHST11,,,
S100A5,,,
CLPTM1L,,,
PSMD11,,,
EMC1,,,
ARMC7,,,
FOLR3,,,
AVL9,,,
IL15RA,,,
KYNU,,,
PANK4,,,
ADGRE1,,,
ZBTB8OS,,,
ATG7,,,
CHPF2,,,
SESN2,,,
BFSP1,,,
PVR,,,
ALKBH1,,,
LAT2,,,
INPP5F,,,
ARF6,,,
NOP14,,,
CLLU1-AS1,,,
DIPK1C,,,
TSPAN14,,,
HCLS1,,,
RAD54L,,,
TMEM161B-DT,,,
PSMA3,,,
GPR82,,,
FAM86DP,,,
DCTN6,,,
IFNGR2,,,
SEC61G,,,
CAST,,,
LMNB1,,,
CBFB,,,
CRLF1,,,
HEXIM2,,,
PGAP6,,,
SESN3,,,
DNTTIP2,,,
NR1H2,,,
ADGRE5,,,
UQCRC1,,,
NFE2L3,,,
GAK,,,
SPSB1,,,
GNA15,,,
DDA1,,,
TMED5,,,
TUBG1,,,
NSUN3,,,
GTF3C6,,,
CEP68,,,
GNPTG,,,
CHST15,,,
POLDIP2,,,
VANGL1,,,
NFYC,,,
MGRN1,,,
APOBR,,,
UBXN6,,,
POLR3K,,,
TMEM222,,,
SLC35A2,,,
HSPBP1,,,
PEX5L,,,
NFAM1,,,
MCCC2,,,
NMI,,,
PAFAH2,,,
SRSF9,,,
MTMR14,,,
DMXL2,,,
BCKDK,,,
SPRYD3,,,
MSRA,,,
TSPAN33,,,
RNASEK-C17orf49,,,
RBM19,,,
XAB2,,,
NKIRAS2,,,
IQCD,,,
ATP6V0C,,,
KATNB1,,,
MFSD11,,,
SZRD1,,,
RB1,,,
PNPO,,,
SPG21,,,
WDR1,,,
POC1A,,,
EPN1,,,
PIM3,,,
SUPT4H1,,,
EIF1,,,
SCAF1,,,
MTHFD2,,,
NQO1,,,
RPS6KB1,,,
CCDC124,,,
SDC3,,,
GIMAP2,,,
SIRPB1,,,
LAP3,,,
SERPINB1,,,
CTTNBP2NL,,,
BCAT1,,,
YIF1B,,,
SCCPDH,,,
MID1IP1,,,
ERP44,,,
MPND,,,
PRMT1,,,
ZNF787,,,
MFNG,,,
COPB2,,,
PSAP,,,
NPLOC4,,,
ADAMTS10,,,
ABHD12B,,,
SP2,,,
DHX8,,,
ARMCX4,,,
FAM222B,,,
TWF2,,,
PDIA3P1,,,
PRMT6,,,
CERS2,,,
CNDP2,,,
ARMT1,,,
NMT2,,,
PTOV1,,,
CENPW,,,
CCDC106,,,
CCDC9,,,
TMEM106A,,,
ASCC3,,,
BMP2K,,,
SHTN1,,,
TNIP1,,,
UBE2D1,,,
SPRED3,,,
RPA2,,,
HIVEP3,,,
PPP2CA,,,
ARHGEF2,,,
KIF6,,,
TLR2,,,
SUPT5H,,,
KLHL2,,,
CPNE2,,,
SUZ12,,,
RPS19BP1,,,
EGR1,,,
FCRL1,,,
HPRT1,,,
UTP3,,,
RNF43,,,
TADA3,,,
EBI3,,,
MIR548AX,,,
SIPA1L1,,,
DHRS13,,,
TWIST1,,,
USP4,,,
SNF8,,,
VPS18,,,
WIPF1,,,
THBD,,,
SAMD13,,,
SARAF,,,
ABCC1,,,
NUP85,,,
USP8,,,
ELOF1,,,
PLIN2,,,
GTF2F1,,,
TLK2,,,
SEC22B,,,
PDSS2,,,
HERC3,,,
APEH,,,
CRYZ,,,
RDH5,,,
C3orf38,,,
AIFM2,,,
GABPB1,,,
CTSH,,,
CYTIP,,,
GAA,,,
WDR24,,,
MESD,,,
STX12,,,
AKIRIN1,,,
SCPEP1,,,
CHAF1A,,,
LINC01013,,,
DCSTAMP,,,
AP3D1,,,
VTI1A,,,
SELENON,,,
SHISA5,,,
NF2,,,
NCAPH,,,
ETV4,,,
PIAS1,,,
ADCY1,,,
CUL1,,,
LRRK2,,,
HNRNPD,,,
CENPM,,,
HLA-C,,,
HPS6,,,
FAM167B,,,
TNRC18,,,
VOPP1,,,
MFAP1,,,
DDX24,,,
ARAF,,,
HMGN2,,,
FXYD5,,,
NHSL1,,,
SIPA1L2,,,
BZW1,,,
MSN,,,
PTPN22,,,
SDHB,,,
RELA,,,
MTMR9,,,
YRDC,,,
MMRN1,,,
ING1,,,
TMEM167A,,,
BAZ1B,,,
FBXW5,,,
CIAO2A,,,
S100A11,,,
NUP54,,,
PRORP,,,
CHCHD2,,,
GALE,,,
SLC30A1,,,
PSMB8,,,
REXO1,,,
RNF123,,,
CLPP,,,
CELSR1,,,
CCNA2,,,
CCND3,,,
PSME2,,,
HSD17B11,,,
CHMP6,,,
SERINC1,,,
IGFBP2,,,
ZNF444,,,
SRXN1,,,
GRIPAP1,,,
ZBTB17,,,
ETF1,,,
MRC1,,,
SDCCAG8,,,
TM6SF1,,,
HMGB2,,,
GOLGA5,,,
CCZ1,,,
TIMM29,,,
GARS1,,,
RGS16,,,
MCAT,,,
SYK,,,
MTREX,,,
SAMD15,,,
CHIT1,,,
TNFRSF10B,,,
NCK1,,,
DBI,,,
ELOA,,,
PIK3CG,,,
CDC6,,,
TERF2IP,,,
C1orf50,,,
MED28,,,
CDC42SE2,,,
PCTP,,,
CCDC25,,,
PELO,,,
TUBA1B,,,
IDH1,,,
LEO1,,,
MON1B,,,
NCAPG2,,,
CCDC71,,,
RPGR,,,
MIAT,,,
TRIM8,,,
RPN2,,,
MAP3K11,,,
PHAF1,,,
CWC27,,,
LRCH4,,,
IKBKG,,,
ATPAF2,,,
NCF1,,,
OSBPL3,,,
KBTBD2,,,
RALY,,,
HNRNPA2B1,,,
BCL3,,,
DSE,,,
GTF3C1,,,
AAGAB,,,
HUS1,,,
CSPG4,,,
UGGT2,,,
TMEM104,,,
ZC3H4,,,
GRWD1,,,
CCDC71L,,,
RUVBL2,,,
FKBP9P1,,,
MAFK,,,
LINC00312,,,
CDC34,,,
LOXL4,,,
PICALM,,,
PSMC5,,,
NR0B1,,,
B2M,,,
TIGD4,,,
FLVCR2,,,
UBE2J2,,,
TPI1,,,
PPID,,,
ENTPD7,,,
WDR45B,,,
AFAP1L2,,,
BHLHE40-AS1,,,
IGSF8,,,
EXOC6B,,,
TRAF7,,,
SMIM3,,,
CFAP20DC,,,
SMG8,,,
KMO,,,
BBS12,,,
NUDT9,,,
MAGEA3,,,
PNPLA8,,,
SYNGR2,,,
RBM24,,,
RNPS1,,,
GPN3,,,
NFE2L1,,,
RCC1L,,,
HELLS,,,
TMEM62,,,
TIPIN,,,
BLTP3B,,,
PISD,,,
LMNB2,,,
ABCC2,,,
FOXK2,,,
NCLN,,,
ITFG1,,,
IFNAR2,,,
TM9SF2,,,
PML,,,
PNKD,,,
MOB1A,,,
PPP2R2A,,,
STXBP3,,,
PGK1,,,
CD2BP2,,,
CLSPN,,,
DHX58,,,
RNF144A,,,
MTUS1,,,
SCN4B,,,
SEC24D,,,
SLC11A1,,,
TRPM8,,,
SCARNA9,,,
HAUS8,,,
NUBP2,,,
BCAT2,,,
PNP,,,
PPP2R1A,,,
CBLN4,,,
ANAPC10,,,
POLR2B,,,
PDLIM5,,,
DSEL,,,
C19orf38,,,
CEACAM4,,,
TMED9,,,
ZNF670,,,
CCNB2,,,
GBP2,,,
MFSD4B,,,
CEP55,,,
TM4SF1,,,
SLC10A7,,,
EFCC1,,,
BUD31,,,
STAP2,,,
HARS1,,,
APCDD1L-DT,,,
RHPN1,,,
CMKLR1,,,
YKT6,,,
TM2D2,,,
ATP6V1H,,,
FIP1L1,,,
ABCB8,,,
CCL4,,,
FKBP8,,,
ATP6V1F,,,
LIF,,,
MBOAT7,,,
ZNRF2,,,
CORO1B,,,
ZNF775,,,
MRPL20,,,
VEZF1,,,
NMT1,,,
MIR3945HG,,,
CDC40,,,
EIF1B,,,
LINC00926,,,
NRBP1,,,
BRAP,,,
FGR,,,
NAB1,,,
RTN1,,,
AGA,,,
LILRA1,,,
C15orf48,,,
PRPSAP1,,,
KLC1,,,
IRF1,,,
TNFRSF12A,,,
DNAL4,,,
ITGA2,,,
CYB561D2,,,
RAB13,,,
AP5Z1,,,
SH3TC2,,,
CISD2,,,
SIPA1,,,
FKRP,,,
DUSP4,,,
PAK4,,,
KCNN4,,,
SMCO4,,,
DTHD1,,,
P4HTM,,,
GPI,,,
MIR541,,,
STARD3,,,
MRPL27,,,
MSR1,,,
RECQL4,,,
SEMA4A,,,
PDIA3,,,
ZNF205,,,
C2CD2L,,,
SELPLG,,,
TK1,,,
TBL3,,,
RFNG,,,
MIR570,,,
TSPAN32,,,
CCNH,,,
DNAJB6,,,
ESCO2,,,
RRM2B,,,
RABEP2,,,
FAM241B,,,
REPIN1,,,
C7orf50,,,
TM2D1,,,
UMAD1,,,
NME1,,,
CTU2,,,
GPS1,,,
KIF13B,,,
PACC1,,,
MIDN,,,
AAMP,,,
TRIM66,,,
PCDHGA9,,,
USP38,,,
MRTO4,,,
