GSE91061,GSE61992,TCGA-SKCM,GSE91061|GSE61992
CCZ1P-OR7E38P,,,
SPATS2,,,
ZNF117,,,
RHEB,,,
DPH1,,,
USP5,,,
PPTC7,,,
STAMBPL1,,,
KLRA1P,,,
DBNL,,,
RPL32P3,,,
HCFC1,,,
CANT1,,,
NUP205,,,
G6PD,,,
NCLN,,,
HEATR4,,,
SNHG11,,,
HOXA1,,,
MKNK1,,,
SRRM2,,,
TRIM11,,,
SCARNA27,,,
TRMT6,,,
IER3IP1,,,
BMT2,,,
OAT,,,
RNF138,,,
B4GALT6,,,
NRSN2,,,
CALU,,,
PGAP6,,,
SRGAP1,,,
SCARNA15,,,
CKAP2,,,
DUSP12,,,
ADGRE2,,,
SAT1,,,
FAM86FP,,,
TJAP1,,,
RASA3,,,
H3-3A,,,
SNX11,,,
DLGAP4,,,
MANBA,,,
DENND4B,,,
TSPAN3,,,
SUN1,,,
METTL3,,,
NFKBID,,,
SEPTIN7,,,
MFN1,,,
TAFAZZIN,,,
ANKRD52,,,
CREB5,,,
NAT9,,,
TMEM170B,,,
PDCD7,,,
AZIN2,,,
PSMD6,,,
HEXIM1,,,
TEX30,,,
C4orf33,,,
DNAJB6,,,
SNORA27,,,
SULF2,,,
DGUOK,,,
PHTF2,,,
CACNA1A,,,
EBLN2,,,
SRCIN1,,,
AUP1,,,
PSMD2,,,
ZSCAN16,,,
RAB8B,,,
HNRNPA2B1,,,
TAS2R20,,,
TLCD5,,,
LETM1,,,
LGALSL,,,
SHOC2,,,
MCL1,,,
CIAPIN1,,,
STAMBP,,,
YEATS2,,,
FBXL14,,,
MCM3AP,,,
VARS2,,,
EIF6,,,
EHD1,,,
ARIH1,,,
HCG18,,,
CYB5A,,,
MIR324,,,
PAK2,,,
KIAA0232,,,
STMP1,,,
SIN3B,,,
ARL2BP,,,
FLII,,,
ACTB,,,
ZNF431,,,
C1QBP,,,
MIR23AHG,,,
MIR4257,,,
B4GALNT1,,,
FBXO38,,,
VPS36,,,
CTPS2,,,
UBALD2,,,
ACIN1,,,
ZBTB1,,,
ARIH2,,,
CCDC93,,,
GALM,,,
CCNT1,,,
SMPD4,,,
MRPS22,,,
RPS6KL1,,,
TXNL4B,,,
ADGRE5,,,
PURB,,,
SLC35F6,,,
EZH2,,,
LENG8,,,
MRPL51,,,
SPRYD7,,,
B3GALNT2,,,
DCAF15,,,
ALDH18A1,,,
LILRA5,,,
JKAMP,,,
ENAH,,,
ELF1,,,
CHPF2,,,
GDAP1,,,
RAB11A,,,
ATP6V1E1,,,
MPDU1,,,
SLCO2B1,,,
PPP6R1,,,
TARBP2,,,
ERH,,,
EIF2AK4,,,
COPB2,,,
TDG,,,
FOS,,,
CUL3,,,
SLC11A2,,,
FKBP1A,,,
NAGK,,,
RHPN1-AS1,,,
NABP2,,,
HOXC13,,,
EOLA1,,,
SENP2,,,
DMTF1,,,
FAM53C,,,
CLN3,,,
NEAT1,,,
PIP4P1,,,
POLR3E,,,
TTC8,,,
TRIM17,,,
KLF10,,,
TAPBP,,,
CAMK2G,,,
PHF14,,,
APOA4,,,
TEPSIN,,,
SNORD102,,,
RNF13,,,
SRSF2,,,
NCBP2AS2,,,
APAF1,,,
RAB24,,,
UTP20,,,
S100B,,,
OAZ2,,,
CBL,,,
ITGB1BP2,,,
SNHG15,,,
ADI1,,,
LOC100288123,,,
RCOR1,,,
SH2D3A,,,
CDKN2D,,,
FBRS,,,
UBR1,,,
DDX5,,,
PACSIN2,,,
TMED4,,,
DPH7,,,
HOXA2,,,
TAFA3,,,
TLCD3A,,,
MPZL3,,,
POLR2H,,,
MILIP,,,
KDM5C,,,
ACADL,,,
MYH3,,,
ITGA7,,,
LRCH1,,,
KRR1,,,
MAPRE1,,,
EDA2R,,,
POP7,,,
TRPV2,,,
ZNF273,,,
GMIP,,,
HOXD8,,,
PHF12,,,
TRIP4,,,
MAN1A1,,,
HES1,,,
LSM5,,,
TMEM87A,,,
RP9P,,,
TMUB1,,,
ACAT1,,,
JPT1,,,
PPM1F,,,
CENPU,,,
ARHGAP27P1,,,
STAG3L2,,,
CASP5,,,
UBE2N,,,
LINC02693,,,
EWSR1,,,
ZNF8,,,
PDCL3P4,,,
MTRF1,,,
ICAM1,,,
ATN1,,,
NFATC2IP,,,
RBM8A,,,
SMPD4BP,,,
TRIM27,,,
PDCD4-AS1,,,
MAFG,,,
CHD1,,,
KMT2C,,,
TOM1L2,,,
PRPF38B,,,
USP42,,,
PLSCR1,,,
PHLDA1,,,
PWP1,,,
LDHD,,,
ZNF584,,,
MAX,,,
UNK,,,
TRIM33,,,
SUPT6H,,,
DGKQ,,,
CHCHD2,,,
MBD6,,,
PFKFB1,,,
IRS1,,,
EIF2D,,,
ZC3H14,,,
HNRNPC,,,
EYA4,,,
CTDNEP1,,,
TMEM154,,,
PFN1,,,
MSH5-SAPCD1,,,
HPS4,,,
PPOX,,,
IFT27,,,
ZCCHC4,,,
ZSCAN21,,,
DUSP14,,,
WBP1,,,
CAB39,,,
SAMD15,,,
AP1G2,,,
ATXN7L2,,,
IFI16,,,
HOXA-AS3,,,
DCLRE1C,,,
SCAND2P,,,
PUS7L,,,
ZSCAN30,,,
EFTUD2,,,
POU2F1,,,
PPIL2,,,
TADA1,,,
CDC37,,,
TTC38,,,
ENTPD7,,,
STAG3L4,,,
RFX7,,,
PRR7,,,
MROH6,,,
ZCCHC8,,,
DUSP4,,,
VPS45,,,
ASIC3,,,
RPUSD1,,,
LOC389834,,,
POLR2J4,,,
COQ8B,,,
UTP4,,,
LOC100128361,,,
EIF4G1,,,
CBX3,,,
ALKBH4,,,
NUDT15,,,
ALG5,,,
ABCF3,,,
TUBG2,,,
TEKT4P2,,,
ARHGAP31,,,
NKAP,,,
CNBP,,,
MGRN1,,,
AKR1C1,,,
DNM1L,,,
TMEM168,,,
NAA20,,,
IER2,,,
CYBC1,,,
GPR65,,,
E2F4,,,
TOP3B,,,
NME1,,,
C3orf33,,,
SCAMP5,,,
CHDH,,,
FLJ16779,,,
MEF2D,,,
NCBP3,,,
PALS2,,,
TSC2,,,
TMEM176B,,,
ATP6V0E1,,,
ZNF786,,,
BRSK1,,,
SLC25A13,,,
POFUT2,,,
ZBED3-AS1,,,
USF1,,,
ABCC1,,,
BORA,,,
CINP,,,
ALDH2,,,
NAA15,,,
CORO1C,,,
NADSYN1,,,
C15orf62,,,
TYK2,,,
ATOSB,,,
RPE,,,
CCDC115,,,
CLU,,,
CCNE2,,,
UBE2A,,,
PARL,,,
LRRC45,,,
DAZAP2,,,
CEP63,,,
PPP1CC,,,
HMGB1,,,
COX10-DT,,,
HIP1,,,
ZNHIT1,,,
MRPL10,,,
ATP10B,,,
INTS1,,,
RFC3,,,
DIS3L,,,
SLC26A10P,,,
CCDC137,,,
RNF4,,,
FOXD2,,,
TTLL5,,,
CHAMP1,,,
GPR180,,,
CCL23,,,
TMEM229B,,,
ZSWIM8,,,
SND1,,,
RTF1,,,
UTP6,,,
USP10,,,
ZKSCAN8,,,
TIMM23,,,
WDR26,,,
CENATAC,,,
MTF1,,,
FBXO45,,,
SDHAP1,,,
HAAO,,,
NDUFAF5,,,
FCRL6,,,
LINC01061,,,
RSBN1L,,,
AFAP1,,,
TRMU,,,
