TSTD3,HSPB3,HMSD,BEX2,AKAP5,RCC2,PUM2,SARNP,PITHD1,,,,,LINC00324,,ACKR1,,NCOA5,IKZF3,ARHGAP19,,,,,TNFRSF13B,
ARR3,SPSB1,TIGIT,LINC00479,GNMT,METTL5,BEND4,FTL,CDH17,,,,,ZBTB25,,GTF2E1,,LNPEP,RASL11A,DNAAF10,,,,,CD19,
LINC01405,CAND2,ILDR1,PLA1A,TMEM71,MFSD1,MRFAP1,VTN,IL9R,,,,,NOSIP,,DYDC2,,CGAS,FCAMR,OR10A4,,,,,GTSF1L,
EEF1A1P11,SOX4,CD8B,WIPF3,ZFAND2B,TERF1,PDE6B,ECE1,UBE4A,,,,,ZNF136,,STRADA,,WDFY4,IL23A,RNF17,,,,,HDAC1,
RPL38,CDKL3,TTC24,MSMP,UBD,MEAF6,POU2F2,PLEKHS1,RPLP2,,,,,USPL1,,TUBB2A,,PVRIG,PTMA,HAPLN3,,,,,IRAG2,
LINC00426,LINC03124,NLRC5,IL13RA2,VPREB1,GLIS1,DYRK1A,ADORA2A,LEMD3,,,,,RINL,,,,FRAT1,FCRL4,,,,,,IKZF1,
LINC00427,GRAMD4,LINC00954,ITGB8,IDO2,FAM98B,UBE2D3,ZRANB1,RPL9,,,,,OSTF1,,,,VSIR,AFTPH,,,,,,LCK,
BARX1,DNM3,STEAP1B-AS1,COX8C,NOL12,DCAKD,APOBEC3D,C1QTNF4,GHRL,,,,,KLHDC4,,,,LTB,RPS6,,,,,,RASGRP2,
LINC01400,NT5E,CCR4,NRAD1,SNORD16,HCG18,CAP1,MYSM1,RPL36A,,,,,ANKRD12,,,,REPIN1,MRFAP1L1,,,,,,CD6,
ANK1,CFAP96,ALOX15P1,NPFFR2,ART4,PHKA2,CAPZA1,CACNG8,TTC16,,,,,IRF3,,,,FAM135B,INPP5D,,,,,,ANKRD13A,
RPL24P4,SLC3A2,SH2B2,GRIA2,RUSF1,ANXA6,ZNF665,CEMIP,CLNK,,,,,APOBEC3F,,,,IL7R,CDX1,,,,,,BLK,
EEF1A1P19,MYOZ3,LINC01547,B4GALT7,AMY2A,MFN2,C1RL-AS1,IPMK,JPH2,,,,,MITD1,,,,SRP19,USP7,,,,,,TRAF3IP3,
LINC00313,TFAP2E,ZNF737,TM4SF19,NAT9,SLC17A7,ADAR,CYP2R1,WDR38,,,,,ZNF169,,,,LAT,PPP1CC,,,,,,CD247,
SLC6A12-AS1,NMNAT1,IL21,FCN1,EMC4,VGLL4,HMGB1,PIP5K1A,TNFSF11,,,,,ZNF383,,,,ZNF236,RPL13A,,,,,,GAPT,
LINC02347,LAMB4,MIR548AN,RTL10,VILL,TFG,C12orf42,GP6,AIRE,,,,,BCDIN3D,,,,DEF6,RPS27,,,,,,NIBAN3,
BEST4,OR7G1,UNC13D,NME8,KRT36,PWWP3A,LINC01550,SKI,C5orf15,,,,,UBA7,,,,ZNF831,SMIM14,,,,,,BTLA,
B3GNT4,H2AC17,LOC100652768,LINC00272,ECHDC2,SEC61A2,TESPA1,GRIN2C,RAB3GAP1,,,,,ANAPC2,,,,PGGT1B,CARD11,,,,,,SPOCK2,
HMGB1P6,SCN1A,ZNF821,MRTO4,FASLG,DCAF11,MDS2,TICRR,MYL12B,,,,,MED11,,,,BASP1,IL21R,,,,,,CR2,
EEF1A1P5,PLIN2,LINC02591,NLGN4X,TAP2,TMEM191C,S1PR1,FEV,SNORA64,,,,,TARP,,,,CHIC2,RPS3A,,,,,,RCSD1,
EEF1A1P6,SATB2,DEF8,MCM2,SIK1,STRADB,GRAP,LMAN2L,RPLP1,,,,,PDCL3P4,,,,MAML1,TNFRSF13C,,,,,,RAPGEF6,
SLC13A5,TBX2,CENPC,SEPTIN7P11,CHCHD4,SMPD4,KDM4B,LPXN,FHIP2A,,,,,CYP27B1,,,,ROCK1,PAN3,,,,,,PASK,
ALX4,FABP3,CLDN16,CT47A6,MOGS,SDHA,TMEM102,SLC25A24,CPA5,,,,,BLOC1S4,,,,PRKAB1,ZNF407,,,,,,CD22,
SNORA31,ADIRF-AS1,SEMA4A,PAGE5,U2AF1L4,SARS1,TCF7,C8orf34,SRP14,,,,,STX18,,,,ATG12,RPL4,,,,,,FOXO1,
ESX1,H2BC4,LINC00892,SMIM43,PAIP2B,LEAP2,ATF7IP,MKNK1,GPR55,,,,,CRTC2,,,,ZNF564,BIRC6,,,,,,HNRNPM,
RPL23AP74,FARP1,PSMB8-AS1,NUPR2,SNORA7B,B4GALT4,SERPINA9,CCL22,VPS4B,,,,,RMND5B,,,,IL27RA,SYT15,,,,,,ACAP1,
EEF1A1P13,NREP,USP30-AS1,SRPX2,HACL1,GPR107,MADCAM1,NMT2,SARAF,,,,,CD1E,,,,HNRNPAB,TRANK1,,,,,,ADAM28,
SH3GL1P1,PNLIPRP2,SYNE1,NYX,COL5A1,RPL23AP32,MBD2,CC2D1A,NSUN2,,,,,ELL,,,,RBM19,CHST4,,,,,,ARHGAP9,
OR6W1P,DHRS3,ZNF551,ATP6V0E2,ITIH3,ULK1,NOP14-AS1,AMZ1,TOMM7,,,,,CTSH,,,,TMEM248,CNOT11,,,,,,CD7,
LINC03103,PEG10,FAM110A,DAW1,GAS8-AS1,HPRT1,ARPC2,FRG1BP,RHOF,,,,,ZNF76,,,,THOC3,KCNA3,,,,,,ZNF207,
AKAIN1,GUCA1A,ZNF211,LAMB3,SNORD14B,UBE2W,JUND,CLDN9,RPS17,,,,,FAM193B,,,,CD52,YWHAB,,,,,,RASAL3,
RPL23AP42,KLK4,ZNF41,C12orf56,HLA-DRB4,TRIO,RNASET2,CDYL2,EXOC3L4,,,,,MTA2,,,,SEMA7A,ATP2A3,,,,,,SIPA1,
RPL23AP65,AACS,TAPT1-AS1,GNGT1,RNASEH1,ADIG,TMIGD2,PAQR7,SACM1L,,,,,CXXC1,,,,CD48,TRIP12,,,,,,DENND1C,
SERPINF2,KIRREL2,LINC03034,EWSAT1,TMED6,SH2B3,PPIA,TAF13,AKAP4,,,,,DELE1,,,,TGIF2,GCSAM,,,,,,GPR18,
SNORA3A,SEMA3A,VPS51,MCTP1,TRMT11,APC,MTMR1,RFC5,NKAPL,,,,,TSPAN32,,,,PRPF31,DDX5,,,,,,SP140,
VIL1,HCN1,ZBTB6,CXCL1,KTI12,PHF20L1,CTBP1-DT,HTR1F,CNTNAP2,,,,,SSBP2,,,,MMP12,KEL,,,,,,TBC1D10C,
CARD11-AS1,FAM50A,MIR4645,HTN3,EDEM2,FAM53C,LRRC72,DBIL5P2,SSR1,,,,,NSUN5,,,,TCERG1L,BACH2,,,,,,AKAP13,
OSTCP1,TNFRSF14,ARID5A,MAEL,ARHGAP24,SLC25A25,SPN,CPNE1,TRIT1,,,,,RNASE6,,,,,PTPN7,,,,,,CORO1A,
RPL23AP2,SETMAR,TNIP2,ZIC3,OXSM,CZIB,HNRNPA1,IL1A,SRSF11,,,,,ZNF256,,,,,RPSA,,,,,,COLQ,
MTMR8,EN2,LOC100130744,TDRD9,SEC22A,RHOU,SNAP91,TRAF1,UBP1,,,,,GPA33,,,,,PIAS1,,,,,,S1PR4,
PRKAR1AP1,NFIL3,RUFY4,MAG,WNT7A,ABL1,NUB1,CCL17,SLC38A2,,,,,DKFZP586I1420,,,,,USP44,,,,,,KBTBD8,
LINC00628,SLC45A2,TRG-AS1,CIDEC,PREB,ECT2,BRF1,PWWP3B,RAB10,,,,,ITGAD,,,,,SSH2,,,,,,PPP1R16B,
SCTR-AS1,PPFIA4,CCDC65,CSPG5,SYTL3,RPAP2,PTP4A2,SCAMP1,RASGRP3,,,,,ATF7IP2,,,,,DOCK8,,,,,,ICAM2,
C10orf71,FAIM,UNC93B1,OR8G5,SLC23A1,H1-2,PAX5,MANSC1,CARNS1,,,,,DCTN5,,,,,FAM117B,,,,,,SLAMF6,
PCGEM1,TMEM100,ZSWIM3,FAM86EP,OVGP1,,DCLRE1C,PURG,RPL35A,,,,,FAM193A,,,,,SP4,,,,,,HLA-DOB,
LINC01737,ADCY1,ZBTB49,OR56B4,GTF2H1,,CASC3,ZDHHC14,SERBP1,,,,,DHX38,,,,,RPL19,,,,,,GVINP1,
HMGN2P17,FAM178B,CERKL,PYROXD2,PAN2,,GTF2I,MIIP,EIF3L,,,,,ZNF557,,,,,RPS2,,,,,,PIK3IP1,
HMGN2P41,BMP4,LOC728743,TAAR9,SEC11C,,ZC3H4,BOD1,WDR44,,,,,ABTB1,,,,,TREML2,,,,,,SP140L,
HMGN2P5,TWIST2,SNAI3,ATOH8,LOC645188,,FGD2,SSRP1,USP9X,,,,,TSEN54,,,,,LCNL1,,,,,,RAC2,
HMGN2P6,SPDYE6,ZNF429,FOXN1,NR3C2,,KLRG1,HOXC4,NARS1,,,,,TMEM175,,,,,MYO1G,,,,,,ANKRD29,
HMGN2P7,HOXB3,PLCB2,GLRB,TAMALIN,,TMEM156,IQCG,FAM170B,,,,,CCDC191,,,,,RHOH,,,,,,ZNF791,
HEXA-AS1,RAB3IL1,TTC12,ODAM,DTHD1,,WDR6,POC1B,PCNP,,,,,SEC24C,,,,,PLD4,,,,,,THADA,
VWA8-AS1,PLA2G2A,PATL2,BEX4,CHP1,,MALAT1,CDK7,SNX18,,,,,CACNA2D3,,,,,PARP15,,,,,,RNF44,
FLNB-AS1,EFCAB7,PMS2P1,INKA2,TCTA,,TSSK4,ARL17A,NAPSA,,,,,ELP5,,,,,HECA,,,,,,MFNG,
GPR88,STXBP1,ZNF227,RFX8,HINT2,,CTCF,IPPK,IL3RA,,,,,PSMB10,,,,,DAZAP1,,,,,,RNF41,
TPM3P8,TENM3,HCG26,LRRC74B,HLA-DQB1,,LCOR,PPIL4,TRIM8,,,,,CXorf65,,,,,P2RX1,,,,,,MTRFR,
LINC02619,PHACTR1,ALKBH1,CHRM3,PPIP5K1,,PPM1B,DOK4,RPS18,,,,,CTSW,,,,,RPL6,,,,,,TSPAN33,
STARD7,CSRP2,HNRNPA1L2,PLEKHD1,TIPARP-AS1,,ARF6,LIF,RPL13AP6,,,,,PIGG,,,,,STK4,,,,,,HCLS1,
LINC02555,HAPLN1,CASS4,TMEM235,CC2D1B,,SCAF8,EDN3,STAB2,,,,,TAF12,,,,,UHRF2,,,,,,TNF,
HSF5,RGS16,NKAPP1,TSPYL5,ADRB2,,LNROP,USP53,ZNF248,,,,,AMN1,,,,,PLCG2,,,,,,CCND3,
ZFHX2,TENM3-AS1,ZNF525,ELOVL4,DUSP11,,ZNF490,PDE8B,ZBTB4,,,,,PLPP6,,,,,TIMD4,,,,,,PAPLN,
RPL21P1,HMG20B,MIXL1,DNASE2B,FCSK,,CCNI,ITGA6,FOXJ2,,,,,CCDC28A,,,,,RPL10A,,,,,,KANSL2,
RPL21P11,LAMA4,ZFP14,UGT8,SPRN,,GPR174,RADX,NCOA4,,,,,LOC374443,,,,,RPS16,,,,,,IRF8,
RPL21P119,LOC730668,DDX28,WDR45,KRTCAP2,,FCRL1,ZNF385D,CMPK1,,,,,TUSC2,,,,,GRAP2,,,,,,NCF1,
RPL21P16,ADGRB3,MARK2,VAV3,CREB3,,PTBP1,TRMU,SKP1,,,,,RIPK3,,,,,BUB3,,,,,,PTPRCAP,
RPL21P28,NKX3-2,TSPOAP1,LINC01091,ACYP2,,SH2D3C,GALNT13,MTMR4,,,,,LSM10,,,,,ANAPC16,,,,,,FBL,
RPL21P53,TMEM170B,LOC729683,FBXO48,AGA,,LINC00174,ZNF544,RNF20,,,,,MRPL54,,,,,ARHGEF18,,,,,,MAP4K1,
RPL21P75,HMGXB3,SIMC1P1,STOX2,PADI4,,CRLF3,CD55,ANKHD1,,,,,FBXO8,,,,,CDC42SE1,,,,,,CD3G,
RPL21P80,STOX1,ZNF763,IFNA14,KLK14,,RPL34,KAT2B,HSD17B4,,,,,DUSP2,,,,,MARF1,,,,,,GLE1,
RPL21P93,RCN3,PMS2P5,SFRP4,LRP2,,TRAV8-6,CCDC71L,IQSEC1,,,,,SSNA1,,,,,CETP,,,,,,FDCSP,
RPL21P97,SELENOT,MIR3142,GPX8,MIEN1,,SPIC,LRRC8C,TUBA1B,,,,,ELOF1,,,,,SNX29,,,,,,ITK,
SNORA27,LRRC39,ZBED10P,S100B,COX14,,ACTB,ACP4,PUM1,,,,,MAPRE2,,,,,CLEC4C,,,,,,TRMO,
LINC02763,FCRLA,GIN1,PEX11A,LDLRAD1,,NCOR1,HEXIM1,TBC1D15,,,,,SPOUT1,,,,,HSH2D,,,,,,SGSM3,
CLCA3P,CCDC140,ZNF573,LOXL3,KDM5D,,SIGLEC6,,INTS2,,,,,ACTR1B,,,,,ZNF80,,,,,,PIK3CG,
HMGB1P10,CFAP90,ZNF655,WNT1,CDRT15P3,,TRAV12-2,,STX12,,,,,CCDC115,,,,,ZBTB14,,,,,,MIAT,
UGT2A1,SNORD18B,LOC100129034,SLC25A51P1,KCNMB3,,POLR2B,,EFCAB14,,,,,TBCC,,,,,RPS23,,,,,,POU2AF1,
UGT2A2,CRHR2,INO80E,SPATA31F2P,LTO1,,RPL5,,PKHD1L1,,,,,IRF1,,,,,MATR3,,,,,,KRT72,
IGF2-AS,LINC02291,HAUS3,SRGN,DLL4,,PPP1R8,,AGMAT,,,,,UPF3A,,,,,ACTR3,,,,,,CXCL13,
PRSS1,HOMER2,MAP2K4,TP73,TMEM208,,TRAV9-2,,RPS3,,,,,RHOT2,,,,,RGS9,,,,,,CD2,
HMGN2P3,ARPP21,RIC3,DHX40,XKR8,,USP34,,OAZ1,,,,,ZSCAN16,,,,,SUDS3,,,,,,CCL19,
YWHAG,HOXC10,CTLA4,CTBS,NDUFB7,,MAT2B,,RPL27A,,,,,PSMB9,,,,,CDKN1B,,,,,,,
CYCSP19,DIPK1C,LINGO1,ZKSCAN2,SLC41A3,,MKRN1,,SMAD3,,,,,RBM23,,,,,YPEL5,,,,,,,
LACRT,SLC7A5,ZNF417,SULT2A1,LIG1,,UBASH3A,,DBT,,,,,TRMT10A,,,,,TIFA,,,,,,,
EEF1A1P9,SUPT3H,ZNF862,MAFIP,TSBP1,,KAT6A,,LYN,,,,,SLC6A16,,,,,TAGAP,,,,,,,
GP5,CNTNAP1,ZNF480,IFI44L,FAM209B,,MAP3K1,,F7,,,,,STK16,,,,,GIMAP1,,,,,,,
UCN3,SCG2,ABCA11P,DEFB103B,SHPRH,,RPS24,,UNC50,,,,,EML3,,,,,FCHO1,,,,,,,
CYCSP33,AK2,AIP,MMP3,LINC02145,,ARPC3,,TMA7,,,,,SCLT1,,,,,TBC1D1,,,,,,,
LINC03032,TIMM9,SPDYE3,STXBP4,CX3CL1,,ANKRD55,,COQ10B,,,,,ZNF137P,,,,,HEATR5B,,,,,,,
TEX35,MORC1,SLFN13,HTR7P1,CPZ,,TOR4A,,RERE,,,,,EIF3G,,,,,HTR3A,,,,,,,
LAPTM4A,FBN2,LINC02067,IRAK3,DNAJC1,,DNASE1L3,,UBQLN1,,,,,TRAF2,,,,,RPL7,,,,,,,
RPL32P16,RNF148,ABT1,HOXB13,ZNF419,,TRAV13-2,,ZNHIT6,,,,,DNAJC17,,,,,CDK13,,,,,,,
RPL32P18,FAM218A,TFEC,EFHC2,HAGH,,SUMO2,,HUWE1,,,,,IL18,,,,,RASSF5,,,,,,,
SNORA7A,SLC1A7,FBXL12,XRRA1,CIR1,,ZFP36L2,,MBL1P,,,,,NLE1,,,,,NGLY1,,,,,,,
SLC51B,BEX3,ZNF571,HMGCL,BST2,,OSBPL11,,SRP54,,,,,NAA80,,,,,DRAM2,,,,,,,
DOCK8-AS1,NAPRT,MIR3916,MAGEB2,ANKDD1A,,WAC,,XYLT2,,,,,PRPS1,,,,,LILRA4,,,,,,,
RPL39P3,TBC1D31,INTS15,CDH12,STAT5A,,VAV2,,VEZF1,,,,,TRMT1,,,,,NEK8,,,,,,,
SNORA69,SLC25A21-AS1,BET1L,NCAM2,MMAA,,EPM2AIP1,,PSME4,,,,,ZNF782,,,,,NRDC,,,,,,,
RPL13AP20,IL1R2,MYPOP,CDIPTOSP,C16orf86,,IRF2BP1,,COMMD1,,,,,TRAPPC1,,,,,IL22RA2,,,,,,,
RPS27AP16,GSTM4,EVI2A,ESYT3,ATRAID,,VPS13C,,SEC62,,,,,EDF1,,,,,RAB37,,,,,,,
LINC02237,RILPL1,PLCH2,CADM4,BTN3A2,,SRSF9,,VMA21,,,,,MRRF,,,,,SAMD10,,,,,,,
PDE6C,ANKRD9,ZNF818P,TNFSF4,PLAAT4,,PATZ1,,SPCS1,,,,,RPUSD2,,,,,CASP10,,,,,,,
TRAV36DV7,MAP3K6,GPR65,MAGEB6,PAAF1,,TCF3,,RPL8,,,,,COG4,,,,,DAP3,,,,,,,
HSPD1P21,DACT3,HARS2,TFB1M,TAMM41,,RBM39,,ASXL2,,,,,SH3TC1,,,,,RPL15,,,,,,,
WFDC6,UNK,ZNF527,SOSTDC1,SNORD21,,NPHS1,,TOPBP1,,,,,NRDE2,,,,,LY9,,,,,,,
SCNN1G,CXCL14,SRCAP,LAMA3,OR10H1,,NADK,,GORASP2,,,,,STAG3L2,,,,,NCOA3,,,,,,,
CNGB1,MICU3,ZNF600,VSTM5,UQCRQ,,EEF2,,BRK1,,,,,REXO4,,,,,P2RY10,,,,,,,
LINC02551,NKX6-1,MIR3667HG,THAP3,ASCC2,,KDM2A,,SLC45A3,,,,,LAS1L,,,,,PACSIN1,,,,,,,
TRAV8-1,SH3RF2,TLR1,IFI6,NPPB,,RPL11,,USP39,,,,,SELENOO,,,,,PRKCB,,,,,,,
HMGN1P36,ASAP1-IT1,ZNF304,ARHGEF37,FRZB,,PHF8,,VPS36,,,,,ZNHIT3,,,,,U2AF2,,,,,,,
TNP2,RBPMS2,RPL23AP64,FTMT,NDUFB6,,SON,,PPP4R3B,,,,,KATNB1,,,,,MRPS27,,,,,,,
LINC01677,MRPL3,LSM8,FCER1G,KIAA0319L,,MED26,,TP53INP1,,,,,PQBP1,,,,,ADD1,,,,,,,
GLRA3,BBS12,KIAA1549L,TBXAS1,COL5A2,,MGAT3,,PSMB1,,,,,TMEM183A,,,,,VCF1,,,,,,,
PARP11-AS1,HPSE,BORA,CA7,FLAD1,,FAM30A,,AFF4,,,,,HLA-F,,,,,APBB1IP,,,,,,,
LIX1,SNX16,ZNF414,PDIA3P1,H2AC14,,SSTR3,,PCDHA6,,,,,KAT5,,,,,GPR132,,,,,,,
ZFAND6,GJA10,SURF6,LINC00839,SMIM26,,FBXL17,,ZNF451,,,,,TRAP1,,,,,USP3,,,,,,,
ZFAND6P1,PRG4,SNORA13,LRRC74A,PABPC4,,CHERP,,KDM8,,,,,RAD50,,,,,WAS,,,,,,,
UGT2A3,FBXO16,ZNF845,CYP4A11,TRAPPC2L,,YY1,,NPIPB13,,,,,ZNF407-AS1,,,,,LYRM1,,,,,,,
IGHV5-51,IL20RB,ASB16,PPP1R42,KPNA7,,UBE3A,,OARD1,,,,,BEX5,,,,,FLI1,,,,,,,
NOL4,H2AC20,PUS3,ZDHHC15,DPPA4,,KLHL11,,GPR160,,,,,RNF113A,,,,,NFKB2,,,,,,,
ADRA1A,LOC344967,MXD4,RIPK4,SPINT4,,LINC00926,,ZMYM4,,,,,MCM5,,,,,ACY3,,,,,,,
RPL22P1,LINC03006,CD38,SPMIP1,MRPS7,,HNRNPK,,AKAP7,,,,,COP1,,,,,DAPP1,,,,,,,
RPS13,AATBC,ZNF718,PAPOLB,PGR,,HNRNPUL1,,GCLC,,,,,LCMT2,,,,,FCRL3,,,,,,,
RPS13P2,STMN1,FNDC8,CREB3L1,PPM1M,,ZNF816,,GRSF1,,,,,SFT2D3,,,,,NOP14,,,,,,,
PPIAP22,RARRES1,GRPEL1,TMEM176A,PYGM,,R3HDM1,,RPS7,,,,,RELCH,,,,,CCND2,,,,,,,
PPIAP29,EPHA2,LAMTOR3,TNFSF13B,PDCD1,,CD79B,,NIPA2,,,,,ATP6V1G1,,,,,RNF38,,,,,,,
PPIAP31,FBLN2,EPHA1,PRAME,NMT1,,ZFP36L1,,YTHDF2,,,,,C15orf40,,,,,CR1,,,,,,,
DDX53,PIGM,FBXW5,NTNG1,PTRHD1,,CYTH1,,FOXN2,,,,,TMEM35B,,,,,SLC26A7,,,,,,,
DMC1,IGF2BP2,ADA,VIT,RNF181,,RPRD2,,TAPBP,,,,,PDHB,,,,,GGNBP2,,,,,,,
SNORA10,CCN3,ZNF85,OAZ3,COASY,,HMGN3,,SMG1P2,,,,,ERMARD,,,,,BCAS4,,,,,,,
ZFP42,H3C4,ZNF738,LINC00944,ZNF684,,ANP32B,,FAM133B,,,,,NHP2,,,,,FOXF1,,,,,,,
SHANK2-AS3,LRRTM1,EP400P1,GTF2IP20,GLT1D1,,SET,,RAB21,,,,,HCST,,,,,SYF2,,,,,,,
SLC45A1,MOCS2-DT,TMCO6,MMS22L,ALG5,,UBR2,,UBXN4,,,,,NDUFV1,,,,,RPS27A,,,,,,,
TLX1NB,CSRNP3,COX7B2,PRSS59P,SLC6A13,,RPL3,,GIGYF2,,,,,ZNF142,,,,,EVL,,,,,,,
H1-4,ZNF233,LOC100289230,C11orf96,CDNF,,PBX4,,GRM2,,,,,TUFM,,,,,MAP4K2,,,,,,,
GPR45,TFCP2L1,DPH7,LRRC49,OR6K2,,STAT5B,,PSMA4,,,,,FBXO4,,,,,SRSF1,,,,,,,
MIR934,PPIEL,POLR1H,PDLIM4,MRPL23,,AGAP2,,MAP2K3,,,,,GMPPB,,,,,GOLGA2P5,,,,,,,
LIPJ,MTFP1,ZNF682,KRTAP12-2,PGBD3,,TNFRSF18,,SNHG5,,,,,AAAS,,,,,EIF4B,,,,,,,
PIK3CA-DT,PCDH20,ZNF646,GK2,PER1,,ABCD2,,SLC35F3,,,,,GPATCH3,,,,,OTULIN,,,,,,,
ADGB,TMEM67,MGC12916,PNMA2,PSMD10,,CNOT6L,,SSR4,,,,,LMTK2,,,,,SUSD3,,,,,,,
SPMAP1,PWP2,ASB16-AS1,REG4,PTGDR2,,TNRC6A,,LRPPRC,,,,,POLRMT,,,,,ETS1,,,,,,,
PTMAP5,DUXA,KLHDC1,HCRT,PTGS2,,LIX1L,,POLDIP3,,,,,MGC70870,,,,,BICRAL,,,,,,,
FENDRR,TRIM63,ZNF543,MAGEA4,PRORSD1P,,KDM5A,,SLMAP,,,,,LIAS,,,,,TARDBP,,,,,,,
TBX10,INSYN2A,PCNX3,MX1,VPS28,,ORC2,,RBSN,,,,,CEP192,,,,,SYVN1,,,,,,,
RAX2,MAL2,SLC24A4,FZD1,PRSS48,,SYNRG,,GOLGA3,,,,,PRPF8,,,,,SIN3A,,,,,,,
TAFA4,TBC1D2,LASP1NB,MYCN,SIGLEC9,,PHF21A,,MTMR3,,,,,CYB561D2,,,,,U2AF1,,,,,,,
RPL5P34,OR52J3,PPA2,OR6C65,NSRP1,,HNRNPD,,NSUN6,,,,,UBL7,,,,,HNRNPH3,,,,,,,
PPIAP11,ITGA2,MRM3,PCDH15,PDCL3,,ABHD17B,,TOP2B,,,,,SNORD4A,,,,,USF3,,,,,,,
LINC00507,C1QTNF12,TRIM13,KIF2C,RAMP1,,PNRC2,,TCL6,,,,,BABAM1,,,,,VPS4A,,,,,,,
CFC1,TBC1D16,RPP25L,OR2W5P,TMCO4,,BTF3,,DENND6A,,,,,FUT4,,,,,CTBP1,,,,,,,
CFC1B,RRH,ATP13A1,DKK3,TBX4,,BCL10,,COA5,,,,,MLST8,,,,,HNRNPDL,,,,,,,
BTF3P11,MIR1271,THOC6,SPACA7,SELENOI,,CNTRL,,TRIM33,,,,,APOL3,,,,,DCK,,,,,,,
