VIPR2,HPN-AS1,PTOV1-AS1,EMC6,SNRPGP8,PHF12,SLC30A4,SRSF11,,,EXOC7,,,POLR2F,,,,SECTM1,,,,,,,
LINC02994,EOLA2,KCTD12,PDZRN4,COX7BP6,RB1,AAK1,UXS1,,,C8B,,,SAP18,,,,CABLES1,,,,,,,
H2BC3,LCMT1,THNSL2,BPIFB6,RNU6-27P,CHSY1,RPL10A,PCDHAC2,,,C12orf43,,,SRP72,,,,ZNF225,,,,,,,
RNF215,CARD14,ODF2L,GPR35,RNU2-31P,PIAS1,RPS10,TNS3,,,SMAD4,,,RP9,,,,RAB9A,,,,,,,
GOLGA6A,SIRT7,CDK7,MUC7,VPS51P4,VPS13C,JAG1,PLEKHS1,,,RADX,,,RNF114,,,,MIR1238,,,,,,,
GOLGA6B,PML,SGSM2,PDGFC,GREM1-AS1,PTP4A2,BCORL1,IBTK,,,TREM1,,,ANKDD1A,,,,MRPL37,,,,,,,
GOLGA6C,ANGEL1,BCAN,CCR1,PLA2G10IP,HIF1A,SHC4,BVES,,,FCGR3B,,,SEC23B,,,,EYA1,,,,,,,
GOLGA6D,CWC25,FNBP4,NXPH4,MIR1278,UBE2D3,RPS18,IFNAR2,,,BST1,,,PLRG1,,,,IGF2BP2-AS1,,,,,,,
FGF13-AS1,YKT6,TBX2,KCNIP3,MT-RNR1,TGFBR1,PDRG1,ANAPC10,,,MCEMP1,,,GZF1,,,,NARS2,,,,,,,
VWA8-AS1,ADIPOR1,SFTPC,RNF183,RNU4ATAC13P,DDC,RASA1,PPFIBP1,,,CEP95,,,MLXIP,,,,TUBB6,,,,,,,
SLC10A2,MAP2K4,FAM3A,A4GNT,MIR3919,NUB1,CSPG5,BNIP3L,,,TNFAIP6,,,GTF2A2,,,,DDIT4L,,,,,,,
LINC02901,PMS2CL,SLC7A10,PLAC9P1,OR13C6P,SULT2A1,BRI3BP,DENND10,,,LINC00115,,,CHCHD2,,,,TAF4B,,,,,,,
ZFAND6,N4BP1,TMEM237,ZNF615,RN7SL592P,FLCN,KCNMB4,KCNAB1,,,A1CF,,,,,,,C2orf49,,,,,,,
ZFAND6P1,CC2D1A,ENSA,SGSM1,RNVU1-26,ITGB1BP2,CTNNA1,PDE8A,,,ORC4,,,,,,,PVRIG,,,,,,,
LINC02853,NHLRC3,ZBTB8A,CROCCP2,RNY4P20,RAB28,MARCHF6,TAS2R14,,,IFNGR1,,,,,,,OR1S1,,,,,,,
DNAAF8,BUD31,FAM117B,MGARP,ATP5MFP3,TXNDC12,DERL1,PREPL,,,NSRP1,,,,,,,CSMD1,,,,,,,
PRSS3P3,ZNF598,RAB11FIP1,ADPRM,SMSP1,SCYL2,RHOQ,VENTX,,,RLIG1,,,,,,,DPH3P1,,,,,,,
NLRP8,SLC35A2,LRRC49,TENM3-AS1,RN7SL57P,TRIP12,PIP5K1B,RECQL,,,TMEM182,,,,,,,TMEM38A,,,,,,,
SCTR-AS1,GET4,GPR12,TM2D2,RNU6-626P,PTGES3,TP53INP2,LINC00290,,,BTG1,,,,,,,ENO1,,,,,,,
PSORS1C1,RABGEF1,REXO5,ALOX5AP,RN7SL20P,HLMR1,RAP2B,RAB33B,,,YAE1,,,,,,,SLC2A6,,,,,,,
LEFTY1,SSBP1,PPEF1,CLN8,RN7SL392P,NUFIP2,,THBS2,,,USP38,,,,,,,GUCA1A,,,,,,,
LINC02450,SLC12A9,NOTCH2NLA,DNAJC24,MIR4686,CAPZA2,,EPC2,,,WSB1,,,,,,,RNF148,,,,,,,
GP2,MRPS31P5,MGLL,MAP3K8,MT-RNR2,CNOT11,,PPP4R3B,,,AGMAT,,,,,,,TIMP1,,,,,,,
LINC02573,ZC3HC1,BLCAP,GTF2E2,RNU6-1089P,SMIM10L1,,C1orf52,,,UGT3A1,,,,,,,PLXNB1,,,,,,,
HMGB1P10,TMEM11,TBC1D25,TEKT1,HMGN2P11,RELL1,,IFNAR1,,,CFHR1,,,,,,,ANKRD22,,,,,,,
ALOX12P2,EXOSC9,TUBB2A,BBS7,CFAP144P2,F9,,ZBTB4,,,CASK,,,,,,,SESN2,,,,,,,
HMGN2,ZNF746,BIRC7,ADGRE3,RN7SKP71,IER3IP1,,METTL25,,,TLR2,,,,,,,C11orf42,,,,,,,
HMGN2P17,NDEL1,SAC3D1,GNB1,TMEM256P1,BMT2,,SRRM1,,,POLR2C,,,,,,,ATP7A,,,,,,,
HMGN2P41,ADAM15,CKAP5,GAB3,RN7SL517P,HYCC2,,ZNF559,,,,,,,,,,KCNJ6,,,,,,,
HMGN2P5,NPLOC4,RGS11,CSMD2,SPRYD7P1,SRSF9,,PMP22,,,,,,,,,,CD200,,,,,,,
HMGN2P6,ZNF655,TRPM1,PAX6-AS1,WNT5A-AS1,NCOA5,,HS2ST1,,,,,,,,,,GLRX2,,,,,,,
HMGN2P7,MCTS1,RPL23,CCDC148,SREK1IP1P1,TNFRSF10C,,KIAA2013,,,,,,,,,,SZRD1,,,,,,,
RPL23AP74,AFG3L1P,RANGAP1,GPR17,RN7SL585P,MKRN1,,RANBP2,,,,,,,,,,STX11,,,,,,,
EPHA6,FARP2,ACTC1,ACADVL,RNA5-8SP2,ARHGAP5,,SGCB,,,,,,,,,,UCN,,,,,,,
LINC02555,NFKB2,RPL23AP32,HTR2A,RN7SL123P,RUNDC1,,TAF1,,,,,,,,,,C17orf107,,,,,,,
LKAAEAR1,CCP110,HSPA4,INSYN2A,RNU1-89P,RAC1,,MEF2C,,,,,,,,,,GJD3,,,,,,,
OR3A1,INTS15,OLFML1,BRF2,TMEM97P2,SKAP2,,ZNF596,,,,,,,,,,AACS,,,,,,,
CASC6,SMTNL1,RPL7A,ZNF546,LINC02006,DAP3,,RBM11,,,,,,,,,,SWI5,,,,,,,
P2RY2,MICALL2,AP3B1,RNF128,RNU6-1336P,YWHAB,,MAP6,,,,,,,,,,ATP5IF1,,,,,,,
SYNPR-AS1,LOC100233156,GLOD5,LINC01094,MIR4439,MALAT1,,PLOD1,,,,,,,,,,SPINK1,,,,,,,
LINC01220,USB1,PLCZ1,TRAM1L1,MIR4762,SLC24A1,,DDOST,,,,,,,,,,CHRNA4,,,,,,,
LINC01785,DUS4L,ATP8B2,CEP112,ACTBP16,IPO8,,MTRES1,,,,,,,,,,TMEM117,,,,,,,
CELA3B,OR2L13,NIBAN1,DNAAF11,RN7SKP258,XPOT,,GPR83,,,,,,,,,,LCP2,,,,,,,
RPL23A,SNORA81,TSG101,PRMT9,MEMO1P3,GSPT1,,MTMR9,,,,,,,,,,FOXG1,,,,,,,
RPL23AP42,PLEKHO2,WT1-AS,ELMOD2,RNA5SP162,MAU2,,INTS10,,,,,,,,,,CBLN1,,,,,,,
RPL23AP65,IL27RA,IGSF9,ZNF222,CDC42P7,NIPA2,,TFF2,,,,,,,,,,PTTG3P,,,,,,,
TEDC2-AS1,HNRNPA1L2,NBPF9,DIAPH2,RNA5SP531,PDS5B,,NOL11,,,,,,,,,,RAB20,,,,,,,
LSM14A,AMN1,GTF2IP20,ZNF594,RN7SL254P,FGD4,,RCVRN,,,,,,,,,,CNN2,,,,,,,
LGALS8-AS1,WDR90,GOLGB1,NLRP12,SMILR,BAZ1B,,AQP7P3,,,,,,,,,,C2orf68,,,,,,,
C19orf47,TMEM63A,EPS8L1,IFI44,OR10Y1P,IDH1,,MTR,,,,,,,,,,MIR361,,,,,,,
RPL23AP2,SHTN1,PPP1R7,GALR1,MIR3689F,POLR2B,,SPEF2,,,,,,,,,,ECE1,,,,,,,
MYF5,NBPF15,PASK,DISC1,CYCSP1,KIAA0232,,KLHL8,,,,,,,,,,CEP162,,,,,,,
MAP3K9-DT,ADAMTS4,AMIGO2,TRPC1,RN7SL717P,GATAD2B,,PIAS2,,,,,,,,,,LINC00467,,,,,,,
SPATA31F2P,LMTK2,MRPL45,SH3RF3,CXCL3,CBX3,,NTRK3,,,,,,,,,,SPINT4,,,,,,,
CFAP100,MIR3605,ARHGEF16,HBS1L,MRPL50P4,SLC38A2,,BAIAP2-DT,,,,,,,,,,CLTB,,,,,,,
LBX1-AS1,PROSER1,PTGER4,NEXN,HSPA8P13,TIPRL,,NTF3,,,,,,,,,,TNFRSF11B,,,,,,,
SLC51B,NUP93,TMEM150A,RPF2,RNU4-59P,ZSWIM6,,ETFRF1,,,,,,,,,,ADAM8,,,,,,,
ZFHX2,TMEM161B,SDF2L1,NT5C1B,DEFB116,GLCE,,ZMYM1,,,,,,,,,,MZF1,,,,,,,
CYCSP19,DGCR11,PFDN5,OXCT2,RNVU1-25,SLC44A1,,EXTL2,,,,,,,,,,EPHX3,,,,,,,
TMSB10,ZNF276,CD163L1,LINC01558,RNU1-63P,ARIH1,,SPSB4,,,,,,,,,,POTEF,,,,,,,
CABP1,JPX,TPD52L2,ARL14EP,MTND2P28,NEU4,,KLHL4,,,,,,,,,,SLC16A3,,,,,,,
AKAP14,RAB40A,NDUFAF2,NIFK,RNU6ATAC34P,RYBP,,MAN1C1,,,,,,,,,,ADM2,,,,,,,
RAC3,POM121,RPUSD2,MEG3,RN7SKP259,CTBP1,,OTP,,,,,,,,,,FOXO3B,,,,,,,
HMGN2P3,ATG101,ZNF683,ZNF385C,MIR3173,SMCR8,,ACTR6,,,,,,,,,,OLMALINC,,,,,,,
NOXRED1,COPS3,RNASE1,MAP3K7CL,RN7SL541P,PPP4R2,,PRNP,,,,,,,,,,CEACAM8,,,,,,,
MRFAP1,MAPK8IP3,DYNAP,FBN2,MIR4323,TP53BP1,,ZRANB2,,,,,,,,,,ETNPPL,,,,,,,
TSSK6,PMS2P3,ARHGAP4,ARHGEF10L,RNU6-67P,RAB11A,,RWDD2A,,,,,,,,,,SOX4,,,,,,,
OTX2,TET3,RPL35,TRA2A,MRPS15P1,TUBA1B,,POLR3H,,,,,,,,,,SEMA6A,,,,,,,
PRAC1,UBE3C,ADAMTS17,KBTBD3,FTH1P27,EIF4E,,DCTN6,,,,,,,,,,TMEM191C,,,,,,,
ASZ1,ZNF18,SPA17,RSAD1,RN7SL35P,WASL,,CXCL5,,,,,,,,,,LRRC30,,,,,,,
LINC03076,PSMG3,MYL2,ZFAT,RPL36P20,GTF2I,,LARP1B,,,,,,,,,,PLPP4,,,,,,,
RGS6,SMUG1,ZNF417,TPST2,AKAP13-AS1,ARID2,,MSR1,,,,,,,,,,ZNF211,,,,,,,
TMBIM4,FUS,NTSR1,COL5A3,TYRO3P,TNRC18,,RASGEF1C,,,,,,,,,,PLAUR,,,,,,,
ANKRD40CL,COX19,FBL,EEIG2,RNU6-777P,VEZF1,,EXOSC10,,,,,,,,,,BAG3,,,,,,,
TOP3BP1,SLC35B4,PLCH2,SIGLEC7,NLGN4Y-AS1,RSBN1L,,ZNF576,,,,,,,,,,SMIM24,,,,,,,
TLX1NB,HM13-AS1,PTPRO,ADAMTSL1,BNIP3P4,SLC22A1,,DHFR,,,,,,,,,,SETDB2,,,,,,,
MICD,UVSSA,MAPKAPK5-AS1,SH3PXD2A,,SNRPF,,DDX18,,,,,,,,,,TYRP1,,,,,,,
EEF1A1P9,RINT1,TTF1,BBS9,,USP9X,,NACAD,,,,,,,,,,SOSTDC1,,,,,,,
TSGA13,SMARCD3,PAOX,RILPL2,,PAFAH1B2,,SEC61G,,,,,,,,,,NUDT5,,,,,,,
FBXL22,ERCC3,CAMSAP1,PPFIA2,,TMEM184C,,SCOC,,,,,,,,,,MEIG1,,,,,,,
PAX8,ARAP3,CD5,ZNF2,,TM9SF2,,NOL8,,,,,,,,,,PGM1,,,,,,,
HMGB1P5,ZNF398,YIF1A,LCTL,,NAPB,,MCPH1,,,,,,,,,,CDH10,,,,,,,
ADORA2A-AS1,TRIM25,NSA2,IL18RAP,,DLD,,TMEM181,,,,,,,,,,HOXC10,,,,,,,
PRKN,DYNLT4,EIF5A2,KIRREL2,,DIABLO,,PRKRA,,,,,,,,,,NCS1,,,,,,,
TSGA10IP,CMTM5,PLXND1,BPIFA4P,,BAZ2A,,INTS12,,,,,,,,,,AK5,,,,,,,
CST11,ZNF410,TRIM68,TXNDC17,,NDUFA5,,KYAT3,,,,,,,,,,MYH9,,,,,,,
FENDRR,TMEM41A,GFOD3P,PILRA,,LINC00174,,TSHZ3,,,,,,,,,,LGALS1,,,,,,,
PPIAP22,WDR46,IDI1,GNG8,,MTMR1,,GAPVD1,,,,,,,,,,CMC1,,,,,,,
PPIAP29,PIM3,LGI3,TRIM67,,MAP3K1,,CRBN,,,,,,,,,,PECR,,,,,,,
PPIAP31,ABHD13,VEPH1,POU3F2,,MAGEF1,,HDHD5,,,,,,,,,,MTURN,,,,,,,
SLC45A1,EIF2B2,FAM210B,TCEAL3,,MKS1,,CAPN5,,,,,,,,,,ZNF780B,,,,,,,
SNORA3A,LINC00641,RPS15A,DDHD2,,CDC42SE1,,ZNF271P,,,,,,,,,,CPQ,,,,,,,
LINC01607,PRKCD,SPRY1,VMO1,,SRGAP2C,,AASDH,,,,,,,,,,CHN2,,,,,,,
TENT5C-DT,MIR3186,LY9,NUCB2,,HGD,,CHM,,,,,,,,,,NKAIN3,,,,,,,
TPT1,ANAPC4,FIG4,XKR3,,TMEM248,,BCLAF1,,,,,,,,,,OR2Y1,,,,,,,
RXFP2,BIVM,SH2D1A,SAT2,,ACTB,,DNAJC3-DT,,,,,,,,,,P2RX4,,,,,,,
H2AC5P,EIF5A,ZNF106,TIGD7,,THAP10,,HECTD2,,,,,,,,,,COL6A6,,,,,,,
PDE6C,RNF24,TRANK1,MRO,,TTC19,,C2CD5,,,,,,,,,,ZNF90,,,,,,,
CABCOCO1,RBM33,FOXO3,TBC1D9,,GNA13,,UBXN7,,,,,,,,,,CRYBG2,,,,,,,
GLRA3,LSM8,FAM230C,CMTM2,,QTRT2,,ZNF426,,,,,,,,,,C1orf216,,,,,,,
SPMAP1,CCSAP,ADORA1,MRPL20,,RAB21,,GSPT2,,,,,,,,,,NR1D2,,,,,,,
RAX2,TOR3A,MRPS16,SLC5A7,,SHOC2,,LINC03124,,,,,,,,,,LRP2,,,,,,,
ZFP42,ZBTB11,ITGB7,ANKRD18DP,,TMEM170B,,MYEF2,,,,,,,,,,BEST1,,,,,,,
LINC02551,TAP2,PXMP4,NLRC4,,COPS2,,ST8SIA2,,,,,,,,,,PARP15,,,,,,,
PDE6B-AS1,ZNF767P,RINL,UBE4B,,GAL3ST4,,CXCL6,,,,,,,,,,ZFYVE21,,,,,,,
DMC1,DCTN5,ATP6V0E2-AS1,COX7A1,,RTF1,,PLAA,,,,,,,,,,TES,,,,,,,
RPS4X,LOC100130691,C5orf63,PF4V1,,KCTD20,,GLIS3,,,,,,,,,,OR4F5,,,,,,,
HMGN1P36,WDR73,AURKAIP1,UFSP2,,KMT5A,,TRMT61B,,,,,,,,,,LOXL4,,,,,,,
LIPJ,MFSD5,RAB33A,CETN2,,FAM199X,,PSMB1,,,,,,,,,,ZNF543,,,,,,,
LINC00658,DNAL1,SLC2A8,FLRT1,,ZFC3H1,,,,,,,,,,,,GSTT1,,,,,,,
TSPAN1,GIPC1,KCNJ2,OR12D2,,C6orf62,,,,,,,,,,,,,,,,,,,
TCAF2,SREK1,SPATS1,PLEKHA8P1,,MIDN,,,,,,,,,,,,,,,,,,,
ABCC12,IMPDH1,MYOM2,CCDC25,,PAPOLA,,,,,,,,,,,,,,,,,,,
RPL21,RBCK1,PANX1,CLSTN2,,PFKFB3,,,,,,,,,,,,,,,,,,,
RPL21P1,ISY1,LMF2,CISH,,LINC01116,,,,,,,,,,,,,,,,,,,
RPL21P11,POLM,OPRL1,EFCAB3,,LUC7L2,,,,,,,,,,,,,,,,,,,
RPL21P119,SLBP,ZNF649,RND3,,RCN2,,,,,,,,,,,,,,,,,,,
RPL21P16,SNORD10,NAPRT,RABGGTA,,YTHDF2,,,,,,,,,,,,,,,,,,,
RPL21P28,DDX39B,GALE,TCEAL4,,TMEM25,,,,,,,,,,,,,,,,,,,
RPL21P53,TLE3,TYMP,CEBPZ,,TPM3,,,,,,,,,,,,,,,,,,,
RPL21P75,SUPT4H1,WDR12,TAF12,,SLC7A9,,,,,,,,,,,,,,,,,,,
RPL21P80,CXorf38,MYH7,AKR7L,,XRCC2,,,,,,,,,,,,,,,,,,,
RPL21P93,KCNRG,LINC01011,RSPO2,,AAGAB,,,,,,,,,,,,,,,,,,,
RPL21P97,ANKMY2,TMEM201,R3HCC1,,RAB8B,,,,,,,,,,,,,,,,,,,
PPIAP11,ARID3B,LRRN4CL,LRRC66,,TRIM38,,,,,,,,,,,,,,,,,,,
LINC01677,METTL22,NADK,PIN4,,TMEM14C,,,,,,,,,,,,,,,,,,,
LRRC3B,HARS2,GATA5,SSUH2,,NALF2,,,,,,,,,,,,,,,,,,,
PUM2,NSUN5,MAFB,HNRNPCL1,,RARA,,,,,,,,,,,,,,,,,,,
GPR37L1,GATAD1,ZZZ3,ZMIZ1-AS1,,NXPE3,,,,,,,,,,,,,,,,,,,
DNAJC2P1,BRAP,ADGRA2,ELP2,,USP7,,,,,,,,,,,,,,,,,,,
RPL32,EGR3,NDUFB3,FLI1,,ATF6B,,,,,,,,,,,,,,,,,,,
RPL32P16,NAA25,C12orf76,MRTO4,,NAB1,,,,,,,,,,,,,,,,,,,
RPL32P18,GPCPD1,CLUH,IGFBP5,,POMP,,,,,,,,,,,,,,,,,,,
SNORA7A,AGAP3,SLC12A4,OFD1,,POU2F1,,,,,,,,,,,,,,,,,,,
MAGI2-AS2,CEP20,SLC25A25-AS1,CYB5D2,,FOLH1B,,,,,,,,,,,,,,,,,,,
ITPKA,PNN,,ROR1,,SMIM30,,,,,,,,,,,,,,,,,,,
LINC00375,BACH1,,AKAP4,,FAM133B,,,,,,,,,,,,,,,,,,,
SYT7,AREL1,,HOMER2,,C3orf70,,,,,,,,,,,,,,,,,,,
LINC00424,IVNS1ABP,,FEV,,ARF6,,,,,,,,,,,,,,,,,,,
BTF3P11,LINC01001,,AADAT,,MSL1,,,,,,,,,,,,,,,,,,,
NUMBL,KREMEN1,,CCN3,,SMAD5,,,,,,,,,,,,,,,,,,,
GDF9,FCRLB,,MAP7D3,,HNRNPA2B1,,,,,,,,,,,,,,,,,,,
RPL13P5,CDK5,,MAP3K14,,ANKRD13D,,,,,,,,,,,,,,,,,,,
TMEM174,PCGF3,,NAP1L5,,FOXJ2,,,,,,,,,,,,,,,,,,,
PPP5C,ELAC2,,EID2B,,KLHDC10,,,,,,,,,,,,,,,,,,,
